년,월,시도,시군구,등록외국인 수
2022,01,강원도,강릉시,2344
2022,01,강원도,고성군,1202
2022,01,강원도,동해시,724
2022,01,강원도,삼척시,632
2022,01,강원도,속초시,1035
2022,01,강원도,양구군,323
2022,01,강원도,양양군,290
2022,01,강원도,영월군,245
2022,01,강원도,원주시,3298
2022,01,강원도,인제군,296
2022,01,강원도,정선군,263
2022,01,강원도,철원군,604
2022,01,강원도,춘천시,3656
2022,01,강원도,태백시,249
2022,01,강원도,평창군,448
2022,01,강원도,홍천군,738
2022,01,강원도,화천군,215
2022,01,강원도,횡성군,670
2022,01,경기도,가평군,995
2022,01,경기도,고양시 덕양구,4228
2022,01,경기도,고양시 일산동구,3744
2022,01,경기도,고양시 일산서구,2978
2022,01,경기도,과천시,185
2022,01,경기도,광명시,3540
2022,01,경기도,광주시,10891
2022,01,경기도,구리시,1402
2022,01,경기도,군포시,5519
2022,01,경기도,김포시,17720
2022,01,경기도,남양주시,7094
2022,01,경기도,동두천시,3275
2022,01,경기도,부천시,23715
2022,01,경기도,성남시 분당구,2676
2022,01,경기도,성남시 수정구,8879
2022,01,경기도,성남시 중원구,2524
2022,01,경기도,수원시 권선구,8650
2022,01,경기도,수원시 영통구,6777
2022,01,경기도,수원시 장안구,6241
2022,01,경기도,수원시 팔달구,11468
2022,01,경기도,시흥시,31453
2022,01,경기도,안산시 단원구,34753
2022,01,경기도,안산시 상록구,12279
2022,01,경기도,안성시,10873
2022,01,경기도,안양시 동안구,1527
2022,01,경기도,안양시 만안구,4560
2022,01,경기도,양주시,6705
2022,01,경기도,양평군,1295
2022,01,경기도,여주시,3169
2022,01,경기도,연천군,826
2022,01,경기도,오산시,8567
2022,01,경기도,용인시 기흥구,4168
2022,01,경기도,용인시 수지구,2738
2022,01,경기도,용인시 처인구,9104
2022,01,경기도,의왕시,998
2022,01,경기도,의정부시,4642
2022,01,경기도,이천시,6635
2022,01,경기도,파주시,10280
2022,01,경기도,평택시,23977
2022,01,경기도,포천시,11293
2022,01,경기도,하남시,2192
2022,01,경기도,화성시,35096
2022,01,경상남도,거제시,5270
2022,01,경상남도,거창군,506
2022,01,경상남도,고성군,1018
2022,01,경상남도,김해시,15999
2022,01,경상남도,남해군,754
2022,01,경상남도,밀양시,2455
2022,01,경상남도,사천시,2919
2022,01,경상남도,산청군,522
2022,01,경상남도,양산시,5559
2022,01,경상남도,의령군,704
2022,01,경상남도,진주시,4455
2022,01,경상남도,창녕군,2111
2022,01,경상남도,창원시 마산합포구,1931
2022,01,경상남도,창원시 마산회원구,1786
2022,01,경상남도,창원시 성산구,3361
2022,01,경상남도,창원시 의창구,2801
2022,01,경상남도,창원시 진해구,2947
2022,01,경상남도,통영시,3512
2022,01,경상남도,하동군,440
2022,01,경상남도,함안군,2789
2022,01,경상남도,함양군,363
2022,01,경상남도,합천군,565
2022,01,경상북도,경산시,10403
2022,01,경상북도,경주시,9419
2022,01,경상북도,고령군,1377
2022,01,경상북도,구미시,4589
2022,01,경상북도,군위군,422
2022,01,경상북도,김천시,2337
2022,01,경상북도,문경시,626
2022,01,경상북도,봉화군,307
2022,01,경상북도,상주시,1005
2022,01,경상북도,성주군,1419
2022,01,경상북도,안동시,1284
2022,01,경상북도,영덕군,920
2022,01,경상북도,영양군,255
2022,01,경상북도,영주시,773
2022,01,경상북도,영천시,2607
2022,01,경상북도,예천군,489
2022,01,경상북도,울릉군,129
2022,01,경상북도,울진군,1440
2022,01,경상북도,의성군,505
2022,01,경상북도,청도군,927
2022,01,경상북도,청송군,184
2022,01,경상북도,칠곡군,3686
2022,01,경상북도,포항시 남구,3139
2022,01,경상북도,포항시 북구,2628
2022,01,광주광역시,광산구,11779
2022,01,광주광역시,남구,1428
2022,01,광주광역시,동구,1575
2022,01,광주광역시,북구,4402
2022,01,광주광역시,서구,1617
2022,01,대구광역시,남구,1867
2022,01,대구광역시,달서구,9658
2022,01,대구광역시,달성군,5040
2022,01,대구광역시,동구,1651
2022,01,대구광역시,북구,4614
2022,01,대구광역시,서구,2046
2022,01,대구광역시,수성구,1628
2022,01,대구광역시,중구,728
2022,01,대전광역시,대덕구,2096
2022,01,대전광역시,동구,4157
2022,01,대전광역시,서구,3575
2022,01,대전광역시,유성구,6265
2022,01,대전광역시,중구,1368
2022,01,부산광역시,강서구,4083
2022,01,부산광역시,금정구,3552
2022,01,부산광역시,기장군,1804
2022,01,부산광역시,남구,4949
2022,01,부산광역시,동구,1571
2022,01,부산광역시,동래구,882
2022,01,부산광역시,부산진구,2280
2022,01,부산광역시,북구,1877
2022,01,부산광역시,사상구,3989
2022,01,부산광역시,사하구,3525
2022,01,부산광역시,서구,1781
2022,01,부산광역시,수영구,1293
2022,01,부산광역시,연제구,697
2022,01,부산광역시,영도구,1571
2022,01,부산광역시,중구,1867
2022,01,부산광역시,해운대구,3522
2022,01,서울특별시,강남구,4802
2022,01,서울특별시,강동구,3817
2022,01,서울특별시,강북구,3384
2022,01,서울특별시,강서구,5438
2022,01,서울특별시,관악구,13764
2022,01,서울특별시,광진구,12622
2022,01,서울특별시,구로구,24239
2022,01,서울특별시,금천구,14024
2022,01,서울특별시,노원구,4026
2022,01,서울특별시,도봉구,2018
2022,01,서울특별시,동대문구,14373
2022,01,서울특별시,동작구,8847
2022,01,서울특별시,마포구,9909
2022,01,서울특별시,서대문구,10810
2022,01,서울특별시,서초구,3863
2022,01,서울특별시,성동구,6642
2022,01,서울특별시,성북구,9573
2022,01,서울특별시,송파구,5668
2022,01,서울특별시,양천구,3202
2022,01,서울특별시,영등포구,23890
2022,01,서울특별시,용산구,14226
2022,01,서울특별시,은평구,3856
2022,01,서울특별시,종로구,9113
2022,01,서울특별시,중구,9336
2022,01,서울특별시,중랑구,4529
2022,01,세종특별자치시,세종특별자치시,4875
2022,01,울산광역시,남구,4163
2022,01,울산광역시,동구,2992
2022,01,울산광역시,북구,2134
2022,01,울산광역시,울주군,5819
2022,01,울산광역시,중구,1648
2022,01,인천광역시,강화군,751
2022,01,인천광역시,계양구,3123
2022,01,인천광역시,남동구,10937
2022,01,인천광역시,동구,841
2022,01,인천광역시,미추홀구,9118
2022,01,인천광역시,부평구,13838
2022,01,인천광역시,서구,11296
2022,01,인천광역시,연수구,12488
2022,01,인천광역시,옹진군,194
2022,01,인천광역시,중구,3898
2022,01,전라남도,강진군,418
2022,01,전라남도,고흥군,956
2022,01,전라남도,곡성군,407
2022,01,전라남도,광양시,1493
2022,01,전라남도,구례군,184
2022,01,전라남도,나주시,2631
2022,01,전라남도,담양군,890
2022,01,전라남도,목포시,3036
2022,01,전라남도,무안군,1586
2022,01,전라남도,보성군,405
2022,01,전라남도,순천시,2114
2022,01,전라남도,신안군,724
2022,01,전라남도,여수시,5101
2022,01,전라남도,영광군,875
2022,01,전라남도,영암군,4140
2022,01,전라남도,완도군,2132
2022,01,전라남도,장성군,914
2022,01,전라남도,장흥군,486
2022,01,전라남도,진도군,1332
2022,01,전라남도,함평군,603
2022,01,전라남도,해남군,1285
2022,01,전라남도,화순군,777
2022,01,전라북도,고창군,808
2022,01,전라북도,군산시,5836
2022,01,전라북도,김제시,1761
2022,01,전라북도,남원시,871
2022,01,전라북도,무주군,187
2022,01,전라북도,부안군,789
2022,01,전라북도,순창군,315
2022,01,전라북도,완주군,2976
2022,01,전라북도,익산시,4424
2022,01,전라북도,임실군,271
2022,01,전라북도,장수군,323
2022,01,전라북도,전주시 덕진구,4564
2022,01,전라북도,전주시 완산구,4313
2022,01,전라북도,정읍시,2446
2022,01,전라북도,진안군,318
2022,01,제주특별자치도,서귀포시,6917
2022,01,제주특별자치도,제주시,13661
2022,01,충청남도,계룡시,191
2022,01,충청남도,공주시,1926
2022,01,충청남도,금산군,1899
2022,01,충청남도,논산시,3683
2022,01,충청남도,당진시,5074
2022,01,충청남도,보령시,2778
2022,01,충청남도,부여군,1122
2022,01,충청남도,서산시,3835
2022,01,충청남도,서천군,1243
2022,01,충청남도,아산시,16245
