년,월,거주지역,결혼이민자수
2022,01,경기,51461
2022,01,서울,27391
2022,01,인천,11577
2022,01,경남,10715
2022,01,충남,9748
2022,01,경북,7934
2022,01,부산,7389
2022,01,전남,6643
2022,01,전북,5981
2022,01,충북,5555
2022,01,대구,5456
2022,01,강원,3836
2022,01,광주,3709
2022,01,대전,3416
2022,01,울산,3341
2022,01,제주,2852
2022,02,경기,51594
2022,02,서울,27505
2022,02,인천,11642
2022,02,경남,10712
2022,02,충남,9746
2022,02,경북,7933
2022,02,부산,7357
2022,02,전남,6657
2022,02,전북,5972
2022,02,충북,5542
2022,02,대구,5458
2022,02,강원,3837
2022,02,광주,3729
2022,02,대전,3408
2022,02,울산,3341
2022,02,제주,2837
2022,03,경기,51682
2022,03,서울,27411
2022,03,인천,11700
2022,03,경남,10698
2022,03,충남,9753
2022,03,경북,7945
2022,03,부산,7344
2022,03,전남,6654
2022,03,전북,5954
2022,03,충북,5528
2022,03,대구,5458
2022,03,강원,3835
2022,03,광주,3734
2022,03,대전,3399
2022,03,울산,3341
2022,03,제주,2844
2022,04,경기,51837
2022,04,서울,27460
2022,04,인천,11751
2022,04,경남,10706
2022,04,충남,9776
2022,04,경북,7959
2022,04,부산,7374
2022,04,전남,6655
2022,04,전북,5977
2022,04,충북,5504
2022,04,대구,5468
2022,04,강원,3832
2022,04,광주,3742
2022,04,대전,3403
2022,04,울산,3353
2022,04,제주,2858
2022,05,경기,51973
2022,05,서울,27524
2022,05,인천,11787
2022,05,경남,10714
2022,05,충남,9791
2022,05,경북,7957
2022,05,부산,7363
2022,05,전남,6661
2022,05,전북,5957
2022,05,충북,5490
2022,05,대구,5473
2022,05,강원,3828
2022,05,광주,3744
2022,05,대전,3395
2022,05,울산,3362
2022,05,제주,2864
2022,06,경기,52078
2022,06,서울,27541
2022,06,인천,11840
2022,06,경남,10738
2022,06,충남,9859
2022,06,경북,7966
2022,06,부산,7347
2022,06,전남,6650
2022,06,전북,5930
2022,06,충북,5494
2022,06,대구,5487
2022,06,강원,3816
2022,06,광주,3746
2022,06,대전,3384
2022,06,울산,3373
2022,06,제주,2870
