"통계분류(1)",통계분류(2),통계분류(3),2019,2019,2019,2021,2021,2021
"통계분류(1)",통계분류(2),통계분류(3),사례수,전체 평균,독서자 평균,사례수,전체 평균,독서자 평균
"전체",소계,소계,3126,41,45.2,3320,34.4,37.6
"학교급",초등학교,소계,1005,86.9,90.9,1117,66.6,69.5
"학교급",중학교,소계,985,25.5,28,1095,23.5,25.6
"학교급",고등학교,소계,1136,12.5,14.6,1108,12.6,14.6
"학교급 학년",초등학교,4학년,333,104.8,108,380,76.3,78.2
"학교급 학년",초등학교,5학년,351,98.9,100.5,360,63.6,68.1
"학교급 학년",초등학교,6학년,320,56.2,61.8,376,59.6,61.8
"학교급 학년",중학교,1학년,308,30.7,33,394,30.8,32.8
"학교급 학년",중학교,2학년,332,21.3,23.9,357,22.6,24.3
"학교급 학년",중학교,3학년,345,24.6,27,344,16.2,18.3
"학교급 학년",고등학교,1학년,338,13,14.7,392,15.7,17.7
"학교급 학년",고등학교,2학년,377,12.9,15,364,11.6,13.4
"학교급 학년",고등학교,3학년,421,11.9,14.1,352,10.2,12.1
