"동별(1)",동별(2),2022. 08,2022. 08,2022. 08,2022. 08,2022. 08,2022. 08,2022. 08,2022. 08,2022. 08,2022. 08
"동별(1)",동별(2),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",소계,4472975,9717242,4704309,5012933,9488454,4601295,4887159,228788,103014,125774
"합계",종로구,73866,153349,73672,79677,143499,69408,74091,9850,4264,5586
"합계",중구,64011,131528,63849,67679,121960,59309,62651,9568,4540,5028
"합계",용산구,112074,236507,114462,122045,222230,106686,115544,14277,7776,6501
"합계",성동구,134616,290274,140917,149357,283603,138050,145553,6671,2867,3804
"합계",광진구,170014,352292,168950,183342,339567,163692,175875,12725,5258,7467
"합계",동대문구,170413,352676,171881,180795,337233,166170,171063,15443,5711,9732
"합계",중랑구,188283,392535,192773,199762,387840,190931,196909,4695,1842,2853
"합계",성북구,198452,443664,212398,231266,433386,208575,224811,10278,3823,6455
"합계",강북구,145204,299730,145190,154540,296073,143861,152212,3657,1329,2328
"합계",도봉구,138975,315946,153247,162699,313835,152495,161340,2111,752,1359
"합계",노원구,218649,511154,245634,265520,507076,243842,263234,4078,1792,2286
"합계",은평구,216698,476789,227301,249488,472954,225732,247222,3835,1569,2266
"합계",서대문구,146054,317731,149867,167864,306253,145948,160305,11478,3919,7559
"합계",마포구,181463,377602,176147,201455,367190,172317,194873,10412,3830,6582
"합계",양천구,182220,446989,218569,228420,443847,217268,226579,3142,1301,1841
"합계",강서구,274551,577713,277165,300548,572230,274771,297459,5483,2394,3089
"합계",구로구,182464,417796,206701,211095,394246,193935,200311,23550,12766,10784
"합계",금천구,119913,244816,123813,121003,231356,116653,114703,13460,7160,6300
"합계",영등포구,189541,400230,197757,202473,377295,185754,191541,22935,12003,10932
"합계",동작구,187962,394300,190053,204247,385379,186268,199111,8921,3785,5136
"합계",관악구,283092,501482,251064,250418,487629,245176,242453,13853,5888,7965
"합계",서초구,169217,410491,196163,214328,406565,194249,212316,3926,1914,2012
"합계",강남구,235409,537412,256998,280414,532500,254730,277770,4912,2268,2644
"합계",송파구,286514,668269,321720,346549,662599,319164,343435,5670,2556,3114
"합계",강동구,203320,465967,228018,237949,462109,226311,235798,3858,1707,21
