번호,행사명,대상,장소,행사일시,유무료
669,할로코드로 살펴보는 인공지능 / 초등 4~6학년,어린이,4층 상상공작소,2022-09-17,"20,000 원"
668,나도 할 수 있다! 일러스트레이터 / 중고생~성인,청소년,4층 상상공작소,2022-09-14,"20,000 원"
667,9월 상상공작소 장비활용교육(3D프린터) / 중고생~성인,청소년,4층 상상공작소,2022-09-24,무료
666,9월 명화와 함께하는 3D펜 / 초등 4-6학년,어린이,4층 상상공작소,2022-09-14,무료
665,9월 명화와 함께하는 3D펜 / 초등 1-3학년,어린이,4층 상상공작소,2022-09-07,무료
664,[한주제로함께읽기] 그린 데이(Green Day)_8월,어린이,강북문화정보도서관...,2022-08-29,무료
663,8월 문화가 있는 날 : 도서관 버스킹,전연령,강북문화정보도서관...,2022-08-20,무료
662,[월간 사람책] 8월: 이선민 작가 강연(대면),전연령,강북문화정보도서관...,2022-08-24,무료
661,독서동아리 문장수집가 추가 모집,중장년,강북문화정보도서관...,2022-07-26,무료
660,책 한 문장과 머그컵 굿즈 메이킹 / 중고생 ~성인 ,청소년,4층 상상공작소,2022-08-27,무료
659,업사이클링 스티로폼 재생아트 / 중고생 ~성인,청소년,4층 상상공작소,2022-08-13,무료
658,비트뮤직과 코딩을 활용한 악기 만들기 / 초등 2~4학년 ,어린이,4층 상상공작소,2022-08-10,무료
657,상상공작소 장비활용교육(레이저커팅기) / 중고생 ~ 성인,청소년,4층 상상공작소,2022-08-20,무료
656,8월 명화와 함께하는 3D펜 / 초등 4-6학년,어린이,4층 상상공작소,2022-08-12,무료
655,8월 명화와 함께하는 3D펜 / 초등 1-3학년,어린이,4층 상상공작소 ,2022-08-11,무료
654,[추가접수] 메타버스 타고 떠나는 인문학 여행(역사),어린이,강북문화정보도서관...,2022-08-09,무료
653,[7월 문화가 있는 날]초등 독서 토론 3~6학년,어린이,강북문화정보도서관...,2022-07-30,무료
652,[7월 문화가 있는 날]초등 독서 토론 1~2학년,어린이,강북문화정보도서관...,2022-07-30,무료
651,강북문화정보도서관 2022 여름독서교실 '그림책으로 Green 지구',어린이,강북문화정보도서관...,2022-07-26,무료
650,수박이 데구르르,어린이,강북문화정보도서관...,2022-07-15,무료
649,[한주제로함께읽기] 그린 데이(Green Day)_7월,어린이,강북문화정보도서관...,2022-07-18,무료
648,[월간 사람책] 7월: 김태경 교수 강연(비대면),성인,온라인 화상회의 ...,2022-07-27,무료
647,업사이클링 계란껍질을 활용한 팝아트 소품 메이킹 / 중고생 ~ 성인 ,청소년,4층 상상공작소 ,2022-07-09,무료
646,가족과 함께하는 인공지능과 진로 ,전연령,4층 모두의 마당...,2022-07-09,무료
645,책 한 문장과 우드버닝 / 성인 ,성인,4층 상상공작소 ,2022-07-08,무료
644,7월 상상공작소 장비활용교육(3D프린터) / 중고생~성인,청소년,4층 상상공작소,2022-07-16,무료
643,7월 명화와 함께하는 3D펜 / 초등 4-6학년,어린이,4층 상상공작소,2022-07-12,무료
642,7월 명화와 함께하는 3D펜 / 초등 1-3학년 ,어린이,4층 상상공작소 ,2022-07-07,무료
641,이야기가 있는 코딩 / 초등 4~6학년 ,어린이,4층 상상공작소 ,2022-07-06,무료
640,메타버스 타고 떠나는 인문학 여행(문학) ,어린이,강북문화정보도서관...,2022-07-12,무료
639,6월 문화가 있는 날 : 도서관 피크닉,전연령,강북문화정보도서관,2022-06-25,무료
638,하나!둘!셋!넷! 응차!,어린이,강북문화정보도서관...,2022-06-17,무료
637,[한주제로함께읽기] 그린 데이(Green Day)_6월 ,성인,강북문화정보도서관...,2022-06-20,무료
636,[월간 사람책] 6월: 김원영 변호사 강연(비대면),성인,온라인 화상회의 ...,2022-06-29,무료
635,"성인 그림책테라피 <그림책, 나를 만나는 시간>",성인,강북문화정보도서관...,2022-06-21,무료
634,그림책 탐험대 (육아팀플! 더 이상의 무임승차는 없다) B팀,어린이,강북문화정보도서관...,2022-06-28,무료
633,그림책 탐험대 (육아팀플! 더 이상의 무임승차는 없다) A팀,어린이,강북문화정보도서관...,2022-06-21,무료
632,2022 길위의인문학 3기 ,전연령,강북문화정보도서관,2022-07-02,무료
631,2022 길위의인문학 2기 ,전연령,강북문화정보도서관,2022-06-18,무료
630,2022 길위의인문학 1기 ,전연령,강북문화정보도서관,2022-06-04,무료
629,공감_너의 마음 이해하기_녹음모듈을 이용한 스토리 북마커 메이킹,어린이,4층 상상공작소,2022-06-25,무료
628,회복탄력성_너에게만 알려줄게_의미심장 선캐쳐 메이킹,어린이,4층 상상공작소,2022-06-23,무료
627,친환경 버블바 메이킹 / 성인,성인,4층 상상공작소,2022-06-10,무료
626,상상공작소 장비활용교육(레이저커팅기) / 중학생 ~성인,어린이,4층 상상공작소,2022-06-11,무료
625,6월 명화와 함께하는 3D펜 / 초등 1-3학년,어린이,4층 상상공작소,2022-06-15,무료
624,6월 명화와 함께하는 3D펜 / 초등 4-6학년,어린이,4층 상상공작소,2022-06-09,무료
623,<그림책으로 떠나는 신통방통 세계여행> 프로그램 참여자 모집,어린이,강북문화정보도서관...,2022-05-31,무료
622,5월문화가있는날,전연령,북서울꿈에숲,2022-05-28,무료
621,2022 강북까치서당 3~6 학년,어린이,강북문화정보도서관,2022-05-29,무료
620,2022 강북까치서당 1.2 학년,어린이,강북문화정보도서관,2022-05-29,무료
619,[월간 사람책] 5월: 백세희 작가 강연(비대면),전연령,온라인 화상회의 ...,2022-05-24,무료
618,메타버스도서관 견학프로그램 <다 함께 메타버스>,어린이,강북문화정보도서관...,2022-05-25,무료
617,(북스타트) 으쌰으쌰 미니 체육대회,어린이,강북문화정보도서관...,2022-05-20,무료
616,[대면]업사이클링 플라스틱컵 행잉 화분 걸이 메이킹,전연령,4층 모두의 마당,2022-05-21,무료
615,[대면]공기정화식물이오난사 조명등 메이킹 / 어르신,중장년,4층 상상공작소,2022-05-19,무료
614,[대면]감사의 달 실루엣커팅기를 활용한 카네이션 화분 메이킹/초등4-6학년+중등,어린이,4층 상상공작소,2022-05-07,무료
613,[비대면]아두이노와 스마트팜 / 초등5~6학년+중등,어린이,비대면(ZOOM),2022-05-14,"20,000 원"
612,[대면]장비활용교육_3D프린터 / 중학생~성인,어린이,4층 상상공작소,2022-05-28,무료
611,[대면] 명화와 함께하는 3D펜 /1-3학년 ,어린이,4층 상상공작소,2022-05-18,무료
610,[대면] 명화와 함께하는 3D펜 /초등 4-6학년 ,어린이,4층 상상공작소,2022-05-12,무료
609,4월문화가 있는날,전연령,북서울꿈의숲,2022-04-23,무료
608,초록초록 만들기,어린이,강북문화정보도서관...,2022-04-17,무료
607,학부모 대상 청소년 글쓰기 특강 <질문으로 완성하는 청소년 글쓰기>,어린이,비대면 특강 (Z...,2022-04-15,무료
606,[도서관민주학교] '역사동화로 배우는 민주주의 이야기(신현수 작가와의 만남),어린이,강북문화정보도서관...,2022-04-23,무료
605,[도서관민주학교] 4·19혁명 기념 이인석 작가 특강(성인),성인,온라인 화상회의 ...,2022-04-16,무료
604,[대상확대]3D프린터를 활용한 4.19 덕분에 토퍼 메이킹 / 초등 4-6학년 + 중등,어린이,비대면(ZOOM),2022-04-15,무료
603,[대면] 레이저커팅기를 활용한 4.19덕분에 컵받침 메이킹,성인,4층 상상공작소,2022-04-14,무료
602,[비대면] 내 인생의 책 한 문장 토퍼 메이킹 / 성인,성인,비대면(ZOOM),2022-04-12,무료
601,[작은도서관]번1동 새마을문고 '사일구'특강(대면),어린이,번 1동 새마을 ...,2022-04-07,무료
600,[작은도서관]미아동 새마을문고 '사일구'특강(비대면),어린이,ZOOM,2022-04-06,무료
599,3월 문화가 있는날,어린이,강북문화정보도서관,2022-03-30,무료
598,[비대면]3D프린터 운용기능사 자격증_실기반,성인,비대면(ZOOM),2022-04-13,"40,000 원"
597,[비대면] 신재생에너지와 태양광 주택 메이킹/ 초등4~6학년,어린이,비대면(ZOOM),2022-04-08,무료
596,[대면] 장비활용교육_레이저커팅 / 중학생~성인,어린이,4층 상상공작소,2022-04-30,무료
595,[대면] 명화와 함께하는 3D펜 / 초등 1-3학년,어린이,4층 상상공작소,2022-04-13,무료
594,[대면]명화와 함께하는 3D펜 / 초등4-6학년,어린이,4층 상상공작소,2022-04-09,무료
593,[대면] 강북(Book)타운 <김은형 작가와의 만남> ,전연령,강북문화정보도서관...,2022-03-26,무료
592,[비대면] 강북(Book)타운 <김은형 작가와의 만남> ,전연령,게더타운,2022-03-26,무료
591,[비대면]가구 설계 전문가 되어 보기_3D 프린터 / 초등4~6학년+중등,어린이,4층 상상공작소,2022-03-11,"20,000 원"
590,[비대면] 지속가능한 모빌리티 전기자동차 / 초등 4~6학년,어린이,4층 상상공작소,2022-03-19,무료
589,[대면] 장비활용교육_3D프린터 / 중학생~성인,어린이,4층 상상공작소,2022-03-19,무료
588,[대면] 명화와 함께하는 3D펜 / 초등 1-3학년 ,어린이,4층 상상공작소,2022-03-16,무료
587,[대면]명화와 함께하는 3D펜 / 초등4-6학년,어린이,4층 상상공작소,2022-03-12,무료
586,독서동아리(40대 이상) '문장수집가' 회원 모집,중장년,강북문화정보도서관...,2022-03-22,무료
585,어린이독서동아리 '강북(BooK)탐험단' 단원 모집 (초등 3~4학년),어린이,강북문화정보도서관...,2022-03-24,무료
584,독서동아리(중학생) '행Book하자' 회원 모집,어린이,강북문화정보도서관...,2022-03-16,무료
583,"독서동아리(2,30대) '야나독' 회원 모집",성인,강북문화정보도서관...,2022-03-21,무료
582,2월문화가있는날 고학년,어린이,온라인 줌수업 ,2022-02-23,무료
581,2월문화가있는날 저학년,어린이,온라인 줌수업 ,2022-02-23,무료
580,그림책을 부탁해,어린이,강북문화정보도서관...,2022-02-16,무료
579,1월 문화가 있는날,전연령,온라인,2022-01-26,무료
578,"그림책 마음코칭(5,6학년)",어린이,ZOOM 통한 화...,2022-01-25,무료
577,"그림책 마음코칭(3,4학년)",어린이,강북문화정보도서관...,2022-01-25,무료
576,"그림책 마음코칭(1,2학년)",어린이,강북문화정보도서관...,2022-01-25,무료
575,상상공작소 장비활용교육(3D프린터)/ 중고생~성인,어린이,4층 상상공작소,2022-02-26,무료
574,[비대면]환경 보호 앱 만들기_앱인벤터 / 초등 4-6학년,어린이,비대면(ZOOM),2022-02-11,"20,000 원"
573,[비대면]마이 스토리 이니셜 북폴딩(업사이클링) / 성인,성인,비대면(ZOOM),2022-02-12,무료
572,새해 소망을 담은 토퍼 메이킹_실루엣커팅기/ 성인,성인,4층 상상공작소,2022-01-27,무료
571,새해 소망을 담은 DIY 큐브 조명등 메이킹/초등1-3학년,어린이,4층 상상공작소,2022-01-22,무료
570,새해 소망을 담은 DIY 큐브 조명등 메이킹/초등4-6학년,어린이,4층 상상공작소,2022-01-22,무료
569,2022년 겨울독서교실 참여자 모집(초등 저학년반),어린이,강북문화정보도서관...,2022-01-17,무료
