,지역,title,target
0,금천구,"[시흥]도서관지혜학교:전통시기 중국문인의 시,서,화에서 얻은 지혜 행사 안내",전연령
1,금천구,[독산] 8월 문화가 있는날- 김해원 깊이읽기 4,어린이
2,금천구,[독산] 대숲소리 북콘서트Ⅳ : 여름밤 영화음악회 안내,전연령
3,금천구,[독산] 7월 문화가 있는날- 김해원 깊이읽기 3,성인
4,금천구,"[금나래]길 위의 인문학 ""차이 '안'나는 클라스 진행",성인
5,금천구,[독산] 대숲소리 북콘서트Ⅲ 안내,전연령
6,금천구,[독산]린드그렌이 말을 걸어 온다「이렇게 살아 보면 어때?」참여자 모집 안내,성인
7,금천구,[금나래] 2022 도서관 서포터즈 '나래 미디어 팩토리' 참여자 모집 안내,성인
8,금천구,[독산] 6월 문화가 있는날- 김해원 깊이읽기 2,어린이
9,금천구,[독산] 대숲소리 북콘서트Ⅱ 안내,전연령
10,금천구,[금나래] 가정의 달 기념 인형극 공연 안내,어린이
11,금천구,[독산] 길 위의 인문학 「나를 돌보는 읽기와 쓰기」참여자 모집 안내,성인
12,금천구,[독산] 5월 문화가 있는날- 김해원 깊이읽기 1,어린이
13,금천구,[독산] 대숲소리 북콘서트Ⅰ 안내,전연령
14,금천구,"[금나래 다문화]세계를 두드리고, 어울려보자꾸나!",전연령
15,금천구,[독산] 4월 문화가 있는날- 엄혜숙 깊이읽기 4,성인
16,금천구,2022 금나래도서관 책꾸러미사업 안내,어린이
17,금천구,[독산] 도서관주간 행사 안내,어린이
18,금천구,"[특화사업] 2022년 ""나래 북 팩토리"" 참가 모집",어린이
19,금천구,"[시흥] 저자와의 만남-<저자, 일단 만났습니다>",성인
20,금천구,[금나래] 2월 문화가 있는 날 <책과 함께하는 미니어처>,어린이
21,금천구,"2021년 북콘서트 ""해피 버스데이 우리 동네""",전연령
22,금천구,힐링독서놀이(2학년) 10월 프로그램 안내,어린이
23,금천구,상주작가 X 초청작가 작은도서관 북토크,성인
24,금천구,"제11회 <2021 금천구 도서관 북페스티벌> 행사 5일차 일정 안내(6월 5일, 토)",전연령
25,금천구,"제11회 <2021 금천구 도서관 북페스티벌> 행사 4일차 일정 안내(6월 4일, 금)",전연령
26,금천구,"제11회 <2021 금천구 도서관 북페스티벌> 3일차 행사 안내(6월 3일, 목)",전연령
27,금천구,"제11회 <2021 금천구 도서관 북페스티벌> 2일차 행사 안내(6월 2일,수)",전연령
28,금천구,힐링독서놀이 6월 프로그램 참가자 모집,어린이
29,금천구,[금나래] 5월 문화가 있는 날 <동물보호를 위한 언택트 2시간> - 김바다 작가와의 만남,어린이
30,금천구,힐링독서놀이 5월 프로그램 참가자 모집,어린이
31,금천구,[금나래] 나래 미디어 팩토리 모집 안내,청소년
32,금천구,[금나래] 4월 문화가 있는 날 <동물보호를 위한 언택트 2시간> - 이서우 작가와의 만남,어린이
33,금천구,[금나래] 세계건축문화스토리 저학년 모집 안내,어린이
34,금천구,[금나래] 나래 북 팩토리 - 환경 그림책 만들기,어린이
35,금천구,세계 건축문화 스토리 Ⅰ,어린이
36,금천구, 세계 건축문화 스토리 Ⅱ,어린이
37,금천구,쉽게 친해지는 코딩,어린이
38,금천구,나의 손 글씨,성인
39,금천구,"영화, 그림책과 리딩하다",성인
40,금천구,그림책 깊이 읽기,성인
41,금천구,처음 읽어보는 영어그림책,성인
42,마포구,마포중앙도서관 어린이 북튜버 모집(심화과정),어린이
43,마포구,[북스타트] 8월 스토리텔링이 있는 북스타트 데이,성인
44,마포구,"[제12회 책축제] 공간의 격차, 빈부의 격차 그리고 미래의 격차",전연령
45,마포구,[제12회 책축제] 우리 아이들이 살아갈 세상 이야기 '메타버스와 버츄얼 휴먼',전연령
46,마포구,[제12회 책축제] 누리호 개발 및 향후계획,전연령
47,마포구,마포중앙도서관 어린이 북튜버 특강,어린이
48,마포구,[제12회 책축제] 강경수 작가와 함께하는 코드네임 타임캡술 만들기 (비대면),어린이
49,마포구,[제12회 책축제] 공간의 전환! 책대신 음악,전연령
50,마포구,[제12회 책축제] 최고의 인테리어는 정리입니다.,전연령
51,마포구,"[제12회 책축제] 책으로 건축을 하다 '세상을 보는 따뜻한 시선, 벽'",어린이
52,마포구,[책읽는아이] 달님이랑 꿈이랑 <양선 작가와의 만남>,어린이
53,마포구,어린이를 위한 영어책 독후활동,어린이
54,마포구,"마포중앙도서관X소극장 산울림 「우리고전, 우리 문화의 힘」 3회차강연",전연령
55,마포구,서울시립교향악단 <우리동네 음악회 실내악>,어린이
56,마포구,2022 마포중앙도서관 여름방학 역사교실,청소년
57,마포구,[북스타트 부모교육] 우리함께 그림책 페어런팅 해요!,성인
58,마포구,[북스타트] 7월 스토리텔링이 있는 북스타트 데이,성인
59,마포구,[마마플] 토요일! 토의는 즐거워(4회차),어린이
60,마포구,[마마플] 토요일! 토의는 즐거워(3회차),어린이
61,마포구,[리터러시]미디어 쉐프(중등부),청소년
62,마포구,"지혜학교 - 「언어에서 배우는 지혜-언어로 보는 인간의 과거, 현재 그리고 미래」",시니어
63,마포구,"마포중앙도서관X소극장 산울림 「우리고전, 우리 문화의 힘」 2회차강연",전연령
64,마포구,[북스타트 부모교육] 아빠랑 그림책 놀이,성인
65,마포구,[마마플] 토요일! 토의는 즐거워(2회차),어린이
66,마포구,[마마플] 토요일! 토의는 즐거워(1회차),어린이
67,마포구,[2022 마중도 리딩튜터] 꼬리에 꼬리를 무는 독서단 초등부,어린이
68,마포구,마중도 리터러시 프로그램 - 디지털 리터러시 「디지털 시대의 주인되기」,전연령
69,마포구,[북스타트] 6월 스토리텔링이 있는 북스타트 데이,성인
70,마포구,"마포중앙도서관X소극장 산울림 「우리고전, 우리 문화의 힘」 1회차강연",전연령
71,마포구,[북스타트 비대면 부모교육] 북스타트로 시작하는 그림책 페어런팅(비대면),성인
72,마포구,[북스타트 비대면 부모교육] 그림책 육아 특강 <맥주도  참을 만큼  너를 사랑하니까>,성인
73,마포구,마포중앙도서관 어린이 북튜버 모집 <추가모집>,어린이
74,마포구,창조성 워크숍 (아티스트 웨이),시니어
75,마포구,[리터러시] 미디어 쉐프(초등부),어린이
76,마포구,마포중앙도서관 어린이 북튜버 모집,어린이
77,마포구,러시아 ‘팽창’의 역사와 러시아-우크라이나 전쟁 [마중도 인문학 살롱 특강 2회차] ,전연령
78,마포구,[장애인 행사주간] 배리어프리영화상영 「드림빌더」,전연령
79,마포구,"[장애인 행사주간] 장애인 인권영화 감독과의 만남 「학교가는 길, 김정인 감독」",어린이
80,마포구,[장애인 행사주간] 배리어프리영화상영 「미라클 벨리에」,전연령
81,마포구,[장애인 행사주간] 어린이 수어교실「손으로 말하는 동화」,어린이
82,마포구,우크라이나-러시아 관계의 역사적 전개 [마중도 인문학 살롱 특강 1회차] ,전연령
83,마포구,[책읽는아이] 내 마음 ㅅㅅㅎ <김지영 작가와의 만남>,어린이
84,마포구,"2022년 마포중앙도서관 어린이 독서 동아리 회원 모집 안내(초등 5,6학년)",어린이
85,마포구,"2022년 마포중앙도서관 어린이 독서 동아리 회원 모집 안내(초등 3,4학년)",어린이
86,마포구,[인문학 살롱] 조선시대 여문열전 '낭중지추'_글로벌 작가 '난설헌',전연령
87,마포구,[제58회 도서관 주간] 쉽게 하는 글쓰기_강연,전연령
88,마포구,[제58회 도서관 주간] 이순신 북아트 만들기_체험,어린이
89,마포구,[인문학 살롱] 조선시대 여문열전 '낭중지추'_광주 이씨편,전연령
