,title,target
0,사서와 함께 하는 별별 그림책 탐독 시간,어린이
1,<종말의 아이들> 출간 기념 북토크,전연령
2,"[봉현 X 피치마켓] 찾아가는 시니어 디지털 금융교육 (1기 , 2기 접수)",성인
3,(Zoom)아주 아주 느슨한 그림책 독서모임 2기,성인
4,(Zoom)우리아이 문해력을 키우는 그림책 북큐레이션,성인
5,"독서아카데미 '일상의 쉼표, 여행' 김요한의 <MBTI, 나와 너를 이어주는 다리>",전연령
6,2022 도서관다문화서비스 지원사업 – 작가와의 만남 : 우리는 모두 달라요,어린이
7,북아트로 고려를 알아보자go~,어린이
8,[현재 접수중입니다] 소소(小笑) 인문살롱 2. _ 책이는당나귀,성인
9,[현재 접수중입니다] 소소(小笑) 인문살롱 1. _자상한시간,성인
10,[현재 접수중입니다] 소소(小笑) 인문살롱 3. _ 밝은책방,성인
11,[현재 접수중입니다] 소소(小笑) 인문살롱 4. _ 이나영책방,전연령
12,"정명섭 작가와 함께하는 ""도서관 1열""",청소년
13,"초등학생을 위한 ""여름방학 독서클라쓰(고학년)"" 추가 모집",어린이
14,독서와 함께하는 여름밤의 DJ,전연령
15,초등과학 프로그램 '도서관에서 우주와 놀자!',어린이
16,광복절 맞이 필사행사 『하늘과바람과별과시』,전연령
17,[2022 한 주제로 함께 읽기] 내 멋대로 따라 그리기! (현장참여),어린이
18,"[푸른숲작은도서관] 추석, 마음을 담은 선물포장수업",성인
