lib,title,target
공통,[2022 강동북페스티벌] 이동진 김중혁의 덕후라이프,청소년
해공,[신중년 특화 프로그램] 9월 신중년 1:1 취업 상담 ,중장년
암사,[암사도서관 커뮤니티] 책꼬지,성인
천호,[모집] 천호도서관 다문화 이해 전통놀이 체험 프로그램 「함께 이해하는 온마을i」,어린이
해공, [디지털배움터] 나도 사진 작가 되기,중장년
해공,[디지털배움터] 구글 세계에 빠져보기 ,중장년
성내,성내 창업성공멘토특강 [9월],성인
둔촌,[모집] 힐링 독서 교실 <메타버스 북-트레일러>,어린이
강일,[모집] 「엄마 심리 수업」 윤우상 작가 강연,성인
해공,[모집] <미물일기> 진고로호 작가 북토크 & 미물 드로잉,전연령
공통,[2022 강동북페스티벌] 이동진 김중혁의 덕후라이프,청소년
해공,[신중년 특화 프로그램] 9월 신중년 1:1 취업 상담 ,중장년
암사,[암사도서관 커뮤니티] 책꼬지,성인
천호,[모집] 천호도서관 다문화 이해 전통놀이 체험 프로그램 「함께 이해하는 온마을i」,어린이
해공, [디지털배움터] 나도 사진 작가 되기,중장년
해공,[디지털배움터] 구글 세계에 빠져보기 ,중장년
성내,성내 창업성공멘토특강 [9월],성인
둔촌,[모집] 힐링 독서 교실 <메타버스 북-트레일러>,어린이
강일,[모집] 「엄마 심리 수업」 윤우상 작가 강연,성인
해공,[모집] <미물일기> 진고로호 작가 북토크 & 미물 드로잉,전연령
공통,[2022 강동북페스티벌] 이동진 김중혁의 덕후라이프,청소년
해공,[신중년 특화 프로그램] 9월 신중년 1:1 취업 상담 ,중장년
암사,[암사도서관 커뮤니티] 책꼬지,성인
천호,[모집] 천호도서관 다문화 이해 전통놀이 체험 프로그램 「함께 이해하는 온마을i」,어린이
해공, [디지털배움터] 나도 사진 작가 되기,중장년
해공,[디지털배움터] 구글 세계에 빠져보기 ,중장년
성내,성내 창업성공멘토특강 [9월],성인
둔촌,[모집] 힐링 독서 교실 <메타버스 북-트레일러>,어린이
강일,[모집] 「엄마 심리 수업」 윤우상 작가 강연,성인
해공,[모집] <미물일기> 진고로호 작가 북토크 & 미물 드로잉,전연령
공통,[2022 강동북페스티벌] 이동진 김중혁의 덕후라이프,청소년
해공,[신중년 특화 프로그램] 9월 신중년 1:1 취업 상담 ,중장년
암사,[암사도서관 커뮤니티] 책꼬지,성인
천호,[모집] 천호도서관 다문화 이해 전통놀이 체험 프로그램 「함께 이해하는 온마을i」,어린이
해공, [디지털배움터] 나도 사진 작가 되기,중장년
해공,[디지털배움터] 구글 세계에 빠져보기 ,중장년
성내,성내 창업성공멘토특강 [9월],성인
둔촌,[모집] 힐링 독서 교실 <메타버스 북-트레일러>,어린이
강일,[모집] 「엄마 심리 수업」 윤우상 작가 강연,성인
해공,[모집] <미물일기> 진고로호 작가 북토크 & 미물 드로잉,전연령
공통,[2022 강동북페스티벌] 이동진 김중혁의 덕후라이프,청소년
해공,[신중년 특화 프로그램] 9월 신중년 1:1 취업 상담 ,중장년
암사,[암사도서관 커뮤니티] 책꼬지,성인
천호,[모집] 천호도서관 다문화 이해 전통놀이 체험 프로그램 「함께 이해하는 온마을i」,어린이
해공, [디지털배움터] 나도 사진 작가 되기,중장년
해공,[디지털배움터] 구글 세계에 빠져보기 ,중장년
성내,성내 창업성공멘토특강 [9월],성인
