,lib,title,target
0,성동구립도서관," [길 위의 인문학] 100세 시대, 노년을 위한 도서관 경제인문학 (3차, 행복한 노후 매뉴얼)",중장년
1,성동구립도서관, [한책] '긴긴밤' 원화를 활용한 공예체험 모집 안내,어린이
2,성동구립도서관, [영어세상] 22-9월[비대면]리딩튜터 (신규접수),어린이
3,성동구립도서관, [메이커] [어린이 메이커 동아리 추가모집] 마이크로비트,어린이
4,성동구립도서관, [메이커] [러닝 메이커스] 공룡 화석 만들기,어린이
5,성동구립도서관, [메이커] [러닝 메이커스] 어린이 드론,어린이
6,성동구립도서관, [메이커] [러닝 메이커스] 메이키 메이키,어린이
7,성동구립도서관, [메이커] [메이커 창·취UP] 3D프린터 조립교실,성인
8,성동구립도서관, [메이커] [메이커 창·취UP] 슬기로운 3D프린터 생활(초급),성인
9,성동구립도서관, [메이커] [메이커 창·취UP]드론입문 및 항공촬영,성인
10,성동구립도서관, [북스타트] 북 스타트 부모교육 <아이를 크게 키우는 놀이 육아>,성인
11,성동구립도서관, [스토리텔링] 성동구립도서관 8월 넷째 주 유아 영어스토리텔링,어린이
12,성동구립도서관," [길 위의 인문학] 100세 시대, 노년을 위한 도서관 경제인문학 (2차, 부자는 매일 아침 경제기사를 읽는다)",중장년
13,성동구립도서관, [특강] 2022 여름방학특강 이야기가 있는 코딩,어린이
14,성동구립도서관, [메이커] [러닝 메이커스] 나도 유튜브 크리에이터!,어린이
15,성동구립도서관, [메이커] [러닝메이커스] 3D프린터 체험 교육,어린이
16,성동구립도서관, [메이커] [메이커 창·취UP] 슬기로운 3D프린터 생활(초급),성인
17,성동구립도서관, [자원봉사] 성동구립도서관 자원봉사자 오리엔테이션,청소년
18,성동구립도서관, [북스타트] [영유아] 2022 북스타트 책꾸러미 신청(2단계),어린이
19,성동구립도서관, [북스타트] [영유아] 2022 북스타트 책꾸러미 신청(1단계),어린이
20,성동구립 금호도서관, [이야기누리] 금호도서관 9월 이야기누리 1차,어린이
21,성동구립 금호도서관, [디지털배움터] [9월]나도 프레젠테이션(PPT) 전문가(기초),성인
22,성동구립 금호도서관, [디지털배움터] [9월]SNS 제대로 배우기(인스타/블로그),성인
23,성동구립 금호도서관, [디지털배움터] [9월]스마트폰의 이해와 활용,성인
24,성동구립 금호도서관, [디지털배움터] [9월]온라인 학습을 위한 스마트한 학습 도우미,성인
