,국가,시도,시군구,합계 (명),외국인 (명),외국인 비율,서울 외국인 비율
0,대한민국,서울특별시,종로구,153246,9699,6.33,4.22
1,대한민국,서울특별시,중구,131702,9564,7.26,4.16
2,대한민국,서울특별시,용산구,236541,14279,6.04,6.21
3,대한민국,서울특별시,성동구,290430,6812,2.35,2.96
4,대한민국,서울특별시,광진구,352877,13024,3.69,5.66
5,대한민국,서울특별시,동대문구,352591,15393,4.37,6.69
6,대한민국,서울특별시,중랑구,392990,4683,1.19,2.04
7,대한민국,서울특별시,성북구,443895,10312,2.32,4.48
8,대한민국,서울특별시,강북구,300081,3592,1.2,1.56
9,대한민국,서울특별시,도봉구,316798,2136,0.67,0.93
10,대한민국,서울특별시,노원구,511696,4121,0.81,1.79
11,대한민국,서울특별시,은평구,477343,3814,0.8,1.66
12,대한민국,서울특별시,서대문구,317421,11705,3.69,5.09
13,대한민국,서울특별시,마포구,378096,10623,2.81,4.62
14,대한민국,서울특별시,양천구,447376,3163,0.71,1.37
15,대한민국,서울특별시,강서구,578233,5419,0.94,2.36
16,대한민국,서울특별시,구로구,418421,23676,5.66,10.29
17,대한민국,서울특별시,금천구,245067,13545,5.53,5.89
18,대한민국,서울특별시,영등포구,399789,23128,5.79,10.05
19,대한민국,서울특별시,동작구,394843,9097,2.3,3.95
20,대한민국,서울특별시,관악구,501094,13922,2.78,6.05
21,대한민국,서울특별시,서초구,411213,3867,0.94,1.68
22,대한민국,서울특별시,강남구,537133,4935,0.92,2.15
23,대한민국,서울특별시,송파구,668758,5688,0.85,2.47
24,대한민국,서울특별시,강동구,465619,3845,0.83,1.67
