지역,title,target
금천구,"[시흥]도서관지혜학교:전통시기 중국문인의 시,서,화에서 얻은 지혜 행사 안내",전연령
금천구,[독산] 대숲소리 북콘서트Ⅳ : 여름밤 영화음악회 안내,전연령
금천구,[독산] 7월 문화가 있는날- 김해원 깊이읽기 3,성인
금천구,"[금나래]길 위의 인문학 ""차이 '안'나는 클라스 진행",성인
금천구,[독산] 대숲소리 북콘서트Ⅲ 안내,전연령
금천구,[독산]린드그렌이 말을 걸어 온다「이렇게 살아 보면 어때?」참여자 모집 안내,성인
금천구,[금나래] 2022 도서관 서포터즈 '나래 미디어 팩토리' 참여자 모집 안내,성인
금천구,[독산] 대숲소리 북콘서트Ⅱ 안내,전연령
금천구,[독산] 길 위의 인문학 「나를 돌보는 읽기와 쓰기」참여자 모집 안내,성인
금천구,[독산] 대숲소리 북콘서트Ⅰ 안내,전연령
금천구,[독산] 4월 문화가 있는날- 엄혜숙 깊이읽기 4,성인
금천구,"[시흥] 저자와의 만남-<저자, 일단 만났습니다>",성인
금천구,"2021년 북콘서트 ""해피 버스데이 우리 동네""",전연령
금천구,상주작가 X 초청작가 작은도서관 북토크,성인
금천구,"제11회 <2021 금천구 도서관 북페스티벌> 행사 4일차 일정 안내(6월 4일, 금)",전연령
금천구,"제11회 <2021 금천구 도서관 북페스티벌> 3일차 행사 안내(6월 3일, 목)",전연령
금천구,"제11회 <2021 금천구 도서관 북페스티벌> 2일차 행사 안내(6월 2일,수)",전연령
금천구,나의 손 글씨,성인
금천구,"영화, 그림책과 리딩하다",성인
금천구,그림책 깊이 읽기,성인
금천구,처음 읽어보는 영어그림책,성인
마포구,[북스타트] 8월 스토리텔링이 있는 북스타트 데이,성인
마포구,"[제12회 책축제] 공간의 격차, 빈부의 격차 그리고 미래의 격차",전연령
마포구,[제12회 책축제] 우리 아이들이 살아갈 세상 이야기 '메타버스와 버츄얼 휴먼',전연령
마포구,[제12회 책축제] 공간의 전환! 책대신 음악,전연령
마포구,[제12회 책축제] 최고의 인테리어는 정리입니다.,전연령
마포구,"마포중앙도서관X소극장 산울림 「우리고전, 우리 문화의 힘」 3회차강연",전연령
마포구,[북스타트] 7월 스토리텔링이 있는 북스타트 데이,성인
마포구,"지혜학교 - 「언어에서 배우는 지혜-언어로 보는 인간의 과거, 현재 그리고 미래」",성인
마포구,"마포중앙도서관X소극장 산울림 「우리고전, 우리 문화의 힘」 2회차강연",전연령
마포구,마중도 리터러시 프로그램 - 디지털 리터러시 「디지털 시대의 주인되기」,전연령
마포구,[북스타트] 6월 스토리텔링이 있는 북스타트 데이,성인
마포구,"마포중앙도서관X소극장 산울림 「우리고전, 우리 문화의 힘」 1회차강연",전연령
마포구,[북스타트 비대면 부모교육] 북스타트로 시작하는 그림책 페어런팅(비대면),성인
마포구,창조성 워크숍 (아티스트 웨이),성인
마포구,러시아 ‘팽창’의 역사와 러시아-우크라이나 전쟁 [마중도 인문학 살롱 특강 2회차] ,전연령
마포구,[장애인 행사주간] 배리어프리영화상영 「드림빌더」,전연령
마포구,우크라이나-러시아 관계의 역사적 전개 [마중도 인문학 살롱 특강 1회차] ,전연령
마포구,[인문학 살롱] 조선시대 여문열전 '낭중지추'_글로벌 작가 '난설헌',전연령
마포구,[제58회 도서관 주간] 쉽게 하는 글쓰기_강연,전연령
마포구,[인문학 살롱] 조선시대 여문열전 '낭중지추'_광주 이씨편,전연령
마포구,[제58회 도서관 주간] 책과 친해지는 독서법_강연,전연령
마포구,[인문학 살롱_서양편] 다시보는 중세이야기  (주제도서: 중세를 오해하는 현대인들에게),전연령
마포구,[인문학 살롱-우리나라편] 21세기에 돌아보는 ‘대한민국 임시정부가 역사와 헌법에 남긴 유산',전연령
마포구,[제11회 책축제] 책장넘겨 떠나볼까? 랜선투어 - 스페인 바르셀로나,전연령
마포구,[제11회 책축제] 라이너 영화평론가 특강 <다시 듣고 보고 가다 - 영화 > ,전연령
마포구,[제11회 책축제] <다시 듣고 보고 가다 - 여행편 >김소담 여행작가 북토크 ,전연령
마포구,[제11회 책축제] 책장넘겨 떠나볼까? 랜선투어 - 비엔나 로망스 투어,전연령
마포구,[제11회 책축제]' 학교 가는 길' 관람 & 김정인 감독 특강 <다시 듣고 보고 가다 - 영화 > ,전연령
마포구,[제11회 책축제] 책장넘겨 떠나볼까? 랜선투어 - 마카오 인사이드,전연령
마포구,[북스타트] 2021 마포구 서울북스타트 어린이집용 책꾸러미 단체신청(추가)(오전 9시부터 접수 가능),전연령
마포구,[◆대면][북스타트] 11월 스토리텔링이 있는 북스타트 데이 (3차시:11월24일),성인
마포구,[◆대면][북스타트] 11월 스토리텔링이 있는 북스타트 데이 (2차시:11월17일),성인
마포구,"[★온라인강연][2021년 평화 1번지 마포] 역사 속에서 찾은 북한의 맛, 통일식당 개성밥상",전연령
마포구,[◆대면][북스타트] 11월 스토리텔링이 있는 북스타트 데이 (1차시:11월10일),성인
마포구,[★온라인강연][2021년 평화 1번지 마포] 음식을 통해 본 통일,전연령
마포구,[★온라인강연][지혜의도서관] 인류세와 미술 (12회차강연),전연령
마포구,[★온라인강연][한국어문학과 포노사피엔스4] 포노사피엔스의 워라밸이란,전연령
마포구,[★온라인강연][2021년 평화 1번지 마포] 여행하며 맛 본 북한의 음식 ,전연령
마포구,[★온라인강연][한국어문학과 포노사피엔스3] 디지털 리터러시와 시적 언어의 학습효과,전연령
마포구,[★온라인강연][지혜의도서관] 인공지능은 예술작품을 창작할 수 있을까 (11회차강연),전연령
마포구,[★온라인강연][지혜의도서관] SF문학으로 보는 포스트휴머니즘 (10회차강연),전연령
마포구,[★온라인강연] 화요미시회(8회강연),성인
마포구,[★온라인강연][미디어 평생교실] 미디어 리터러시 - 학부모 연수,성인
마포구,[★온라인강연][아웃사이더 인문학] <클래식> 클래식이 알고싶다 – 브람스를 좋아하세요?,전연령
마포구,[★온라인강연] 2021독서의 달 기념_마중도 탐구생활3:대동여지도 간행 160주년 강의,전연령
마포구,"[★온라인강연][지혜의도서관] 환경과 생태, 지구를 살리는 소비 (9회차강연)",전연령
마포구,[★온라인강연] 2021독서의 달 기념_마중도 탐구생활2:학자의 눈으로 바라본 박완서,전연령
마포구,[★온라인강연][지혜의도서관] 수소로 전기와 열을 만드는 세상 (8회차강연),전연령
마포구,[★온라인강연] 2021독서의 달 기념_마중도 탐구생활1:출판인의 눈으로 바라본 박완서,전연령
마포구,[★온라인강연] 북스타트 온라인 부모교육,성인
마포구,[★온라인강연][지혜의도서관] 기후변화와 우리의 미래 (7회차강연),전연령
마포구,[★온라인강연][아웃사이더 인문학] <윤리학> 윤리학의 분투 – 생활 속의 응용윤리,전연령
마포구,[★온라인강연][아웃사이더 인문학] <철학> 왜 공부하는 삶을 사는가?,전연령
마포구,[★온라인강연][지혜의도서관] AI윤리기준:인공지능과의 공존 (6회차강연),전연령
마포구,[★온라인강연] 마포중앙도서관X소극장 산울림「우리가 사랑한 영미고전」 2회차강연,전연령
마포구,[★온라인강연][지혜의도서관] 포스트휴먼과 포스트휴머니즘 (5회차강연),전연령
마포구,[★온라인강연] 마포중앙도서관X소극장 산울림「우리가 사랑한 영미고전」 1회차강연,전연령
마포구,[지혜의도서관] 뇌과학과 인공지능은 같은 학문일까(3회차강연),전연령
마포구,[온라인] 작지만 확실한 행복 북스타트 소확행 그림책 테라피,성인
마포구,2021년 어르신 독서 동아리 '책으로활짝 60+'(2021 큰글자책숲 여행),전연령
마포구,[북스타트] 6월 스토리텔링이 있는 북스타트 데이,성인
마포구,“나의 인생을 영상자서전으로 만들기” 특강,성인
마포구,[북스타트] 심화 : 하루 15분 그림책 읽어주는 아빠 프로젝트,성인
마포구,[지혜의도서관] 인공지능의 미래:슈퍼인텔리전스(2회차강연),전연령
마포구,[도서관 지혜학교] 중국의 옛 노래로 배우는 즐겁게 살기의 지혜,성인
마포구,"〈동서양 역사 속의 질병과 의학 이야기〉 한국 최초의 여의사, 박에스더 (4회차)",전연령
마포구,〈동서양 역사 속의 질병과 의학 이야기〉 중국 송대의 일상생활 속의 질병과 의학 (3회차),전연령
마포구,[지혜의도서관] 우리는 어떻게 이런 현재에 이르렀는가(1회차강연),전연령
마포구, '아티스트웨이' 프로그램,성인
구로구,2022년 북스타트 부모교육,성인
구로구,[독서동아리 지원]처음 만나는 서평쓰기,성인
구로구,평생학습관 운영지원]에세이 읽으며 방구석 힐링,성인
구로구,[학부모캠퍼스] 우리 부부가 함께 육아하는 법,성인
구로구,"[도서관대학] 미리 만나느 멋과 예술의 나라, 스페인 여행",성인
구로구,[동네책방] 내 삶을 관통하는 질문 하나,성인
구로구,[학부모캠퍼스]영화를 통해 찾아보는 우리아이 성격과 강점,성인
구로구,"뻔하지 않은 책놀이 북트레일러:독서, 영상에 날개를 달다!",성인
구로구,"사이다 그림책 읽기, 가래떡부터 고구마유까지~",성인
구로구,문학 속 정원 이야기,성인
구로구,고전철학 : 제자백가와 한판 씨름,성인
구로구,에니어그램 성향에 따라 스트레스도 다르다고?!,성인
구로구,그림으로 만나는 우리 정원 이야기,성인
성동구," [길 위의 인문학] 100세 시대, 노년을 위한 도서관 경제인문학 (3차, 행복한 노후 매뉴얼)",성인
성동구, [메이커] [메이커 창·취UP] 3D프린터 조립교실,성인
성동구, [메이커] [메이커 창·취UP] 슬기로운 3D프린터 생활(초급),성인
성동구, [메이커] [메이커 창·취UP]드론입문 및 항공촬영,성인
성동구, [북스타트] 북 스타트 부모교육 <아이를 크게 키우는 놀이 육아>,성인
성동구," [길 위의 인문학] 100세 시대, 노년을 위한 도서관 경제인문학 (2차, 부자는 매일 아침 경제기사를 읽는다)",성인
성동구, [메이커] [메이커 창·취UP] 슬기로운 3D프린터 생활(초급),성인
성동구, [디지털배움터] [9월]나도 프레젠테이션(PPT) 전문가(기초),성인
성동구, [디지털배움터] [9월]SNS 제대로 배우기(인스타/블로그),성인
성동구, [디지털배움터] [9월]스마트폰의 이해와 활용,성인
성동구, [디지털배움터] [9월]온라인 학습을 위한 스마트한 학습 도우미,성인
성동구, [디지털배움터] [9월]왕초보 컴퓨터 배우기,성인
성동구, [디지털배움터] [9월]나도 유튜브 크리에이터,성인
성동구, [디지털배움터] [9월]비대면-SNS 제대로 배우기(인스타/블로그),성인
성동구, [디지털배움터] [9월]비대면-나도 스프레드시트(엑셀) 전문가(기초),성인
성동구, [디지털배움터] [9월]비대면-나도 프레젠테이션(PPT) 전문가(기초),성인
성동구, [디지털배움터] [9월]비대면-나도 프레젠테이션(PPT) 전문가(심화),성인
성동구, [디지털배움터]  [9월]비대면-나도 스프레드시트(엑셀) 전문가(심화),성인
성동구, [디지털배움터] [8월]비대면-나도 파워포인트 전문가(심화),성인
성동구, [디지털배움터] [8월]비대면-나도 파워포인트 전문가(기초),성인
성동구, [디지털배움터] [8월]나도 유튜브 크리에이터,성인
성동구, [디지털배움터] [8월]왕초보 컴퓨터 배우기,성인
성동구, [디지털배움터] [8월]스마트폰의 이해와 활용,성인
성동구, [디지털배움터] [8월]스마트폰 앱을 이용한 편리한 교통생활,성인
성동구, [디지털배움터] 스마트폰의 이해와 활용,성인
성동구, [디지털배움터] 왕초보 컴퓨터 배우기,성인
성동구, [디지털배움터] 나도 유튜브 크레이터,성인
성동구, [디지털배움터] 나도 프레젠테이션 전문가(기초과정),성인
성동구, [디지털배움터] 나도 이제 사진작가!,성인
성동구, [문화행사] 2022년 금호도서관 금호의 서재 연계  「레진아트 바다 그립톡」 특강 참여자 모집(성인반) ,성인
성동구, [문화행사] 금호도서관 <1인 미디어 크리에이터 양성과정> 참여자 모집,성인
성동구, [문화행사] 2022년 독서토론 리더 양성과정 참여자 모집 ,성인
성동구, [성인독서회] 2022년 금호도서관 성인 독서동아리 <독서공방> 회원 모집 안내 ,성인
성동구, [독서의 달] 용답도서관 <청소년기 부모교실> 특강 ,성인
성동구, [어르신문화프로그램] 2022 디지털 문해 학습,성인
성동구, [길 위의 인문학] 2022년 용답도서관 길위의 인문학 '왠지 끌리는 명화 인문학',성인
성동구, [어르신문화프로그램] 어르신 청춘 문화 프로젝트 ‘미술과 공예로 행복만들기’,성인
성동구, [독서회] 용답도서관 실버독서동아리 모집,성인
성동구, [독서회] 용답도서관 성인독서회 모집,성인
성동구, [독서의 달] 작가 초청 강연 '책처방사의 독서법',전연령
성동구, [문화행사] 성수도서관 '영화로 보는 다문화' 다문화 아카데미(성인) 참여자 모집 ,성인
성동구, [길위의 인문학] 영화 속 메타버스와 우리 가족 [전화접수],전연령
성동구, [길위의 인문학] 문화심리학으로 본 메타버스와 세대 통합,성인
성동구, [길위의 인문학] 메타버스 비즈니스와 윤리적 공존,성인
성동구, [길위의 인문학] 메타버스가 가져올 가상경제와 새로운 미래,성인
성동구," [길위의 인문학] 메타버스 시대, 미래 인재에게 필요한 디지털 리터러시",성인
동대문구,손에 잡히는 경제인문학 여행,성인
동대문구,북튜버 양성과정 - 나도 북튜버-,성인
동대문구,서양 고전문학이 주는 삶의 지혜,성인
동대문구,필사의 힘,성인
동대문구,책과 함께 만나는 다문화세상,전연령
동대문구,디지털 세상과 소통하기,성인
영등포구,(비대면)대림도서관 독서동아리 책 읽는 청춘,성인
영등포구,[비대면][작가와의만남#3] '페인트' 이희영 작가와의 만남,전연령
영등포구,(비대면)대림도서관 독서동아리 책 읽는 청춘,성인
영등포구,[비대면][작가와의만남#3] '페인트' 이희영 작가와의 만남-네이버폼접수중,전연령
영등포구,"[길 위의 인문학] 대림도서관 '플라스틱 마을, 녹색 처방전' 3차",전연령
영등포구,[독서의 달] 대림도서관 여권스탬프북 신청,전연령
영등포구,[독서의 달] (비대면)작가와의 만남#5 소복이_만화 그리는 법,전연령
영등포구,[독서의 달] 작가와의 만남#4 안승준&홍나리_음악이 있는 그림책 이야기,성인
영등포구,"[독서의 달] 가죽 카드지갑 만들기_소중함, 오래오래 간직할 수 있도록",전연령
영등포구,[독서의 달] 작가와의 만남#5 소복이_만화 그리는 법(비대면),전연령
영등포구,[독서의 달] 작가와의 만남#4 안승준&홍나리_음악이 있는 그림책 이야기,성인
영등포구,"[생애주기] 내가 좋아하는 것들, 요가_작가와의 만남",전연령
영등포구,"[생애주기] 내가 직접 해보는, 요가",전연령
영등포구,[생애주기] 경제신문 읽는 법,전연령
영등포구,[길 위의 인문학] '그건 쓰레기가 아니라고요' 홍수열 작가와의 만남,전연령
영등포구,[작가와의만남#8] '독서모임 꾸리는 법' 원하나 작가와의 만남,전연령
영등포구,[작가와의만남#10] 「긴긴밤」 루리 작가와의 만남(비대면-온라인강연),전연령
영등포구,[작가와의만남#10] 「긴긴밤」 루리 작가와의 만남(대면-현장강연),전연령
영등포구,"[생애주기] 내가 좋아하는 것들, 요가_작가와의 만남",전연령
영등포구,[생애주기] 경제신문 읽는 법,전연령
영등포구,[날짜변경][길 위의 인문학] '그건 쓰레기가 아니라고요' 홍수열 작가와의 만남,전연령
영등포구,[비대면][작가와의만남#11] 「아동학대에 관한 뒤늦은 기록」 임지선 기자와의 만남(비대면-유튜브 라이브),전연령
영등포구,[대면][작가와의만남#11] 「아동학대에 관한 뒤늦은 기록」 임지선 기자와의 만남(대면-현장강연),전연령
영등포구,"[비대면][작가와의만남#12] 「할머니, 우리 할머니」 한성원 작가와의 만남(비대면-유튜브 라이브)",전연령
