,지역,title,target
0,금천구,"[시흥]도서관지혜학교:전통시기 중국문인의 시,서,화에서 얻은 지혜 행사 안내",일반교양
1,금천구,[독산] 대숲소리 북콘서트Ⅳ : 여름밤 영화음악회 안내,일반교양
2,금천구,[독산] 7월 문화가 있는날- 김해원 깊이읽기 3,독서
3,금천구,"[금나래]길 위의 인문학 ""차이 '안'나는 클라스 진행",일반교양
4,금천구,[독산] 대숲소리 북콘서트Ⅲ 안내,일반교양
5,금천구,[독산]린드그렌이 말을 걸어 온다「이렇게 살아 보면 어때?」참여자 모집 안내,기타
6,금천구,[금나래] 2022 도서관 서포터즈 '나래 미디어 팩토리' 참여자 모집 안내,커뮤니티
7,금천구,[독산] 대숲소리 북콘서트Ⅱ 안내,일반교양
8,금천구,[독산] 대숲소리 북콘서트Ⅰ 안내,일반교양
9,금천구,[독산] 4월 문화가 있는날- 엄혜숙 깊이읽기 4,기타
10,금천구,상주작가 X 초청작가 작은도서관 북토크,일반교양
11,금천구,"제11회 <2021 금천구 도서관 북페스티벌> 행사 4일차 일정 안내(6월 4일, 금)",일반교양
12,금천구,"제11회 <2021 금천구 도서관 북페스티벌> 3일차 행사 안내(6월 3일, 목)",일반교양
13,금천구,"제11회 <2021 금천구 도서관 북페스티벌> 2일차 행사 안내(6월 2일,수)",일반교양
14,금천구,나의 손 글씨,취미
15,금천구,"영화, 그림책과 리딩하다",일반교양
16,금천구,그림책 깊이 읽기,기타
17,금천구,처음 읽어보는 영어그림책,언어교육
18,마포구,[북스타트] 8월 스토리텔링이 있는 북스타트 데이,가족/양육
19,마포구,[제12회 책축제] 공간의 전환! 책대신 음악,일반교양
20,마포구,"마포중앙도서관X소극장 산울림 「우리고전, 우리 문화의 힘」 3회차강연",일반교양
21,마포구,[북스타트] 7월 스토리텔링이 있는 북스타트 데이,가족/양육
22,마포구,"지혜학교 - 「언어에서 배우는 지혜-언어로 보는 인간의 과거, 현재 그리고 미래」",일반교양
23,마포구,"마포중앙도서관X소극장 산울림 「우리고전, 우리 문화의 힘」 2회차강연",일반교양
24,마포구,마중도 리터러시 프로그램 - 디지털 리터러시 「디지털 시대의 주인되기」,기술교육
25,마포구,[북스타트] 6월 스토리텔링이 있는 북스타트 데이,가족/양육
26,마포구,"마포중앙도서관X소극장 산울림 「우리고전, 우리 문화의 힘」 1회차강연",일반교양
27,마포구,[북스타트 비대면 부모교육] 북스타트로 시작하는 그림책 페어런팅(비대면),가족/양육
28,마포구,창조성 워크숍 (아티스트 웨이),취미
29,마포구,러시아 ‘팽창’의 역사와 러시아-우크라이나 전쟁 [마중도 인문학 살롱 특강 2회차] ,일반교양
30,마포구,[장애인 행사주간] 배리어프리영화상영 「드림빌더」,일반교양
31,마포구,우크라이나-러시아 관계의 역사적 전개 [마중도 인문학 살롱 특강 1회차] ,일반교양
32,마포구,[인문학 살롱] 조선시대 여문열전 '낭중지추'_글로벌 작가 '난설헌',일반교양
33,마포구,[제58회 도서관 주간] 쉽게 하는 글쓰기_강연,일반교양
34,마포구,[인문학 살롱] 조선시대 여문열전 '낭중지추'_광주 이씨편,일반교양
35,마포구,[제58회 도서관 주간] 책과 친해지는 독서법_강연,일반교양
36,마포구,[인문학 살롱-우리나라편] 21세기에 돌아보는 ‘대한민국 임시정부가 역사와 헌법에 남긴 유산',일반교양
37,마포구,[제11회 책축제] 책장넘겨 떠나볼까? 랜선투어 - 스페인 바르셀로나,일반교양
38,마포구,[제11회 책축제] 라이너 영화평론가 특강 <다시 듣고 보고 가다 - 영화 > ,일반교양
39,마포구,[제11회 책축제] <다시 듣고 보고 가다 - 여행편 >김소담 여행작가 북토크 ,일반교양
40,마포구,[제11회 책축제]' 학교 가는 길' 관람 & 김정인 감독 특강 <다시 듣고 보고 가다 - 영화 > ,일반교양
41,마포구,[제11회 책축제] 책장넘겨 떠나볼까? 랜선투어 - 마카오 인사이드,일반교양
42,마포구,[북스타트] 2021 마포구 서울북스타트 어린이집용 책꾸러미 단체신청(추가)(오전 9시부터 접수 가능),가족/양육
43,마포구,[◆대면][북스타트] 11월 스토리텔링이 있는 북스타트 데이 (2차시:11월17일),가족/양육
44,마포구,"[★온라인강연][2021년 평화 1번지 마포] 역사 속에서 찾은 북한의 맛, 통일식당 개성밥상",일반교양
45,마포구,[◆대면][북스타트] 11월 스토리텔링이 있는 북스타트 데이 (1차시:11월10일),가족/양육
46,마포구,[★온라인강연][2021년 평화 1번지 마포] 음식을 통해 본 통일,일반교양
