,lib,title,target
0,시흥,"[시흥]도서관지혜학교:전통시기 중국문인의 시,서,화에서 얻은 지혜 행사 안내",전연령
1,독산,[독산] 8월 문화가 있는날- 김해원 깊이읽기 4,어린이
2,독산,[독산] 대숲소리 북콘서트Ⅳ : 여름밤 영화음악회 안내,전연령
3,독산,[독산] 7월 문화가 있는날- 김해원 깊이읽기 3,성인
4,금나래,"[금나래]길 위의 인문학 ""차이 '안'나는 클라스 진행",성인
5,독산,[독산] 대숲소리 북콘서트Ⅲ 안내,전연령
6,독산,[독산]린드그렌이 말을 걸어 온다「이렇게 살아 보면 어때?」참여자 모집 안내,성인
7,금나래,[금나래] 2022 도서관 서포터즈 '나래 미디어 팩토리' 참여자 모집 안내,성인
8,독산,[독산] 6월 문화가 있는날- 김해원 깊이읽기 2,어린이
9,독산,[독산] 대숲소리 북콘서트Ⅱ 안내,전연령
10,금나래,[금나래] 가정의 달 기념 인형극 공연 안내,어린이
11,독산,[독산] 길 위의 인문학 「나를 돌보는 읽기와 쓰기」참여자 모집 안내,성인
12,독산,[독산] 5월 문화가 있는날- 김해원 깊이읽기 1,어린이
13,독산,[독산] 대숲소리 북콘서트Ⅰ 안내,전연령
14,금나래,"[금나래 다문화]세계를 두드리고, 어울려보자꾸나!",어린이
15,독산,[독산] 4월 문화가 있는날- 엄혜숙 깊이읽기 4,성인
16,금나래,2022 금나래도서관 책꾸러미사업 안내,어린이
17,독산,[독산] 도서관주간 행사 안내,어린이
18,금나래,"[특화사업] 2022년 ""나래 북 팩토리"" 참가 모집",어린이
19,시흥,"[시흥] 저자와의 만남-<저자, 일단 만났습니다>",성인
20,금나래,[금나래] 2월 문화가 있는 날 <책과 함께하는 미니어처>,어린이
21,공통,"2021년 북콘서트 ""해피 버스데이 우리 동네""",전연령
22,금나래,힐링독서놀이(2학년) 10월 프로그램 안내,어린이
23,작은,상주작가 X 초청작가 작은도서관 북토크,성인
24,공통,"제11회 <2021 금천구 도서관 북페스티벌> 행사 5일차 일정 안내(6월 5일, 토)",전연령
25,공통,"제11회 <2021 금천구 도서관 북페스티벌> 행사 4일차 일정 안내(6월 4일, 금)",전연령
26,공통,"제11회 <2021 금천구 도서관 북페스티벌> 3일차 행사 안내(6월 3일, 목)",전연령
27,공통,"제11회 <2021 금천구 도서관 북페스티벌> 2일차 행사 안내(6월 2일,수)",전연령
28,금나래,힐링독서놀이 6월 프로그램 참가자 모집,어린이
29,금나래,[금나래] 5월 문화가 있는 날 <동물보호를 위한 언택트 2시간> - 김바다 작가와의 만남,어린이
30,금나래,힐링독서놀이 5월 프로그램 참가자 모집,어린이
31,금나래,[금나래] 나래 미디어 팩토리 모집 안내,청소년
32,금나래,[금나래] 4월 문화가 있는 날 <동물보호를 위한 언택트 2시간> - 이서우 작가와의 만남,어린이
33,금나래,[금나래] 세계건축문화스토리 저학년 모집 안내,어린이
34,금나래,[금나래] 나래 북 팩토리 - 환경 그림책 만들기,어린이
35,금나래,세계 건축문화 스토리 Ⅰ,어린이
36,금나래, 세계 건축문화 스토리 Ⅱ,어린이
37,금나래,쉽게 친해지는 코딩,어린이
38,금나래,나의 손 글씨,성인
39,금나래,"영화, 그림책과 리딩하다",성인
40,금나래,그림책 깊이 읽기,성인
41,금나래,처음 읽어보는 영어그림책,성인
