,국가,행정구역(동읍면)별,0-19세,20-39세,40-59세,60-100+세,지역 총 인구
0,대한민국,서울특별시,1313781,2841957,2976234,2361239,9493211
1,대한민국,부산광역시,477204,804598,1049023,1003770,3334595
2,대한민국,대구광역시,379150,583196,785494,626280,2374120
3,대한민국,인천광역시,482815,786683,994417,696665,2960580
4,대한민국,광주광역시,260464,380348,472780,321111,1434703
5,대한민국,대전광역시,244624,394308,468908,340342,1448182
6,대한민국,울산광역시,197373,274602,388694,254084,1114753
7,대한민국,세종특별자치시,94405,100358,126587,59539,380889
8,대한민국,경기도,2389436,3649923,4587778,2962225,13589362
9,대한민국,강원도,230663,333350,482270,492895,1539178
10,대한민국,충청북도,258168,379525,507305,452165,1597163
11,대한민국,충청남도,357475,488707,669041,605788,2121011
12,대한민국,전라북도,282002,380022,556687,558238,1776949
13,대한민국,전라남도,280075,363636,563868,617955,1825534
14,대한민국,경상북도,390734,539355,826546,855381,2612016
15,대한민국,경상남도,556216,719007,1102447,916039,3293709
16,대한민국,제주특별자치도,126863,159064,228525,164039,678491
