lib,title,target
다산성곽,도서관이랑 놀자 3기,영유아
손기정어린이,나도 북큐레이터(중구민우선접수),어린이
가온,취중JOB답:채용트렌드(1차),성인
손기정문화,매거진만들기 프로그램,"성인,누구나"
가온,취중JOB답:면접준비(3차),성인
가온,취중JOB답:자소서작성법(2차),성인
신당누리,(대기접수중)독서의 달 행사 <핸드메이드 북바인딩 다이어리>,성인
신당누리,디지털 드로잉 프로그램 <내 손으로 만드는 신당누리도서관 굿즈>,청소년
남산타운어린이,[독서의 달] 생각이 쑥쑥 창의 독서교실,어린이
다산성곽,(접수중) 포토에세이 원데이 클래스,성인
가온,9월 「문학산책 : 경혜원 작가와의 대화」,"어린이,누구나"
손기정문화,9월 토요예술무대 <힐링콘서트 : 그렇게 시작하는거야>,누구나
가온,그림책과 함께하는 가온공방 <10월 컬러 클레이로 만드는 접시>,성인
남산타운어린이,[가족독서클럽2기모집],어린이
가온,(대기접수중)늘해랑 스토리텔링 - 9월,어린이
가온,퇴근길 주:酒책「맥주편」,성인
신당누리,한재권 음악감독과 함께하는 영화 속 음악이야기,누구나
남산타운어린이,"[초등1,2학년 대상 독서클럽] 도란도란 읽어요 2기 모집",어린이
가온,벽돌책읽기:우리본성의선한천사,누구나
손기정문화,9월 작가와의 대화 『사서함 110호의 우편물』,누구나
가온,(접수마감) 영어가온다 - 9월: The dot 외 1권,어린이
어울림,똑똑한 식집사의 반려식물 키우기 같이해요!,성인
다산성곽,9월 「나는 어떻게 좋아하는 일을 하게 되었나: 책 읽기와 책모임」작가와의대화 ,누구나
신당누리,(마감)독서의 달 행사 <그림책 새활용 팝업북 만들기>,어린이
어울림,어울림도서관 9월 독서의 달 공연 '낯선 이끌림',누구나
가온,로쟈와 [모비딕] 제대로 읽기,누구나
가온,미국/남미 고전문학 읽기(월1회),성인
가온,작전명:트래블북2022,누구나
장충동작은,'어린이라는 세계' 김소영 작가와의 대화,성인
어울림,어울림도서관 9월 도서관으로 이끌림 '아이들의 탁월성 발휘를 위한 공감 독서법',성인
작은,학원에서 잘 배우고 있는걸까<부모표 영어진단>,성인
손기정어린이,꽤 멋진 나! 그림책 성교육과 함께!,어린이
가온,취향의 독서 - 세번째 시즌,성인
남산타운어린이,[독서의 달] 레진아트 책갈피 만들기,어린이
장충동작은,살롱 드 포크,누구나
손기정어린이,독서의 달 행사<생각을 쑥쑥 키우는 글쓰기>,어린이
어울림,시니어 디지털금융 교육,성인
장충동작은,9월 장충생각 「그래서 우리는 달에 간다」,성인
장충동작은,"감사해요 여러분, 함께해요 도서관",누구나
다산성곽,북스타트 책놀이 <가족과 함께 몸으로 말해요>,"영유아,성인"
다산성곽,북스타트 부모교육 <너에게 가는 길>,성인
장충동작은,어린이 독서토론 <독토리> 시즌3,어린이
가온,도서관에서 미술관으로,어린이
남산타운어린이,[유아대상_재능기부프로그램] 한 입에 덥석,영유아
어울림,어울림도서관 9월 도서관으로 이끌림 '도서관에서 전통 놀이',어린이
장충동작은,독서클럽 신규회원 모집,성인
다산성곽,[1인가구] 집구하기 강좌,"성인,누구나"
어울림,9월 독서의 달 프로그램 '영화로 만나는 고전문학',성인
손기정어린이,[마감]미우작가와의 만남 <내 눈이 최고야!>,어린이
남산타운어린이,[독서의 달] 꿈꾸는 동화클레이,영유아
가온,책 모임이 처음이에요,성인
작은,[마감] 학교생활 적응력 높이기 <교과연계 초등독서>,어린이
신당누리,8월 북로망스 <방탄소년단(BTS)과 시집>,누구나
손기정문화,[독서의 달] 나를 위한 글쓰기,성인
가온,그림책과 함께하는 가온공방 <9월 나만의 컵 만들기>,"어린이,성인"
신당누리,인문학 프로그램 <이야기로 만나는 세상>,"성인,누구나"
다산성곽,[1인가구] 집고치기 강좌,"성인,누구나"
가온,시네 바캉스 IN가온마루(8회차),누구나
손기정문화,8월 작가와의 대화 『어금니 깨물기』,누구나
가온,"8월 「문학산책 : 문보영, 장수양 시인과의 대화」",누구나
손기정문화,8월 토요예술무대 「북마임으로 떠나는 책 여행」,누구나
가온,(60+)죽음의 완성: 나의 죽음 준비하기,성인
남산타운어린이,[19~25개월] 오감자극 우리아이 책놀이,"영유아,성인"
가온,시네 바캉스 IN가온마루(7회차),누구나
다산성곽,8월 「저주토끼」 정보라 작가와의대화,누구나
손기정어린이,[마감]천하무적 읽기 CLUB(하브루타 독서),어린이
신당누리,(마감)<지구를 살리는 착한 공예 프로젝트_수박 네트백>,성인
가온,(60-)죽음의 완성 : 나의 죽음 준비하기,성인
작은,[청구동 작은도서관] 무뚝뚝한 엄마아빠를 위한 다정한 책읽기,성인
어울림,"장애인식개선 특강 - 아주 특별한 우리, 고정욱 작가와의 만남",누구나
작은,[약수동 작은도서관] 무뚝뚝한 엄마아빠를 위한 다정한 책읽기,성인
가온,지금 내 눈앞에 보이거나 보이지 않거나,성인
가온,여름 카탈로그 시 쓰기,성인
가온,시네 바캉스 IN가온마루(6회차),누구나
손기정문화,손기정문화도서관 <캘리 인문학> 프로그램,"청소년,성인"
신당누리,(마감)화학선생님과 함께하는 <드라이아이스 파티>,청소년
신당누리,8월 권윤덕 작가와의 대화,"어린이,청소년,성인"
어울림,어울림도서관 '미처 알지 못했던 그림책',성인
어울림,(마감)어울림도서관 정명섭 작가와의 대화 : 오싹한 경고장,어린이
다산성곽,다산성곽도서관 독서클럽 모집,누구나
어울림,어울림도서관 어린이 독서 토론 <같이 어우러지다> ★고학년★(5-6학년 신청가능) 신청,어린이
작은,[마감 ]브리코 건축,어린이
신당누리,(마감)여름방학 도서관에서 살아남기 3탄 <동화 속 종이접기>,어린이
남산타운어린이,여름독서교실 <그림책 마음여행>,어린이
남산타운어린이,[12~18개월] 오감자극 우리아이 책놀이,"영유아,성인"
어울림,어울림도서관 어린이 독서 토론 <같이 어우러지다> ★저학년★ 신청,어린이
어울림,마음 이음 수어,성인
가온,시네 바캉스 IN가온마루(5회차),누구나
가온,그림책과 함께하는 가온공방(추가모집),"어린이,성인"
신당누리,(마감)<지구를 살리는 착한 공예 프로젝트_티셔츠 가방>,어린이
남산타운어린이,[남산창작발전소](초등3~5학년) 「NBS 뉴스를 시작하겠습니다」,어린이
어울림,어울림도서관 수어교실 고운 손 고운 노래,어린이
가온,그림책과 함께하는 가온공방(마감),"어린이,성인"
손기정문화,7월 토요예술무대 「천지윤의 해금 : 해금(解禁)된 여름」,누구나
가온,시네 바캉스 IN가온마루(4회차),누구나
어울림,'젊은 ADHD의 슬픔' 정지음 작가와의 대화,"청소년,성인"
손기정문화,손기정문화도서관 <골목길 인문학> 프로그램,"청소년,성인,누구나"
신당누리,(초등 이상 양육자) 북스타트 부모교육 <우리 아이 스마트폰·인터넷 과의존 예방 교육>,성인
신당누리,(영유아 양육자) 북스타트 부모교육 <우리 아이 스마트폰·인터넷 과의존 예방 교육>,성인
어울림,나를 치유하는 글쓰기,성인
다산성곽,7월 「영화 유튜버 라이너의 철학 시사회 」작가와의대화,누구나
신당누리,여름방학 도서관에서 살아남기 1탄 <책 읽어주는 베토벤_샤갈 '황금알을 낳는 수탉'>,누구나
가온,죽음 포럼: 어떻게 죽고 어떻게 살고 싶나요? ,누구나
어울림,어울림도서관 여름나기 - 얼씨구 국악 전래동화 음악회,"영유아,어린이"
어울림,어울림도서관 여름나기 - 어린이 독서 행사,"영유아,어린이"
가온,시네 바캉스 IN가온마루(3회차),누구나
손기정문화,7월 작가와의대화 '신이 내린 필력은 없지만 잘 쓰고 싶습니다',누구나
신당누리,<너 때문에 내일 회사 가기 싫어!> 이남석 작가와의 대화,성인
어울림,"어울림도서관 북스타트 부모교육, '그림책 힐링 육아' ",성인
손기정어린이,[마감]수상한 이야기 해결사! <CSI 어린이 과학수사대>,어린이
다산성곽,여름독서교실 <30일간의 세계 일주: 출발은 도서관>,어린이
가온,7월 「문학산책 :  세계문학(미국) 작품과의 만남」 오즈의 마법사 (공연),"어린이,누구나"
장충동작은,"문해력 키우는 <하루 한 장, 쑥쑥 글쓰기>",어린이
어울림,"어울림도서관 북스타트 맞춤형 프로그램, '같은 듯 다른, 나의 황혼 육아일기' ",성인
신당누리,(마감)도서관에서 살아남기2_생각 쑥쑥~ 일기쓰기,어린이
가온,N월의 책략(7월 주간),"청소년,성인"
가온,「여름독서교실」 책읽는놀이터,어린이
남산타운어린이,[그림책 출판]나의 첫 그림책 이야기,어린이
가온,시네 바캉스 IN가온마루(2회차),누구나
신당누리,"신당누리 7월 독서모임 _다시, 책으로_ 신청",누구나
장충동작은,"추리천재, 탐정 클럽",어린이
손기정문화,[손기정문화도서관]명화 속 심리 읽기,성인
손기정어린이,[대기자 전화 접수] 그림책<우주택배>와 함께하는 별☆의 별☆ 실험,어린이
장충동작은,어린이 건축 여행 2,어린이
장충동작은,어린이 건축 여행 1,어린이
남산타운어린이,북스타트 영유아 부모교육 특강,성인
신당누리,[마감] 인문학프로그램<심리와 명리로 마음그리기>,성인
가온,(재능기부) 늘해랑 스토리텔링 - 7월: Nature Trail,어린이
신당누리,(마감) 여름독서교실 <아나운서 선생님과 함께하는 독서논술 스피치>,어린이
가온,꿈을 핑계로 글쓰기,성인
남산타운어린이,맘(MOM)스타트 태교 손바느질,성인
손기정어린이,[접수마감] 「책놀이」 안내,"영유아,성인"
신당누리,(마감)초등독서교실<같이 오래 책읽기>,어린이
가온,나도 동시작가! 시랑 나랑 친구랑,어린이
장충동작은,어린이 독서토론 <독토리> 시즌 2 ※ 중구민 우선 접수,어린이
남산타운어린이,"[남산창작발전소]#4 발전소 (초등1,2학년) ""우리두리 재미노리""",어린이
가온,(재능기부) 영어가온다 - 7월: The Heart and the Bottle 외 2권,어린이
신당누리,"<다시, 책읽기路_1강,3강 마감>독서교육 특강",성인
신당누리,<스마트폰 활용(초급) > 모집,성인
가온,독서클럽 추가모집 : 토요명작극장 3기,누구나
다산성곽,「북피크닉」 안내,누구나
가온,100일 벽돌책 읽기 : 모비딕,누구나
장충동작은,6월 수고상점 <취取향香>,성인
장충동작은,6월 장충생각 『카뮈와 사르트르』,성인
어울림,어울림도서관 6월 주민회의,성인
가온,N월의 책략(6월 주간),"청소년,성인"
장충동작은,책으로 사춘기와 소통하는 <책사이> ※중구민 우선 접수,누구나
가온,내:면산책_나의 감정과 목소리를 이야기로 담다(그림책 만들기 워크숍),성인
신당누리,[마감]그림책 '상자 세상' 윤여림 작가와의 대화,어린이
손기정문화,6월 토요예술무대 [정화예대 싱어송라이터 스테이지],누구나
가온,"6월 「문학산책 : 김하나, 황선우 작가와의 대화」","성인,누구나"
다산성곽,시끄러운 도서관 '선셋 버스킹',누구나
신당누리,(전 차시 마감) 북스타트 부모교육 <우리가족 행복레시피 '건강한 훈육법'>,성인
가온,수요 소사이어티X노동 : 말랑말랑한 노동과 좋은 일자리,성인
신당누리,6월 북로망스 <신화와 오페라> 인문학 강연 - 한국신화,누구나
손기정문화,6월 작가와의대화 '식물학자의 노트',누구나
손기정어린이,[마감]문해력을 키우는 몰입독서,성인
다산성곽,"6월 「너도, 나도 잘사는 1인가구 돈습관 」작가와의대화",누구나
남산타운어린이,[남산타운어린이도서관]진로큐레이터 전문가 과정 모집,성인
가온,영어가온다 - 6월,어린이
어울림,내가 만드는 동화 속 세상,"영유아,어린이"
어울림,"[청년독서살롱모집] 독서모임 & ""나의 중구 에세이' 제작기 모집",성인
손기정어린이,[접수마감] 「그림책 육아」 안내,성인
어울림,신나GO 즐겁GO 신박한 정리수납,성인
신당누리,6월 북로망스 <신화와 오페라> 인문학 강연 - 북유럽신화,누구나
신당누리,[홈페이지 접수마감]<미리캔버스 활용하기_나도야 디자이너>,성인
가온,늘해랑 스토리텔링 - 6월,어린이
손기정어린이,[추가모집]그림책 상상극단 Reader's Theater,어린이
남산타운어린이,"[남산창작발전소]#3 발전소 (초등4,5,6학년) 'Scene #1.' ",어린이
손기정문화,와인을 만나다,성인
