lib,title,target
공통,[2022 강동북페스티벌] 이동진 김중혁의 덕후라이프,대상 : 14세이상 
해공,[신중년 특화 프로그램] 9월 신중년 1:1 취업 상담 ,대상 : 신중년(50+)
암사,[암사도서관 커뮤니티] 책꼬지,대상 : 그림책을 좋아하는 자녀가 있는 엄마
성내,성내 창업성공멘토특강 [9월],대상 : 성인
둔촌,[모집] 힐링 독서 교실 <메타버스 북-트레일러>,대상 : 초등 4~6학년
강일,[모집] 「엄마 심리 수업」 윤우상 작가 강연,대상 : 성인 
해공,[모집] <미물일기> 진고로호 작가 북토크 & 미물 드로잉,대상 : 청소년이상 20명
강일,"[9월 문화가 있는 날] 「엄마이지만, 나는 나야 (힐링 인터뷰)」",대상 : 영유아 양육자
암사,[모집] 2022년 지혜학교 특강 '도시를 디자인하다.',대상 : 성인 50명
공통,[모집] 2022 북스타트 연계프로그램 <독서력 쑥쑥 오감놀이>,대상 : 12~18개월 영아와 양육자
천호,[문화가있는날] 사서's 책놀이 - 잠자리 만들기,대상 : 6~7세
강일,[모집] 2022년 미디어교육 평생교실 「스마트폰으로 시작하는 일상기록」,대상 : 50대이상 15명
성내,[독서의달행사] 꼬물꼬물 북바인딩 : 나만의 수제노트 만들기,대상 : 가족 8팀
성내,[독서의달행사] 실크스크린 인쇄로 RE:디자인하다,대상 : 성인
공통,[모집] 2022 북스타트 연계프로그램 <북쿠킹 아빠랑>,대상 : 4~6세 아동 및 아빠 7팀
공통,[모집] 2022 북스타트 영유아 책놀이 프로그램 <책이랑 노는 날>,대상 : 6~7세
공통,[모집] 2022 북스타트 부모교육 <무엇이든 물어보는 영유아기 부모교실>,대상 : 영유아 양육자 10명
공통,[모집] 2022 북스타트 부모교육 <처음 읽는 엄마표 영어 그림책>,대상 : 영유아 양육자 10명
공통,[모집]2022 북스타트 부모특강<아이와 부모와 책!>,대상 : 4세 이상 자녀 양육자
공통, [모집] 북스타트 부모교육 특강 <그림책 어떻게 읽을까?>,대상 : 양육자 40명
천호,[일정변경] 천호도서관 다문화 이해 전통놀이 체험 프로그램 「함께 이해하는 온마을i」,대상 : 7~9세 아동 10명
해공, [디지털배움터] 나도 사진 작가 되기,대상 : 신중년(50+)
해공,[디지털배움터] 구글 세계에 빠져보기 ,대상 : 신중년(50+)
강일,[독서의달] 해양환경을 지키는 바다유리공예,대상 : 초등 3-4학년
둔촌,[추가모집] 2022 미디어교육 평생교실 「뉴스가 쏙쏙 생각이 쑥쑥 미디어 리터러시」 (초등5~6학년),대상 : 초등학생 5~6학년
해공,"[모집] <아무튼, 피아노> '김겨울' 비대면 작가와의만남",대상 : 청소년이상
암사, [모집] 9월 암사도서관 '50+ 고민상담소' (15~16시),대상 : 신중년(50+)
암사,[모집] 9월 암사도서관 '50+ 고민상담소' (14~15시),대상 : 신중년(50+)
