title,target
길꽃천문교실(10월)       ,전연령
[문화가있는날]입체미디어북으로 들려주는 평화이야기 _너영나영    ,전연령
나는_나를_돌봅니다 박진영 작가와의 만남 [한 주제 함께 읽기 릴레이 작가와의 만남]       ,성인
[연극&체험]우리가 사랑하는 도서관 이야기    ,전연령
[6학년]초등 온라인으로 매일 고전읽기    ,어린이
[5학년]초등 온라인으로 매일 고전읽기    ,어린이
[4학년]초등 온라인으로 매일 고전읽기    ,어린이
[3학년]초등 온라인으로 매일 고전읽기    ,어린이
[북스타트 부모교육]조미자 작가와의 만남_그림책으로 감정읽기   ,성인
[북스타트부모교육] 그림책으로 만나는 아기와 나   ,성인
[2022년 정규문화] 감성 캘리그라피    ,성인
[수명산] 엔트리 인공지능을 활용한 음성전자책 만들기  ,어린이
등빛도서관 한 달 한 권 읽기 10월 모집,성인
[(해뜰작은도서관)한 주제로 함께 읽기] 독서토론 모집(자존감 수업) ,성인
직장인을 위한 해외여행 특강    ,성인
[도리샘작은도서관]가을특강 그림책수업      ,어린이
[2022 한책] <긴긴밤> 같이 읽지 않을래?  ,어린이
[9월문화가있는날]샤이니쌤의 영어로 놀자     ,어린이
화요고전낭독모임_토끼전.심청전       ,성인
[옹달샘]어린이 사자소학(생활한자)      ,어린이
[북스타트]그림책 스토리텔링책놀이      ,성인
[초등독서회] 독서동아리 모집 (초등저학년)*책동    ,어린이
[초등독서회] 독서동아리 모집 (초등고학년)*책아띠    ,어린이
3D프린팅 크리에이터 (중급)     ,어린이
[길 위의 인문학]K-스토리를 품은 한국의 세계기록유산 읽기 ,전연령
등빛 함께 읽기 프로젝트 ' 한 달 한 권' 읽기 8월 모집       ,전연령
나만의 머그컵 만들기     ,어린이
함께보는 '나 혼자만의 서재    ,전연령
함께보는 '우리가족 서재     ,전연령
[2022 도서관 지혜학교] 문학 속 삶의 지혜 ,중장년
[독서교육] MBTI를 활용한 자기이해와 독서코칭 양성과정  ,성인
등빛 함께 읽기 프로젝트 ' 한 달 한 권' 읽기 7월 모집       ,전연령
[길 위의 인문학] 역사와 키워드로 보는 전쟁인문학 ,전연령
[2022 한 책] '자존감 수업' 윤홍균 작가와의 만남,성인
책과 함께 양말목 꽃 팔찌 만들기  ,어린이
릴레이특강3-'페인트'이희영 작가와의 만남     ,전연령
[개관행사] 슈퍼거북 사서인형극단 (인형극 + 독후활동)  ,어린이
릴레이특강2- 손을 드는 작은 용기가 너를 웃게해 줄거야      ,전연령
고전독서법 - 책벌레들의 독서법    ,성인
"릴레이특강4-""나만의 가상현실 만들기     ",어린이
등빛 함께 읽기 프로젝트 ' 한 달 한 권' 읽기 6월 모집       ,성인
[2022년 정규문화] 생각 톡톡 사고력 Talk  ,어린이
[2022년 정규문화] 퐁당퐁당 그림책 생각 놀이(유아)  ,어린이
[2022년 정규문화] 독서랑 논술이랑    ,어린이
[2022년 정규문화] 초등 시사 토론   ,어린이
[2022년 정규문화] 책과 함께 생각 키우기  ,어린이
[2022년 정규문화] 질문으로 만나는 한국사   ,어린이
[2022년 정규문화] 생각 톡톡 사고력 Talk  ,어린이
[2022년 정규문화] 퐁당퐁당 그림책 생각 놀이(초등)  ,어린이
[2022년 정규문화] 엔트리를 활용한 인공지능   ,어린이
[2022년 정규문화] 질문으로 만나는 세계사   ,어린이
책과 함께 만드는 빙글빙글 스트링아트   ,어린이
[길 위의 인문학] 역사와 키워드로 보는 전쟁인문학 ,전연령
나도 해요! 인공지능!     ,어린이
다빈치가 된 알고리즘     ,전연령
만복이네 떡집' 김리리 작가와의 만남   ,어린이
[랜선동화여행] 나만의 잔디인형 만들기    ,어린이
[랜선동화여행] 한지공예 미니램프만들기     ,어린이
[랜선동화여행] 한지공예 미니램프만들기     ,어린이
[랜선동화여행] 나만의 잔디인형 만들기    ,어린이
[도서관주간] '인생의 차이를 만드는 독서법' 작가와의 만남 ,성인
[도서관주간] 복을 담은 호랑이 다육화분 만들기  ,어린이
[도서관주간]'내 멋대로 아빠 뽑기' 최은옥 작가와의 만남 ,어린이
[등빛] 책동 독서회 추가 모집(상반기)   ,어린이
[2022 온라인 정규문화] 풍덩 ! 그림책 속으로 (유아),어린이
책과 함께 3D펜으로 만드는 호랑이 열쇠고리  ,어린이
