번호,장소,title,대상,행사일시,참가료
517,중앙,청소년 영심와 함께 읽는 맛있는 영어책 읽기,7-8세, 2022.09.03~2022.09.03,"
											
												
												무료
											
										"
516,중앙,마포중앙도서관 어린이 북튜버 모집(심화과정),어린이, 2022.09.02~2022.11.18,"
											
												
												무료
											
										"
515,중앙,[북스타트] 8월 스토리텔링이 있는 북스타트 데이,성인, 2022.08.31~2022.08.31,"
											
												
												무료
											
										"
514,중앙,"[제12회 책축제] 공간의 격차, 빈부의 격차 그리고 미래의 격차",전연령, 2022.08.20~2022.08.20,"
											
												
												무료
											
										"
513,중앙,[제12회 책축제] 우리 아이들이 살아갈 세상 이야기 '메타버스와 버츄얼 휴먼',전연령, 2022.08.20~2022.08.20,"
											
												
												무료
											
										"
512,중앙,[제12회 책축제] 누리호 개발 및 향후계획,전연령, 2022.08.19~2022.08.19,"
											
												
												무료
											
										"
511,중앙,마포중앙도서관 어린이 북튜버 특강,어린이, 2022.08.19~2022.08.19,"
											
												
												무료
											
										"
510,중앙,[제12회 책축제] 강경수 작가와 함께하는 코드네임 타임캡술 만들기 (비대면),어린이, 2022.08.19~2022.08.19,"
											
												
												무료
											
										"
509,중앙,[제12회 책축제] 공간의 전환! 책대신 음악,전연령, 2022.08.19~2022.08.20,"
											
												
												무료
											
										"
508,중앙,[제12회 책축제] 최고의 인테리어는 정리입니다.,전연령, 2022.08.18~2022.08.18,"
											
												
												무료
											
										"
507,중앙,"[제12회 책축제] 책으로 건축을 하다 '세상을 보는 따뜻한 시선, 벽'",어린이, 2022.08.18~2022.08.18,"
											
												
												무료
											
										"
506,중앙,[책읽는아이] 달님이랑 꿈이랑 <양선 작가와의 만남>,어린이, 2022.08.16~2022.08.16,"
											
												
												무료
											
										"
505,중앙,어린이를 위한 영어책 독후활동,어린이, 2022.08.13~2022.08.13,"
											
												
												무료
											
										"
504,중앙,"마포중앙도서관X소극장 산울림 「우리고전, 우리 문화의 힘」 3회차강연",전연령, 2022.08.10~2022.08.10,"
											
												
												무료
											
										"
503,중앙,서울시립교향악단 <우리동네 음악회 실내악>,어린이, 2022.08.03~2022.08.03,"
											
												
												무료
											
										"
502,중앙,2022 마포중앙도서관 여름방학 역사교실,청소년, 2022.07.26~2022.08.09,"
											
												
												무료
											
										"
501,중앙,[북스타트 부모교육] 우리함께 그림책 페어런팅 해요!,어린이, 2022.07.22~2022.07.22,"
											
												
												무료
											
										"
500,중앙,[북스타트] 7월 스토리텔링이 있는 북스타트 데이,성인, 2022.07.20~2022.07.20,"
											
												
												무료
											
										"
499,중앙,[마마플] 토요일! 토의는 즐거워(4회차),어린이, 2022.07.16~2022.07.16,"
											
												
												무료
											
										"
498,중앙,[마마플] 토요일! 토의는 즐거워(3회차),어린이, 2022.07.16~2022.07.16,"
											
												
												무료
											
										"
497,중앙,[리터러시]미디어 쉐프(중등부),어린이, 2022.07.16~2022.09.03,"
											
												
												무료
											
										"
496,중앙,"지혜학교 - 「언어에서 배우는 지혜-언어로 보는 인간의 과거, 현재 그리고 미래」",중장년, 2022.07.14~2022.09.29,"
											
												
												무료
											
										"
495,중앙,"마포중앙도서관X소극장 산울림 「우리고전, 우리 문화의 힘」 2회차강연",전연령, 2022.07.13~2022.07.13,"
											
												
												무료
											
										"
494,중앙,[북스타트 부모교육] 아빠랑 그림책 놀이,어린이, 2022.07.10~2022.07.10,"
											
												
												무료
											
										"
493,중앙,[마마플] 토요일! 토의는 즐거워(2회차),어린이, 2022.07.09~2022.07.09,"
											
												
												무료
											
										"
492,중앙,[마마플] 토요일! 토의는 즐거워(1회차),어린이, 2022.07.09~2022.07.09,"
											
												
												무료
											
										"
491,중앙,[2022 마중도 리딩튜터] 꼬리에 꼬리를 무는 독서단 초등부,어린이, 2022.07.06~2022.08.24,"
											
												
												무료
											
										"
490,중앙,마중도 리터러시 프로그램 - 디지털 리터러시 「디지털 시대의 주인되기」,전연령, 2022.07.05~2022.08.23,"
											
												
												무료
											
										"
489,중앙,[북스타트] 6월 스토리텔링이 있는 북스타트 데이,성인, 2022.06.29~2022.06.29,"
											
												
												무료
											
										"
488,중앙,"마포중앙도서관X소극장 산울림 「우리고전, 우리 문화의 힘」 1회차강연",전연령, 2022.06.22~2022.06.22,"
											
												
												무료
											
										"
487,중앙,[북스타트 비대면 부모교육] 북스타트로 시작하는 그림책 페어런팅(비대면),성인, 2022.06.22~2022.06.22,"
											
												
												무료
											
										"
