,제목,대상
0,[가족 DAY] 이야기 톡! 그림책 TALK!,전연령
1,2021년 깨비독서회 회원모집,어린이
2,두근두근 우리들의 시점,성인
3,[학부모캠퍼스]그림책지도사 자격과정,청소년
4,빅히스토리와 지구의 미래,전연령
5,[강좌][마감[가족 DAY] 이야기 톡! 그림책 TALK! (4월),어린이
6,북스타트DAY,어린이
7,출발~ 한국사 탐험대,어린이
8,스마트폰-게임 찐갈등 제대로 학습법,성인
9,한 학기 한 권 역사 읽기 운영 계획,어린이
10,다함께 책놀이,어린이
11,「나는 매일 책 읽어주는 엄마입니다」 저자강연회,성인
12,친구와 함께하는 책놀이,어린이
13,「당·근·독(당신 근처의 마을독서동아리」,성인
14,인공지능시대 새로운 그림책교육과 인문예술적 가치,성인
15,지구를 지켜라,어린이
16, 다 같이 돌자 지구 한 바퀴 : 베트남,어린이
17,방구석 세계테마여행,전연령
18,다같이 돌자 지구 한 바퀴: 일본,어린이
19,청소년을 위한 대중매체 연계 특화자료 읽기,청소년
20,우리가족은 지구를 지겨요,어린이
21,여름독서교실(제103회),어린이
22,"순국선열, 나의 별이 되다",어린이
23,다같이 돌자 지구 한 바퀴:필리핀(8/10),어린이
24,긴긴밤 함께 읽기,어린이
25,인증샷 '빅북과 함께',전연령
26,]랜선으로 떠나는 다섯색깔이야기여행,어린이
27,MBTI로 알아보는 ‘Real Me’진로메타인지,성인
28,행복하개 같이 살자옹,전연령
29,재택근무시대에 유용한 디지털도구배우기,성인
30,2021년 「우리 아이 첫 독서학교」,성인
31,도시와 건축으로 보는 개항과 근대의 우리 서울,성인
32,함께 읽는 노자 도덕경,성인
33,다같이 돌자 지구 한 바퀴: 키르기스스탄,어린이
34,코로나 이후 뉴노멀 세상 이야기,성인
35,"「방구석, 세계테마여행」:인문지리로 읽는 세계와 역사",전연령
36,"팬데믹시대, 슬기로운 자녀교육",성인
37,시소 함께 읽기,어린이
38,독서 독립 지도법,성인
39,「1일 1환경 챌린지」 저자 강연회,어린이
40,]아무도 들어오지 마시오 함께 읽기,청소년
41,「그래프로 보는 도서관」 시청 소감 이벤트,전연령
42, 「여럿이 함께」 : 소중한 내 한 표!,청소년
43,"북세통(BOOK, 세상과의 통로] 어린이",어린이
44,내가 원하는 것을 나도 모를 때(with필사),성인
