국가,시도,시군구,등록외국인 수
대한민국,강원도,강릉시,14038
대한민국,강원도,고성군,7264
대한민국,강원도,동해시,4355
대한민국,강원도,삼척시,3915
대한민국,강원도,속초시,6267
대한민국,강원도,양구군,2153
대한민국,강원도,양양군,1753
대한민국,강원도,영월군,1458
대한민국,강원도,원주시,20082
대한민국,강원도,인제군,1751
대한민국,강원도,정선군,1616
대한민국,강원도,철원군,3830
대한민국,강원도,춘천시,22794
대한민국,강원도,태백시,1493
대한민국,강원도,평창군,2746
대한민국,강원도,홍천군,4850
대한민국,강원도,화천군,1413
대한민국,강원도,횡성군,4278
대한민국,경기도,가평군,6140
대한민국,경기도,고양시 덕양구,25533
대한민국,경기도,고양시 일산동구,22669
대한민국,경기도,고양시 일산서구,17699
대한민국,경기도,과천시,1150
대한민국,경기도,광명시,20746
대한민국,경기도,광주시,65205
대한민국,경기도,구리시,8473
대한민국,경기도,군포시,33008
대한민국,경기도,김포시,106813
대한민국,경기도,남양주시,42752
대한민국,경기도,동두천시,19653
대한민국,경기도,부천시,142480
대한민국,경기도,성남시 분당구,16083
대한민국,경기도,성남시 수정구,52875
대한민국,경기도,성남시 중원구,14891
대한민국,경기도,수원시 권선구,51913
대한민국,경기도,수원시 영통구,41744
대한민국,경기도,수원시 장안구,38053
대한민국,경기도,수원시 팔달구,67874
대한민국,경기도,시흥시,188358
대한민국,경기도,안산시 단원구,205139
대한민국,경기도,안산시 상록구,74026
대한민국,경기도,안성시,65270
대한민국,경기도,안양시 동안구,9274
대한민국,경기도,안양시 만안구,27178
대한민국,경기도,양주시,40388
대한민국,경기도,양평군,7787
대한민국,경기도,여주시,19031
대한민국,경기도,연천군,5064
대한민국,경기도,오산시,51197
대한민국,경기도,용인시 기흥구,25416
대한민국,경기도,용인시 수지구,17127
대한민국,경기도,용인시 처인구,54757
대한민국,경기도,의왕시,5928
대한민국,경기도,의정부시,27876
대한민국,경기도,이천시,39922
대한민국,경기도,파주시,62446
대한민국,경기도,평택시,145203
대한민국,경기도,포천시,68511
대한민국,경기도,하남시,13278
대한민국,경기도,화성시,210858
대한민국,경상남도,거제시,31109
대한민국,경상남도,거창군,3215
대한민국,경상남도,고성군,6066
대한민국,경상남도,김해시,95908
대한민국,경상남도,남해군,4684
대한민국,경상남도,밀양시,14717
대한민국,경상남도,사천시,17450
대한민국,경상남도,산청군,3157
대한민국,경상남도,양산시,33216
대한민국,경상남도,의령군,4128
대한민국,경상남도,진주시,26785
대한민국,경상남도,창녕군,12510
대한민국,경상남도,창원시 마산합포구,11448
대한민국,경상남도,창원시 마산회원구,10962
대한민국,경상남도,창원시 성산구,20006
대한민국,경상남도,창원시 의창구,17187
대한민국,경상남도,창원시 진해구,17684
대한민국,경상남도,통영시,21284
대한민국,경상남도,하동군,2613
대한민국,경상남도,함안군,16656
대한민국,경상남도,함양군,2169
대한민국,경상남도,합천군,3607
대한민국,경상북도,경산시,63289
대한민국,경상북도,경주시,55104
대한민국,경상북도,고령군,8365
대한민국,경상북도,구미시,27666
대한민국,경상북도,군위군,2508
대한민국,경상북도,김천시,14230
대한민국,경상북도,문경시,3759
대한민국,경상북도,봉화군,1810
대한민국,경상북도,상주시,6798
대한민국,경상북도,성주군,8528
대한민국,경상북도,안동시,7895
대한민국,경상북도,영덕군,5486
대한민국,경상북도,영양군,1521
대한민국,경상북도,영주시,4706
대한민국,경상북도,영천시,15827
대한민국,경상북도,예천군,2868
대한민국,경상북도,울릉군,751
대한민국,경상북도,울진군,8829
대한민국,경상북도,의성군,3061
대한민국,경상북도,청도군,5491
대한민국,경상북도,청송군,1096
대한민국,경상북도,칠곡군,22475
대한민국,경상북도,포항시 남구,19267
대한민국,경상북도,포항시 북구,15779
대한민국,광주광역시,광산구,70340
대한민국,광주광역시,남구,8348
대한민국,광주광역시,동구,9525
대한민국,광주광역시,북구,26839
대한민국,광주광역시,서구,9862
대한민국,대구광역시,남구,11438
대한민국,대구광역시,달서구,58034
대한민국,대구광역시,달성군,30073
대한민국,대구광역시,동구,9955
대한민국,대구광역시,북구,28471
대한민국,대구광역시,서구,12158
대한민국,대구광역시,수성구,9826
대한민국,대구광역시,중구,4436
대한민국,대전광역시,대덕구,12725
대한민국,대전광역시,동구,26147
대한민국,대전광역시,서구,22263
대한민국,대전광역시,유성구,39243
대한민국,대전광역시,중구,8208
대한민국,부산광역시,강서구,24665
대한민국,부산광역시,금정구,22210
