lib,title,target
양천중앙도서관,상반기 특화프로그램 <월간도서관> 안내,성인
양천중앙도서관,2022 양천중앙도서관 상반기 프로그램 운영 안내,전연령
양천중앙도서관,[갈산문화예술센터] 개관 축하 프로그램  안내,어린이
양천중앙도서관,[2021년 도서관에 가면 OO도 있고 성과공유회] 수강생들과 함께하는 '낭독콘서트',전연령
양천중앙도서관,새아름작은도서관 개관기념 북콘서트,성인
양천중앙도서관,[2021년 도서관에 가면 OO도 있고] '미술로 놀자 (#나의 한 페이지)',성인
양천중앙도서관,"[도서관에서 예술로 놀자]  올 가을, 버지니아 울프를 만난다!",전연령
양천중앙도서관,[2021년 도서관에 가면 OO도 있고] '낭독콘서트',전연령
양천중앙도서관,[2021년 도서관에 가면 OO도 있고] '낭독의 기술',전연령
양천중앙도서관,[2021년 도서관에 가면 OO도 있고]  '나만의 책 만들기',전연령
양천중앙도서관,[2021년 도서관에 가면 OO도 있고] '낭독의 발견',전연령
양천중앙도서관,[특강] 이야기가 있는 코딩(비대면),어린이
양천중앙도서관,[특강] 양천중앙도서관 여름방학 특강,어린이
양천중앙도서관,"[2021년 독서아카데미] 오은 작가 '마음방역, 공감의 언어'",전연령
양천중앙도서관,진로체험 Be 크리에이터,청소년
양천중앙도서관,"[2021년 독서 아카데미] 마음방역, 공감의 언어",성인
양천중앙도서관,"샹송, 봄날의 콘서트",성인
양천중앙도서관,"[5월 특강] 집, 서울의 역사를 품다 _서양인의 옛집 '딜쿠샤' 복원기",성인
양천중앙도서관,[5월 특강] 공부머리를 키우는 진짜 독서법,성인
양천중앙도서관,[한 책] 한 책 발대식 - 황영미 작가와의 만남,전연령
양천중앙도서관,[개관특강] 재즈피아니스트와 함께 하는 낭독콘서트,성인
양천중앙도서관,"[개관특강] 김영민교수 ""공부란 무엇인가""",성인
양천중앙도서관,"[우리동네책방 릴레이북콘서트] 1편 악어책방 고선영작가님 ""마음방역 감정도 디자인이될까요""",성인
양천중앙도서관,"[겨울방학특강] 우리동네 탐방, 그림책으로 떠나는 겨울여행",어린이
양천중앙도서관,"[개관 기념] 최열 작가와의 만남 ""옛 그림으로 본 서울""",성인
양천중앙도서관,우리동네 책방 릴레이 북콘서트,전연령
양천중앙도서관,"초등독서교실 ""함께 읽고 함께 성장한다""",어린이
양천중앙도서관,재즈 피아니스트와 함께 하는 낭독콘서트,전연령
양천중앙도서관,"[신년 특강] 김영민 교수 ""공부란 무엇인가""",전연령
갈산도서관,2022 양천구 한 주제로 함께 읽기 「마음아 괜찮니」 고선영 작가와의 만남(감정도 디자인이 될까요),전연령
갈산도서관,[독서의 달}  그림책 작가와 함께하는 손바닥 그림책 만들기,어린이
갈산도서관,[여름방학특강-별별이야기] 별별천문교실(8/23진행),어린이
갈산도서관,[북스타트] 데굴데굴 책놀이: 북스타트 자원활동가와 함께하는 비대면 책놀이,어린이
갈산도서관,[여름방학특강-별별이야기]  별별독서지도,어린이
갈산도서관,[여름방학특강-별별이야기] (부천천문대x갈산도서관) 별별천문교실,어린이
갈산도서관,[여름방학특강-별별이야기] 지웅배작가와 함께하는 영화로 만나는 천문학,어린이
갈산도서관,[여름방학특강-별별이야기] 가족천문교실,전연령
갈산도서관,"[북스타트 부모교육] <아이는 성장통, 부모는 울화통> 안내",성인
갈산도서관,[독서동아리] 1관1단 그림책연구회 「책굼터」 동아리 회원모집,성인
갈산도서관,2022 갈산도서관 상반기 정기프로그램 안내,어린이
갈산도서관,"[도서관에서 예술로 놀자] 일상속의 휴식, 휴식속의 예술",전연령
갈산도서관,"갈산x부천천문대 ""별빛천문학"" 10~11월",어린이
갈산도서관,갈산도서관 리빙라이브러리 '바람직한 과학영재교육' ,성인
갈산도서관,"[독서동아리 교육] 독서의 완성, 서평 쓰기",성인
갈산도서관,2021 갈산도서관 하반기 정기프로그램 모집 ,성인
갈산도서관,갈산도서관 독서의 달 행사 운영,성인
갈산도서관,갈산도서관 여름방학특강_청소년영어동화 변경운영,청소년
갈산도서관,[북스타트 부모교육] 그림책으로 시작하는 처음 엄마표 영어,성인
갈산도서관,[갈산도서관 북스타트] 집에서 하는 '데굴데굴 책놀이',전연령
갈산도서관,"갈산도서관x부천천문대 협력사업 「별빛천문학」 7월,9월",어린이
갈산도서관,갈산도서관x부천천문대 「별빛천문학」,어린이
갈산도서관,갈산도서관 도서관주간행사 「별책부록」,어린이
갈산도서관,1관1단 패러디그림책연구회 「책빵소」동아리 회원모집,성인
갈산도서관,갈산도서관 상반기 정기프로그램,성인
갈산도서관,2021 갈산도서관 겨울방학특강,어린이
갈산도서관,GT청소년 자원봉사자와 함께하는 '과학실험교실',어린이
개울건강도서관,[강의 안내]개울가 마음샘 - 마음을 읽는 그림책 테라피,성인
개울건강도서관,[북스타트 부모교육] 우리 아이 문해력 어떻게 키워줄 것인가,성인
개울건강도서관,[독서의 달] 남궁인 저자와의 만남 「제법 안온한 날들」,성인
개울건강도서관,[독서의 달] 꽃으로 피어나는 나,전연령
개울건강도서관,[개울건강도서관] 2022 하반기 정규프로그램 안내,어린이
개울건강도서관,"<생각쟁이 독서토론 ""마음샘 이야기""> 참여 신청 안내",어린이
개울건강도서관,이미애 작가와 함께 하는 시니어 그림동화,중장년
개울건강도서관,개울건강도서관 마음 건강 특화 프로그램  '마음처방전 치유미술관',성인
개울건강도서관,"환경의 날 기념 특강 ""멸종위기 동물만들기"" 접수 안내",어린이
개울건강도서관,"한 책 특강 「감정도 디자인이 될까요?」 고선영 작가의 ""마음 드로잉"" 접수 안내 - 책맛집 동네책방-",전연령
개울건강도서관,"도서관주간 특강<그림동화 독서원예> (초등1-3, 4-6학년)",어린이
개울건강도서관,[개울건강도서관] 건강한 겨울방학독서교실(4~6학년) <나도 환경운동가>,어린이
개울건강도서관,[개울건강도서관] 건강한 겨울방학독서교실(1~3학년) <나도 환경운동가>,어린이
개울건강도서관,[개울건강도서관]열하일기 다시읽기,성인
