국가,시도,시군구,합계 (명),외국인 (명),외국인 비율
대한민국,서울특별시,종로구,153349,9850,6.42
대한민국,서울특별시,중구,131528,9568,7.27
대한민국,서울특별시,용산구,236507,14277,6.04
대한민국,서울특별시,성동구,290274,6671,2.3
대한민국,서울특별시,광진구,352292,12725,3.61
대한민국,서울특별시,동대문구,352676,15443,4.38
대한민국,서울특별시,중랑구,392535,4695,1.2
대한민국,서울특별시,성북구,443664,10278,2.32
대한민국,서울특별시,강북구,299730,3657,1.22
대한민국,서울특별시,도봉구,315946,2111,0.67
대한민국,서울특별시,노원구,511154,4078,0.8
대한민국,서울특별시,은평구,476789,3835,0.8
대한민국,서울특별시,서대문구,317731,11478,3.61
대한민국,서울특별시,마포구,377602,10412,2.76
대한민국,서울특별시,양천구,446989,3142,0.7
대한민국,서울특별시,강서구,577713,5483,0.95
대한민국,서울특별시,구로구,417796,23550,5.64
대한민국,서울특별시,금천구,244816,13460,5.5
대한민국,서울특별시,영등포구,400230,22935,5.73
대한민국,서울특별시,동작구,394300,8921,2.26
대한민국,서울특별시,관악구,501482,13853,2.76
대한민국,서울특별시,서초구,410491,3926,0.96
대한민국,서울특별시,강남구,537412,4912,0.91
대한민국,서울특별시,송파구,668269,5670,0.85
대한민국,서울특별시,강동구,465967,3858,0.83
