Datetime,content,Like
2022-08-22 13:15:47+00:00,@pedestrian_1234 다문화 혜택 반의반이라도 이런 청소년들에게 돌아갔으면,22
2022-08-22 10:34:05+00:00,어제 기분전환겸 안산 다문화거리 갔다가 간만에 산둥식 만두 https://t.co/CKV0hFMU9X,11
2022-08-22 10:01:06+00:00,조선족은 성격이 나쁘고 한국인을 무시하니까 차별해야 마땅해/ 다문화 가정은 대부분이 매매혼이니(매매혼을 옹호하지 않습니다만..)차별해야 마땅해/흑인들 동양인 차별 엄청 한다면서?그럼 우리도 역지사지다 이런 사고방식이라;;,2
2022-08-22 09:06:38+00:00,"공덕이 참 많으세요
얘기 잠깐 듣고 가세요
이제 다문화가정에서도 조상을 챙기는구나..",8
2022-08-22 07:34:31+00:00,그저 다문화 또는 외국인이라는 이유만으로 정도 이상의 혜택을 주어야 한다라는 주장 자체부터가 세금도둑질을 위한 포석에 불과합니다. https://t.co/qDucYNHhYZ,3
2022-08-22 04:20:44+00:00,전세계 한류팬과 다문화가족에게 제공하는 '한국이름' 작명서비스 https://t.co/m4JpbI6etN ▶ https://t.co/IJNANJuvKm,1
2022-08-22 03:45:04+00:00,짜증나는 외국인 취급을 허구한 날 받았고 그 탓에 한국에서 태어난 다문화가정 애들이랑 지내다보면 하루라도 사람들에게 눈총 안받고 그들의 부모 욕을 안들은적이 없다고 했다 그리고 본인들은 미래에 제대로 된 꿈은 커녕 다음 학년에는 친구 하나 더 사귈 수 있을까 하는 고민이 앞섰던 애들이고,2
2022-08-22 03:38:58+00:00,"우리는 롤링이 왜 한국인 배우가 연기하는 동아시아인 캐릭터가 인도 신화에서 유래한 이름을 갖고 있냐는 질문에 ""인도네시아 다문화 국가임""이라는 대답을 한 적이 있다는 것을 기억해야 https://t.co/EVw146dLu5",96
2022-08-22 03:19:42+00:00,"요즘은 정치라는 개판이 싫어서 뉴스도 안 보고 뭐 그런다.
그러다 다문화 가정 유튜브를 보는 데 하나같이 가슴아픈 사연들이다.
어쩌다 잘사는 부부들도 있지만 거의가 여자들이 가정을 책임지고 꾸려가는,
거기에 자식들은 효자 효녀고...
그러니까 힘들어도 살맛나지 싶다.",1
2022-08-21 18:01:13+00:00,"인구 감소 자체는 문제될 것 없는데 속도가 너무 빨리서.. 대규모 이민이 한국 정치를 긍정적으로 바꿀 수 있을지도 궁금. 한국이 동북아 유일의 역동적인 다원화, 다문화 사회가 될 수 있었으면 좋으련만.",4
2022-08-21 09:15:36+00:00,"@eileannammarbh 은평구가 돈 함부로 쓰고 박물관 따위 만드는걸로 유명하지요

다문화박물관 이 있어요",4
2022-08-21 04:51:11+00:00,"@juseen @Sjkyuggkptx77 불행 중 다행이라면, 요즘 들어서 간.신.히. 약자랍시고 다 선인은 아니다라는 걸 사람들이 알아채고서 두들겨패기 시작했음. 전장연, 민노총, 다문화, 뭐 이런 쓰잘데 없는 것들...",1
2022-08-21 04:36:25+00:00,"@HannaRaptor @Sjkyuggkptx77 영류왕때 귀족들이 당나라에 발라당 한게 기냥 군사력에 쫄아서 그랬겠음
삼국통일후 신라가 문화를 짱개걸루다 갈아 엎었는데 
이것도 꽁으로 된게 아니라 신라먹물들을 주목해야
고려말 경상도 유교팔이들의 정계유입
조선의 사대외교  왜 중국이 손해를 보는 외교를 했을
그리고 놈현 썅놈의 다문화",1
2022-08-21 03:39:40+00:00,"@juseen 근데 저거 과연 되겠음? 
다문화 발광짓도 기업들의 이익이 있어야 가능한 거... 
이미 그런 면에서 베트남은 그 이용가치를 잃어버림.",1
2022-08-21 01:16:37+00:00,"웃긴점..
러시아..맞지맞는데
국적은제각각
역시 글로벌다문화국제사회답네요",4
2022-08-21 01:15:19+00:00,"안산 다문화거리 가서 꿔바로우랑 중국식 송편이랑 꽈배기랑 양
꼬치랑 마라샹궈랑 베트남 쌀국수랑 등등 먹고 오고 싶음,,🐷",4
2022-08-21 01:12:25+00:00,"시흥시, 다문화가족에 피어나는 '행복의 시간' https://t.co/q7IiJuDe9y",1
2022-08-20 17:50:31+00:00,"이번 주말의 MGLG는 3월부터 이어졌던... 
(시간이 벌써 이렇게?)
★학원 사건 일지 캠페인(w.정님)의 3부 용기의 마검~a.k.a.완결~을 다녀왔습니다. gm세로님 pl 챠솔포피님으로 고정분과회명은 다문화해결단!
정말 재밌었고... 상당한 플탐이었는데 GM님도 PL님도 너무 고생 많으셨습니다...나 운다 https://t.co/0RW5UhEcHE",4
2022-08-20 16:32:31+00:00,"#문유사 
제주도로 수학여행가는 날
같은반인데 주로 다문화 교실에 있어서 별로 안 친한 줂휘한테 괜히 말 걸어봄
여권이 빨갛길래 신기해서.

- 중국 여권이야?
- 어? 응.
- 중국은 빨간색이구나~ 혹시 사진 찍어도 돼? 겉표지만!

줂휘 사실 당황했는데 내가 진짜 신기해하는 눈빛이라 그냥 건내줌 https://t.co/e51Siw8Eie",22
2022-08-20 05:17:02+00:00,GM 세로님으로 학원캠 마지막..! 챕터3 용기의 마검 다녀옵니다!!!! 우리 졸업..해..? ㅠㅠ 과연.... ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 부제가 생겨버렷네요 다문화 해결단 ~사랑은 남자를 성장시키고~ (조단 연애앵이야기를 햇음) https://t.co/vyj67D0GFk,8
2022-08-20 02:21:46+00:00,"있는 집단안에서만 소수이면 되는 것이고 상대적으로 한국전체적으로 보면 다문화가정 아이가 인식이 좋지 않으나
그것과 상관없이 자신이 현재 샹활하고 있는 집단의 소수를 배제하는 것은 내제된 본능인가보다",1
2022-08-20 02:21:46+00:00,"예전애에는 다문화가정이 별로없어서 
자신과 다른 다문화강정 아이들이 자신ㄱ하 다르다는 이유로 놀림을 받았다고 한다
현재 시골은 다문화가정의 수가 더 많아저 한국인이 다르다는 이유로 놀림을 받고 있다고 한다
아이들의 놀림의 약점을 잡히는 원인은 자신과 다르다는 이유고 그것은 현재 속해",1
2022-08-20 00:15:29+00:00,남한 생존이 걸린 문제이니 빨리 남성임신술 개발하라. 언젠가 한국여자들이 약속이라도 한 듯 비혼비출산할 수도 있으니. 한국이란 국가는 먼 미래 다인종 다문화국가로서는 생존할 수도 있겠지만 그것만은 싫은 순혈주의 자랑스런한민족우리강산푸르게푸르게남자들을 위해 어서빨리 임신술을 부탁,421
2022-08-19 15:10:00+00:00,"아 ㅋㅋ 당빠죠
다문화유사가좍오너분덜한정 익한이 프리소스임 ㅋㅋ",1
2022-08-19 15:07:31+00:00,"아 다국적형아라는말 왤캐웃김
다문화유사가좍",1
