Datetime,content,Like
2022-08-17 11:43:34+00:00,"한국어를 배우지 않기를 바라고, 모르길 바란다. 라는 말을 덧붙였다. 그 동료는 '언니 경제 교육이 왜 필요해요? "" 물어서 대부분의 다문화 이민자들은 한국의 금융 체계라던가 통장, 신용카드 등 도움이 많이 필요하다, 라는 말을 덧붙였음.",1
2022-08-16 01:01:20+00:00,"우리오늘시간표
개학식 학폭예방교육
성교육 다문화이해교육
다 비디오임; 샘도엊ㅅ러;;
오늘하루꽁으로먹음",6
2022-08-15 13:27:53+00:00,한국문화 가르치려고 가격 적당한 다문화 교육 전용 테크노 찾고 있었는데 죄다 비싸서 고민고민하다 태국&amp;한국 교육 가능한 리퍼 테크노를 운좋게 중고로 구해서 델고온게 ㄹㅕㅅr였을듯,3
2022-08-12 07:56:49+00:00,"대구시교육청, 전국 최초!3년 연속 교육분야 정부혁신 우수 정책 사례 선정
-「소통·연계 ‘다(多)-잇다’ 서비스 기반 다문화학생 등 종합지원 체계」-

블로그에서 자세히 알아볼까요?

👉https://t.co/LGDTQ59qac

#대구광역시교육청 #대구시교육청 #대구교육청 #전국  #최초 #3년 #연속",1
2022-08-11 06:15:12+00:00,"더구나 유럽의 다문화는 끔찍한 결과를 초래했다. 

유럽에서 누구도 다문화가 사회를 관용적으로 변화시키고, 산업을 발전시켰으며, 숙련도 있고 교육받은 노동 인구의 유입으로 새로운 신규주택 수요를 창출했다고는 말하지 못한다. 

한국의 경우에 숙련도 있는 해외인구의 유입은 더 어렵다.",4
2022-08-11 05:09:29+00:00,"대교, KT와 함께 다문화가정 자녀 우리말 향상 교육 사업 추진

https://t.co/JcfQse7BN2",1
2022-08-09 03:06:59+00:00,"연천군건강가정ㆍ다문화가족지원센터, 다문화가족 대상 경제ㆍ금융 교육 실시 https://t.co/whjzAdX2xs",1
2022-08-09 02:37:25+00:00,???? 교육복지사업은 원래 다문화업무자 담당인가요? 이상하다... 취약계층 안경지원사업 보건아니고 제 담당이라는데요..,2
2022-08-06 05:39:01+00:00,저소득층이어도 한글 아니까 읽으면 이해 할 수 있을 것 &lt;- 이게 얼마나 허접한 생각인지는 트위터만 봐도 알 수 있고... 많은 다문화가정은 그 '한글 아니까'의 전제부터 문제가 생김ㅋㅋ 여자가 한국어 알면 집나간다고 센터도 못가게 가는 애비들이 수두룩한데 자식 교육은 얼마나 챙기겠냐...,4
2022-07-27 08:08:09+00:00,"아시아언어문화연구소,함께성장하는사회구현위한‘다문화교육후견인제‘운영 https://t.co/QxoQFW6g93",1
2022-07-27 05:39:09+00:00,교육 후견인~ 2022 다문화가정 후견인 위촉식에서! #류미정작가 #아동복지교사 #교육후견인 (출처 : #살며사랑.. | 블로그) https://t.co/UTk6aI95hS,1
2022-07-27 04:23:17+00:00,"인천교육청, 2022년 다문화학생 진로직업교육 실시 https://t.co/4DNOmjhnh0 
#다문회학생 #진로직업교육과정 #직업교육 #다문화학생 #자격취득과정 #드론조정",1
