Datetime,content,Like
2022-08-10 09:31:59+00:00,간만에 도서관 갔더니 다문화 코너가 생겨서 일본 동화책 읽고 왔는데 티라노가...티라노가 돌에 깔려 죽었어...8ㅅ8,1
2022-07-27 02:16:57+00:00,"문화체육관광부의 지원으로 운영이 되는 다문화서비스운영지원사업 #북적북적다문화인문학여행 프로그램을 운영합니다. 많은 관심 바랍니다^^

#송파도서관 #도서관 #송파구 #오금동 #다문화 #인문학 #문화체육관광부 @송파도서관 https://t.co/4WPfyRa1Mu",1
2022-07-20 23:39:22+00:00,드라마가 아니더라도 현실에선 늘. 다문화 가정이 많은 지역에 살고 있는데 도서관 오전 그림 교실 한 번 신청하고 수업 끝난 오프 모임에 낀 미혼 여성은 인류애를 상실했습니다. 다들 다문화 가정 정책에 대해 언급하면서 다문화 가정이 아닌 우리 얘들이 피해를 본다 소리를 하고 있어서. https://t.co/1mnNp8Uzz9,54
2022-07-17 03:57:42+00:00,동네 도서관 아이들 코너에 왔는데 참 부럽네. 난 읽을 책이 없어서 오래된 신문을 읽었더랬지. 꼬마 아이 책 읽는 모습 참 예쁘다. 다문화 코너라고 해서 외국 아이들 읽을 책도 준비한 걸 보면 이제 우리나라도 여유가 생긴 게 맞나 봐. 평화롭다. 유아방이야 뭐 원래 좀 시끄러운 법이지.😁 https://t.co/BQz7zbFTmM,29
2022-06-28 01:21:00+00:00,"여주도서관, ｢도서관 다문화서비스 지원사업｣ 운영 “차이와 차별을 넘어선 어울림” https://t.co/PlepNmSOWA",2
2022-06-10 00:25:22+00:00,"우리 도서관 나 강하게 키우네 ,,, 입사 4일만에 다문화 도서 목록하기",4
2022-05-20 01:59:21+00:00,"원주시립중앙도서관, 2022년 다문화 프로그램 운영 https://t.co/KbGLw8FcIC",1
2022-05-09 09:23:27+00:00,"&lt;답십리도서관 다문화 희망도서 신청 안내&gt;
중국어, 일본어 등 다양한 언어로 만나는 다문화도서! 다문화 희망도서를 신청해 보세요~
신청방법은 도서관 누리집 공지사항에서 네이버폼(https://t.co/hoQHzcvLOV) 또는 양식 작성 후 이메일(dapbook@naver.com)로 신청 가능합니다! https://t.co/OzpXqZEMGL",1
2022-04-14 08:11:04+00:00,[두류도서관] 2022 다문화 프로그램 수강생 모집 &gt;&gt;https://t.co/KTXi6GbTMw https://t.co/MqGLtAAfND,1
2022-03-25 09:47:14+00:00,@bidanbyam 관악구의 대학은 서울대뿐인데 정말 기이이이이이잎숙히 들어가야해서 교통연결성이 증말 안좋습니다. 다른 도서관도 다 유아도서관 다문화도서관 등 손톱만한 수준이고 구립도서관도 진짜 이상한데 있어서 가기 힘들어요😢,1
2022-03-08 15:13:02+00:00,집 앞 도서관에 일본어 동화책 많아서 좋아.... 다문화 정책의 일환으로 많아진거라는데 나같은 학습자에게 넘 좋음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
2022-02-14 04:35:33+00:00,"🎬 &lt;평등길1110&gt; 영화 상영
🌈 평등한 수다회
– 사회 : 정혜실 (차별금지법제정연대)
– [장애] 김병태 (단원장애인자립생활센터)
– [성소수자] 물 (성소수자부모모임)
– [여성] 지하 (페미니스트 북카페 femm)
– [노동] 임용현 (월담노조)
– [이주] 정은주 (즐거운다문화도서관 저자) https://t.co/TcwUNMqwqc",6
2022-02-11 05:16:17+00:00,"""도서관 접근이 어려운 다문화 가정의 독서활동 지원을 위해‘다어울림’다문화도서 정기구독 서비스를 시행한다. 이번 서비스는 한 달에 한 번씩 국가별, 연령별 특성을 고려하여 사서가 직접 다문화도서를 선정하여 집으로 무료 배송해주는 서비스다.""
https://t.co/o9ryWEagY4",17
2022-02-06 03:16:06+00:00,"2부) 평등한 수다회
사회: 정혜실_차별금지법제정연대 공동대표
패널: 장애_ 김병태_단원장애인자립생활센터 소장
성소수자_ 물_성소수자부모모임 활동가
여성_ 지하_페미니스트 북카페 femm
노동_ 임용현_월담노조 사무국장
이주_ 정은주_즐거운다문화도서관 저자",1
2022-01-25 15:08:34+00:00,암튼 일년내내 어린이실에서 일했는데 다문화프로그램 보조도 하구 여름방학때 진짜 너무힘드러서 죽을뻔해찌만 집이랑 멀지않아서 좋았어 그리구 도서관알바하면 맨날 책빌려서 짱신났음!!!퇴근하면서 1984 너무 재밌어서 걸어가면서 읽었던 기억두 나,2
2021-11-10 04:47:32+00:00,한밭도서관 다문화자료실. 뷰가 좋다. https://t.co/7xtgYueBd8,3
2021-11-08 07:10:21+00:00,"&lt;답십리도서관 다문화 프로그램 “도서관으로 떠나는 세계문화여행” 참여어린이 모집 안내&gt;
나라별 전래동화를 함께 읽고 전통문화를 체험해 보아요! 답십리도서관 누리집에서 신청할 수 있습니다!
#답십리도서관 #다문화프로그램 #어린이프로그램 https://t.co/w6B9MesbE1",1
2021-10-21 05:47:03+00:00,"@brainAge 장서량도 믈론 중요한 평가요소 중 하나지만 장서만 많다고 해서 꼭 좋은 도서관은 아니라고 생각해요. 노인, 다문화, 어린이 등 다양한 지역주민들을 위한 프로그램과 공간을 제공하는 독산도서관이 저는 무척 맘에 들었습니다. 저는 지역 주민들에게 사랑받는 도서관이 좋은 도서관이라고 생각해요.",5
2021-08-13 06:13:01+00:00,"중원도서관 다문화한가족교실 하반기 수강생 모집 안내

모집기간 : 2021.08.24(화) 10:00~ 마감시까지

신청방법 : 중원도서관 홈페이지 선착순 접수

자세한 내용은 첨부된 이미지를 확인해주세요. 

#성남시중원도서관

#중원도서관 https://t.co/KXssUeJ2fY",1
2021-06-30 14:22:36+00:00,"도서관 다문화 코너에 괴물들이 사는 나라 일판 있길래 빌려와봤는데 읽을줄은 알지만 어휘력 딸려서 번역이 안됨
대신 한글판이 잇지롱
나중에 원서도 사고싶다 https://t.co/O9oXnzrcho",5
2021-06-23 01:17:37+00:00,"📒북📕스📗타📘트
#마포구 아기들에게 #책꾸러미 를 선물합니다.
☑ 기간 : 2021년 6월 1일 ~ 책꾸러미 소진 시 까지
☑ 대상 : 마포구에 거주하는 2018~2021년 출생아
☑ 배부기관 : 마포구 공공·작은도서관, 동주민센터, 다문화가족지원센터, 육아종합지원센터
-
자세히&gt;&gt;https://t.co/1Q4f7a9gBe https://t.co/gWrODKevGW",1
2021-03-29 06:04:10+00:00,"수성도서관, 대구동촌초등학교와 도서관⋅다문화교육을 위한 업무협약 체결

블로그에서 자세하게 알아볼까요?
▶https://t.co/umwmy549Qp

#대구광역시교육청 #대구교육청 #대구동촌초등학교 #수성도서관",2
2020-10-02 15:57:48+00:00,"@thsgoal12345 첫번째는 다누리
두번째는 국립어린이청소년도서관의 다문화 동화구연이에요",1
2020-09-23 01:51:36+00:00,"사서님들의 필독서2
장애인, 노인, 난독인, 북한이탈주민, 다문화&amp;다국어, 이동도서관 서비스를 다루고 있어요. 근데 성소수자 서비스도 다뤘어야... https://t.co/u0VHclhVYk https://t.co/jkrhiRZnUe",69
2020-09-03 12:33:53+00:00,"""오창호수도서관은 또 독서 소외계층을 위해 큰 글자 도서, 시각 장애인용 점자 도서, 다문화 도서 등을 확충했다.""
https://t.co/vSvfFoVB1i",1
2020-07-10 07:31:16+00:00,"달서구건강가정·다문화지원센터, 찾아가는 청소년 상담 안내 : 가까운 도서관에서 편하게 상담 받으세요~ (출처 : 대구 달서.. | https://t.co/y2snLddDZT 블로그) https://t.co/HAhMYS6yRM",3
2020-07-03 11:02:22+00:00,"(청주시립 오송도서관은) 점자도서, 큰글자도서와 같은 특수도서 확보, 다문화사회의 이해와 소통을 위한 원어자료 구입 등으로 이용자 만족도를 높였다.
 https://t.co/j4D6sU8ePg",1
2020-06-14 21:33:38+00:00,"김천시건강가정·다문화가족지원센터 휴관해제

김천시건강가정·다문화가족지원센터는 코로나19 감염병 확산 방지를 위해 임시 휴관한 센터, 새싹길장난감도서관, 공동육아나눔터를 15일부터 정상운영하기로 하였다. 코로나 19로 인해 중단되었던 김천시건강가정다문화가족지원센터는

김천 전동수기자 https://t.co/5Ipgm3oWPM",2
2020-05-21 06:41:23+00:00,"[구립도서관] 다문화프로그램 수강생 모집!
다문화가족을 대상으로 ""함께해요 우리문화"" 수강생을 모집합니다! 자세한 내용은 첨부파일을 확인해주시고, 관심있는 분들의 많은 참여 바랍니다. 감사합니다. https://t.co/Jwcnx4nA9R",1
2020-05-15 10:50:00+00:00,"🛎 금정도서관 부분개관 안내
.
✅ 개관일시 : 2020. 5. 12.(화) ~
✅ 개관대상 : 종합자료실, 어린이자료실, 다문화자료실
✅ 운영시간 : 화~금 09:00~18:00, 토~일 09:00~17:00
.
※방역지침 변경 등 상황변화에 따라 일정이 변동될 수 있습니다. https://t.co/CRXF9gKFom",1
2020-04-13 10:41:41+00:00,"여성후보를 봐주세요. 성폭력&amp;치유 전문가가 있어요. 타임지 선정 차세대리더 도시계획박사도 있고, 여성 최초 공기업 이사장도 있고, 고졸 출신 노무사 노동전문가가 있고, 평교사출신 교육전문가가있고, 육군 중위, 사회적기업 대표, 다문화청소년 오케스트라 감독, 도서관 전문가도 있는 열린민주당",1
2020-02-28 12:39:07+00:00,"다문화가정을 위한 도서관이었는데,
폐관 소식 안타깝습니다😢

https://t.co/C9MzPHrPtN",12
