Datetime,content,Like
2022-08-19 04:49:12+00:00,"수원시다문화가족지원센터, 베트남 학습 멘토링 프로그램 베트남 요리 경연대회 및 문화체험 행사 성료 https://t.co/7M270pbRwX",1
2022-08-16 12:24:22+00:00,"안산시, 외국인노동자 귀국 지원 프로그램 운영 https://t.co/NYcEGFSKED",1
2022-08-15 08:26:27+00:00,"어떤 이는 우리가 처음 버스에 오르며 이름표를 나눠받을 때, 나를 슥 보더니 작게 “불쌍해.” 이렇게 말하는 것이었다. 아니, ‘다문화가정 청소년’을 대상으로 하는 프로그램이 있다 하여 신청한 것일 뿐인데, 왜 불쌍하단 소리를 들어야 하지? 정말 불쾌한 경험이었다. https://t.co/9HR5EZNlAf https://t.co/nIZ9a3pk1Y",21
2022-08-15 03:24:32+00:00,"""국제결혼광고나 &lt;다문화 고부열전&gt; 따위의 예능 프로그램으로는 당신에 관한 진실이 결코 드러나지 않는다. 당신이 누구인지, 이주여성이라는 정체성이 진정으로 어떤 모습인지 배운 건 한 권의 책을 통해서다. 책의 제목은 다음과 같다. &lt;어딘가에는 싸우는 이주여성이 있다&gt;.""",44
2022-08-13 02:06:10+00:00,"딤양군가족센터, 다문화가족 자녀성장지원 프로그램 ‘풍성’ https://t.co/nakv67WqiC 

#담양군가족센터, #다문화가족 #자녀성장지원 #프로그램 ‘ #풍성’",1
2022-08-04 06:06:03+00:00,"🕺NFT쇼박스 x NFT매니아는 문화 전파에 앞장섭니다💃

NFT쇼박스 티켓 판매 기념으로 
다문화 가정 초청을 하였습니다!
이번 다문화가정 초청을 시작으로 많은 
사회공헌 프로그램을 진행할 예정입니다
많은 관심 부탁드립니다😀

🔗관련기사
https://t.co/AZLHqHJ0Wp https://t.co/SBYNqidfVW",1
2022-08-04 06:03:56+00:00,"🕺NFT쇼박스x러쉬코인재단은 문화 전파에 앞장섭니다💃

NFT쇼박스 티켓 판매 기념으로 
다문화 가정 초청을 하였습니다!
이번 다문화가정 초청을 시작으로 많은 
사회공헌 프로그램을 진행할 예정입니다
많은 관심 부탁드립니다😀

🔗관련기사
https://t.co/B70uqHp1gy https://t.co/pPvx4dQ9q4",4
2022-08-04 05:52:11+00:00,"🕺NFT쇼박스가 문화 전파에 앞장섭니다💃

NFT쇼박스 티켓 판매 기념으로 
다문화 가정 초청을 하였습니다!
이번 다문화가정 초청을 시작으로 많은 
사회공헌 프로그램을 진행할 예정입니다
많은 관심 부탁드립니다😀

🔗관련기사
https://t.co/ZLdzDBK71W https://t.co/WNEMossXUX",1
2022-07-27 02:16:57+00:00,"문화체육관광부의 지원으로 운영이 되는 다문화서비스운영지원사업 #북적북적다문화인문학여행 프로그램을 운영합니다. 많은 관심 바랍니다^^

#송파도서관 #도서관 #송파구 #오금동 #다문화 #인문학 #문화체육관광부 @송파도서관 https://t.co/4WPfyRa1Mu",1
2022-07-22 03:47:50+00:00,2022년 이천시가족센터 다문화가족 캠프사업 “금쪽같은 우리가족”  1박2일 프로그램 성료 https://t.co/CrMmPOLqQJ,1
2022-07-18 02:46:23+00:00,"연천군건강가정ㆍ다문화가족지원센터, '군인가족 부부' 특별 프로그램 운영 https://t.co/Tra24xBe7I",1
2022-06-28 09:40:59+00:00,"거절에도 좋은 거절과 나쁜 거절이 있다.. 프로그램 때문에 다문화가정 센터들에 연락 돌려서 감염병 예방교육 제안하는데 한 곳은 ""우리 얘들은 이미 다 걸리고 나았다""는 어처구니 없는 이유를 댔고, 다른 곳은 ""검토해볼테니 메일로 관련 자료를 보내달라""고 했다. 당연히 기분이...",1
2022-06-15 04:14:22+00:00,"이주여성을 위한 한국어 능력 시험 자격증 준비반 과정, 컴퓨터 활용 자격증 준비반 과정, 다문화 이해 교실 강사 양성 과정, 모유 수유 도우미 지원 과정 등의 프로그램도 만들었다. 그 결과 광산구는 광주시가 주최하는 여성 정책 평가에서 최우수기관에 선정됐다.",6
2022-06-07 01:29:04+00:00,"종로구가족센터는 다문화 한부모 집단상담 프로그램 참여자를 모집합니다! 

✅ 대상 : 초등학생 고학년, 중고등학생 자녀를 기르시는 다문화 한부모님과 그 자녀 10명
✅ 기간 : 7월 5일, 12일, 19일, 26일, 8월 2일 화요일 저녁 7~9시
✅ 장소 : 종로구 가족센터 2층 세미나실
✅ 신청: 02-744-1090 https://t.co/q2VGiv2n3e",1
2022-05-28 12:59:47+00:00,"지금 또덕킴 다니는 어린이집은 반당 인원이 많지 않고 프로그램도 다문화교육 등 맘에 드는 것들이 많아서 (뭣보다 선생님들이 좋음) 쭉 보내고 싶다. 

그치만 남의 집 살이 신세.. 과연 이 동네에서 내 집 장만 가능할지ㅠㅠㅠㅠㅠ",1
2022-05-24 14:24:58+00:00,한국의 프로그램은 일본 이상으로 다문화 공생사회이네🙂,4
2022-05-20 01:59:21+00:00,"원주시립중앙도서관, 2022년 다문화 프로그램 운영 https://t.co/KbGLw8FcIC",1
2022-05-17 02:04:03+00:00,"고양시, 다문화가족 자녀 프로그램 확대 실시

https://t.co/9BjAn7LpGh https://t.co/m0ETmCErCQ",1
2022-05-16 23:26:02+00:00,"고양시, 다문화 가족 자녀 프로그램 확대 실시 https://t.co/pRgbmVm0gb",1
2022-05-10 04:05:42+00:00,"화순군가족센터가 지난 2월부터 다문화 가정과 지역 주민의 소통 제고, 결혼 이주 여성의 사회 참여 확대를 위해 교류·소통 공간 다가온(ON)에서 심신 힐링 요가 프로그램이 수강생들의 큰 호응 속에 마무리됐습니다. https://t.co/uJ1pBU6jBO",2
2022-05-08 22:31:31+00:00,이웃집 찰스라는 프로그램이 있는데요. 예전보다 보다 다양한 다문화 가정.. 얘기를 하긴 해요. 뭐 관심 없으시겠지만  ..,1
2022-05-06 21:31:28+00:00,트위터에선 종종 EBS의 다문화 프로그램들이 화두에 오르는데… 당사자 입장에서 이야기 하나만 하자면… TV시청자들 자체가 겁나게 고령화되어 정형화(?)된 국제결혼 커플들만 취재해 방송합니다. 10여년의 파란 만장한 국제연애 끝에 딸 둘 낳고 잘 살고 있는 지인 커플의 경우엔 인도 남자와 결혼한,371
2022-05-06 02:26:49+00:00,"함평군가족센터, 다문화가족 자녀 진로지원 프로그램 https://t.co/RXMbanmpOv",1
2022-04-23 06:00:43+00:00,"현대중공업이 셔틀버스를 지원하고, 다문화센터가 교육프로그램을 맡기로 해 이날 비로소 첫 수업이 시작됐습니다.  https://t.co/11Znxe9mqy",4
2022-04-19 07:21:05+00:00,"'미추홀구 가족센터'와 함께하세요!😍

💙아이 키우는데 필요한 육아정보와 모임!
💚전문가에 의한 갈등 위기가정의 가족치료!
💛1:1찾아가는 아이돌봄 서비스!
❤️다문화 가정의 적응을 위한 다양한 교육 프로그램! 등등

건강한 가정을 이룰 수 있도록 전문가들이 여러분을 도와드립니다~!👪 https://t.co/fSM1dF1Rsl",2
2022-04-18 14:03:15+00:00,"""다문화 아이도 한글 배워야죠""…교육 프로그램 개발한 스타트업https://t.co/Mj9dy8lhw5",24
2022-04-18 05:33:23+00:00,"사상생활사박물관
&lt;다문화&gt;교육프로그램 운영 안내
'니하오 중국'

↓자세히 보기↓
https://t.co/oP2jydkJ5j https://t.co/hGGlzpxC8P",1
2022-04-17 00:00:10+00:00,"""다문화 아이도 한글 배워야죠""…교육 프로그램 개발한 스타트업 https://t.co/BslFNCZHRt",13
2022-04-14 09:25:42+00:00,"프로그램 다시 듣기 ==&gt;&gt; https://t.co/vPv05LfYhK

-광주시교육감 후보를 초청해 후보들의
정책과 비전을 들어보고 있습니다.

-이정선 예비후보는 다문화 가정 및 
학교밖 청소년 지원을 위한 '다가치 교육센터' 운영과 
학교급별 전환형 공립대안학교 설립 등 책임 교육 정책을 
강조하고 있습니다. https://t.co/GjACMyEYb1",1
2022-04-14 08:11:04+00:00,[두류도서관] 2022 다문화 프로그램 수강생 모집 &gt;&gt;https://t.co/KTXi6GbTMw https://t.co/MqGLtAAfND,1
2022-04-10 13:42:39+00:00,"다문화 교육이나 안전교육, 체험학습 등 마음에 드는 프로그램이 많은건 좋은데 약간.. 저런 부분에선 ‘?????’ 되더라. 

근데 또 이런거 나만 써내나 나만 유난스러운 엄마 되나 싶어지고 그러네;;",6
2022-03-31 05:53:36+00:00,"📢안전취약계층을 위한 안전교육을 시행합니다. 

✅이주 노동자, 다문화 가정까지 교육 대상 확대
✅온라인 교육, 체험형 프로그램 등 맞춤형 교육 진행
✅전문기관과 강사 명단, 표준교육 자료 등 전문적인 운영 지원

자세히 보기
👉 https://t.co/7TUwjKr8qd

*출처: 대한민국 행정안전부 https://t.co/dv7XtMK6cz",11
2022-03-30 08:06:47+00:00,"📢안전취약계층을 위한 안전교육을 시행합니다. 

✅이주 노동자, 다문화 가정까지 교육 대상 확대
✅온라인 교육, 체험형 프로그램 등 맞춤형 교육 진행
✅전문기관과 강사 명단, 표준교육 자료 등 전문적인 운영 지원

자세히 보기
👉 https://t.co/MPsMhbJAUJ https://t.co/xVwQgxEtFU",4
2022-03-23 12:01:00+00:00,여가부 지원으로 각지에서 운영되는 다문화가족지원센터들이 센터별 통역인력이 부족해서 자체 다문화가정 지원 프로그램 설명문 번역을 타센터에 서로서로 부탁하며 품앗이하고 있고 이민자 적응 프로그램은 전국에서 몇군데 하는 곳이 없어서 경쟁률이 개빡센 실정인데 그것마저도 없애겟다고,7
2022-03-15 02:43:29+00:00,"우리금융 우리다문화장학재단, 2022년 ‘다문화기관ㆍ단체 우수 프로그램 지원사업’ 실시 https://t.co/3cPCadDcQZ",1
