번호,장소,title,대상,행사일시,참가료
460,중앙,[제11회 책축제] 책장넘겨 떠나볼까? 랜선투어 - 스페인 바르셀로나,마포구민, 2021.12.11~2021.12.11,무료
459,중앙,[제11회 책축제] 라이너 영화평론가 특강 <다시 듣고 보고 가다 - 영화 > ,영화에 관심이 있는 누구나, 2021.12.11~2021.12.11,무료
458,중앙,[제11회 책축제] <다시 듣고 보고 가다 - 여행편 >김소담 여행작가 북토크 ,여행에 관심있는 누구나, 2021.12.11~2021.12.11,무료
457,중앙,[제11회 책축제] 책장넘겨 떠나볼까? 랜선투어 - 비엔나 로망스 투어,마포구민, 2021.12.10~2021.12.10,무료
456,중앙,[제11회 책축제] 송사비 음악크리에이터 특강 <다시 듣고 보고 가다 - 음악 > ,공연에 관심있는 누구나, 2021.12.10~2021.12.10,무료
455,중앙,[제11회 책축제] 어린이를 위한 메타버스 시민교실,초등학생 5~6학년, 2021.12.10~2021.12.10,무료
454,중앙,[제11회 책축제]' 학교 가는 길' 관람 & 김정인 감독 특강 <다시 듣고 보고 가다 - 영화 > ,영화에 관심이 있는 누구나, 2021.12.10~2021.12.10,무료
453,중앙,"[제11회 책축제] 빛소리 친구들 공연, 김성호 감독 특강 <다시 듣고 보고 가다 - 공연& 영화 > ",누구나, 2021.12.09~2021.12.09,무료
452,중앙,[제11회 책축제] 책장넘겨 떠나볼까? 랜선투어 - 마카오 인사이드,마포구민, 2021.12.09~2021.12.09,무료
451,중앙,[북스타트] 2021 마포구 서울북스타트 어린이집용 책꾸러미 단체신청(추가)(오전 9시부터 접수 가능),마포구 관내 어린이집 담당자만 신청 가능, 2021.11.30~2021.12.03,무료
450,중앙,[◆대면][북스타트] 11월 스토리텔링이 있는 북스타트 데이 (3차시:11월24일),5세 이하 자녀 1명 + 보호자 1명 (5팀), 2021.11.24~2021.11.24,무료
449,중앙,[◆대면][북스타트] 11월 스토리텔링이 있는 북스타트 데이 (2차시:11월17일),5세 이하 자녀 1명 + 보호자 1명 (5팀), 2021.11.17~2021.11.17,무료
448,중앙,[◆대면][어린이 다문화 상호이해 프로그램2] 옛이야기 전래놀이(추가모집),3가족 (7~9세 어린이+보호자 각1명으로 구성), 2021.11.12~2021.11.19,무료
447,중앙,"[★온라인강연][2021년 평화 1번지 마포] 역사 속에서 찾은 북한의 맛, 통일식당 개성밥상",고등학생 이상 40명, 2021.11.10~2021.11.10,무료
446,중앙,[◆대면][북스타트] 11월 스토리텔링이 있는 북스타트 데이 (1차시:11월10일),5세 이하 자녀 1명 + 보호자 1명 (5팀), 2021.11.10~2021.11.10,무료
445,중앙,[★온라인강연][2021년 평화 1번지 마포] 음식을 통해 본 통일,고등학생 이상 40명, 2021.11.04~2021.11.04,무료
