지역,제목,대상
금천구,"[시흥]도서관지혜학교:전통시기 중국문인의 시,서,화에서 얻은 지혜 행사 안내",전연령
금천구,[독산] 8월 문화가 있는날- 김해원 깊이읽기 4,어린이
금천구,[독산] 대숲소리 북콘서트Ⅳ : 여름밤 영화음악회 안내,전연령
금천구,[독산] 7월 문화가 있는날- 김해원 깊이읽기 3,성인
금천구,"[금나래]길 위의 인문학 ""차이 '안'나는 클라스 진행",성인
금천구,[독산] 대숲소리 북콘서트Ⅲ 안내,전연령
금천구,[독산]린드그렌이 말을 걸어 온다「이렇게 살아 보면 어때?」참여자 모집 안내,성인
금천구,[금나래] 2022 도서관 서포터즈 '나래 미디어 팩토리' 참여자 모집 안내,성인
금천구,[독산] 6월 문화가 있는날- 김해원 깊이읽기 2,어린이
금천구,[독산] 대숲소리 북콘서트Ⅱ 안내,전연령
금천구,[금나래] 가정의 달 기념 인형극 공연 안내,어린이
금천구,[독산] 길 위의 인문학 「나를 돌보는 읽기와 쓰기」참여자 모집 안내,성인
금천구,[독산] 5월 문화가 있는날- 김해원 깊이읽기 1,어린이
금천구,[독산] 대숲소리 북콘서트Ⅰ 안내,전연령
금천구,"[금나래 다문화]세계를 두드리고, 어울려보자꾸나!",어린이
금천구,[독산] 4월 문화가 있는날- 엄혜숙 깊이읽기 4,성인
금천구,2022 금나래도서관 책꾸러미사업 안내,어린이
금천구,[독산] 도서관주간 행사 안내,어린이
금천구,"[특화사업] 2022년 ""나래 북 팩토리"" 참가 모집",어린이
금천구,"[시흥] 저자와의 만남-<저자, 일단 만났습니다>",성인
금천구,[금나래] 2월 문화가 있는 날 <책과 함께하는 미니어처>,어린이
금천구,"2021년 북콘서트 ""해피 버스데이 우리 동네""",전연령
금천구,힐링독서놀이(2학년) 10월 프로그램 안내,어린이
금천구,상주작가 X 초청작가 작은도서관 북토크,성인
금천구,"제11회 <2021 금천구 도서관 북페스티벌> 행사 5일차 일정 안내(6월 5일, 토)",전연령
금천구,"제11회 <2021 금천구 도서관 북페스티벌> 행사 4일차 일정 안내(6월 4일, 금)",전연령
금천구,"제11회 <2021 금천구 도서관 북페스티벌> 3일차 행사 안내(6월 3일, 목)",전연령
금천구,"제11회 <2021 금천구 도서관 북페스티벌> 2일차 행사 안내(6월 2일,수)",전연령
금천구,힐링독서놀이 6월 프로그램 참가자 모집,어린이
금천구,[금나래] 5월 문화가 있는 날 <동물보호를 위한 언택트 2시간> - 김바다 작가와의 만남,어린이
금천구,힐링독서놀이 5월 프로그램 참가자 모집,어린이
금천구,[금나래] 나래 미디어 팩토리 모집 안내,청소년
금천구,[금나래] 4월 문화가 있는 날 <동물보호를 위한 언택트 2시간> - 이서우 작가와의 만남,어린이
금천구,[금나래] 세계건축문화스토리 저학년 모집 안내,어린이
금천구,[금나래] 나래 북 팩토리 - 환경 그림책 만들기,어린이
금천구,세계 건축문화 스토리 Ⅰ,어린이
금천구, 세계 건축문화 스토리 Ⅱ,어린이
금천구,쉽게 친해지는 코딩,어린이
금천구,나의 손 글씨,성인
금천구,"영화, 그림책과 리딩하다",성인
금천구,그림책 깊이 읽기,성인
금천구,처음 읽어보는 영어그림책,성인
마포구,마포중앙도서관 어린이 북튜버 모집(심화과정),어린이
마포구,[북스타트] 8월 스토리텔링이 있는 북스타트 데이,성인
마포구,"[제12회 책축제] 공간의 격차, 빈부의 격차 그리고 미래의 격차",전연령
마포구,[제12회 책축제] 우리 아이들이 살아갈 세상 이야기 '메타버스와 버츄얼 휴먼',전연령
마포구,[제12회 책축제] 누리호 개발 및 향후계획,전연령
마포구,마포중앙도서관 어린이 북튜버 특강,어린이
마포구,[제12회 책축제] 강경수 작가와 함께하는 코드네임 타임캡술 만들기 (비대면),어린이
마포구,[제12회 책축제] 공간의 전환! 책대신 음악,전연령
마포구,[제12회 책축제] 최고의 인테리어는 정리입니다.,전연령
마포구,"[제12회 책축제] 책으로 건축을 하다 '세상을 보는 따뜻한 시선, 벽'",어린이
마포구,[책읽는아이] 달님이랑 꿈이랑 <양선 작가와의 만남>,어린이
마포구,어린이를 위한 영어책 독후활동,어린이
마포구,"마포중앙도서관X소극장 산울림 「우리고전, 우리 문화의 힘」 3회차강연",전연령
마포구,서울시립교향악단 <우리동네 음악회 실내악>,어린이
마포구,2022 마포중앙도서관 여름방학 역사교실,청소년
마포구,[북스타트 부모교육] 우리함께 그림책 페어런팅 해요!,어린이
마포구,[북스타트] 7월 스토리텔링이 있는 북스타트 데이,성인
마포구,[마마플] 토요일! 토의는 즐거워(4회차),어린이
마포구,[마마플] 토요일! 토의는 즐거워(3회차),어린이
마포구,[리터러시]미디어 쉐프(중등부),어린이
마포구,"지혜학교 - 「언어에서 배우는 지혜-언어로 보는 인간의 과거, 현재 그리고 미래」",중장년
마포구,"마포중앙도서관X소극장 산울림 「우리고전, 우리 문화의 힘」 2회차강연",전연령
마포구,[북스타트 부모교육] 아빠랑 그림책 놀이,어린이
마포구,[마마플] 토요일! 토의는 즐거워(2회차),어린이
마포구,[마마플] 토요일! 토의는 즐거워(1회차),어린이
마포구,[2022 마중도 리딩튜터] 꼬리에 꼬리를 무는 독서단 초등부,어린이
마포구,마중도 리터러시 프로그램 - 디지털 리터러시 「디지털 시대의 주인되기」,전연령
마포구,[북스타트] 6월 스토리텔링이 있는 북스타트 데이,성인
마포구,"마포중앙도서관X소극장 산울림 「우리고전, 우리 문화의 힘」 1회차강연",전연령
마포구,[북스타트 비대면 부모교육] 북스타트로 시작하는 그림책 페어런팅(비대면),성인
마포구,[북스타트 비대면 부모교육] 그림책 육아 특강 <맥주도  참을 만큼  너를 사랑하니까>,어린이
마포구,마포중앙도서관 어린이 북튜버 모집 <추가모집>,어린이
마포구,창조성 워크숍 (아티스트 웨이),중장년
마포구,[리터러시] 미디어 쉐프(초등부),어린이
마포구,마포중앙도서관 어린이 북튜버 모집,어린이
마포구,러시아 ‘팽창’의 역사와 러시아-우크라이나 전쟁 [마중도 인문학 살롱 특강 2회차] ,전연령
마포구,[장애인 행사주간] 배리어프리영화상영 「드림빌더」,전연령
마포구,"[장애인 행사주간] 장애인 인권영화 감독과의 만남 「학교가는 길, 김정인 감독」",어린이
마포구,[장애인 행사주간] 배리어프리영화상영 「미라클 벨리에」,전연령
마포구,[장애인 행사주간] 어린이 수어교실「손으로 말하는 동화」,어린이
마포구,우크라이나-러시아 관계의 역사적 전개 [마중도 인문학 살롱 특강 1회차] ,전연령
마포구,[책읽는아이] 내 마음 ㅅㅅㅎ <김지영 작가와의 만남>,어린이
마포구,"2022년 마포중앙도서관 어린이 독서 동아리 회원 모집 안내(초등 5,6학년)",어린이
마포구,"2022년 마포중앙도서관 어린이 독서 동아리 회원 모집 안내(초등 3,4학년)",어린이
마포구,[인문학 살롱] 조선시대 여문열전 '낭중지추'_글로벌 작가 '난설헌',전연령
마포구,[제58회 도서관 주간] 쉽게 하는 글쓰기_강연,전연령
마포구,[제58회 도서관 주간] 이순신 북아트 만들기_체험,어린이
마포구,[인문학 살롱] 조선시대 여문열전 '낭중지추'_광주 이씨편,전연령
마포구,[제58회 도서관 주간] 책과 친해지는 독서법_강연,전연령
마포구,[어린이 다문화 상호이해 프로그램] (취소인원 추가 접수) 음악으로 만나는 다문화세상,어린이
마포구,[어린이 다문화 상호이해 프로그램] 음악으로 만나는 다문화세상,어린이
마포구,[인문학 살롱_서양편] 다시보는 중세이야기  (주제도서: 중세를 오해하는 현대인들에게),전연령
마포구,[인문학 살롱-우리나라편] 21세기에 돌아보는 ‘대한민국 임시정부가 역사와 헌법에 남긴 유산',전연령
마포구,[어린이자료실 재개관 기념] 서현 작가와의 만남,어린이
마포구,[어린이자료실 재개관 기념] 나만의 팝업북 만들기,어린이
마포구,[2022 겨울 독서교실] 지구를 지키는 독서탐험대,어린이
마포구,[제11회 책축제] 책장넘겨 떠나볼까? 랜선투어 - 스페인 바르셀로나,전연령
마포구,[제11회 책축제] 라이너 영화평론가 특강 <다시 듣고 보고 가다 - 영화 > ,전연령
마포구,[제11회 책축제] <다시 듣고 보고 가다 - 여행편 >김소담 여행작가 북토크 ,전연령
마포구,[제11회 책축제] 책장넘겨 떠나볼까? 랜선투어 - 비엔나 로망스 투어,전연령
마포구,[제11회 책축제] 송사비 음악크리에이터 특강 <다시 듣고 보고 가다 - 음악 > ,전연령
마포구,[제11회 책축제] 어린이를 위한 메타버스 시민교실,어린이
마포구,[제11회 책축제]' 학교 가는 길' 관람 & 김정인 감독 특강 <다시 듣고 보고 가다 - 영화 > ,전연령
마포구,"[제11회 책축제] 빛소리 친구들 공연, 김성호 감독 특강 <다시 듣고 보고 가다 - 공연& 영화 > ",전연령
마포구,[제11회 책축제] 책장넘겨 떠나볼까? 랜선투어 - 마카오 인사이드,전연령
마포구,[북스타트] 2021 마포구 서울북스타트 어린이집용 책꾸러미 단체신청(추가)(오전 9시부터 접수 가능),전연령
마포구,[◆대면][북스타트] 11월 스토리텔링이 있는 북스타트 데이 (3차시:11월24일),성인
마포구,[◆대면][북스타트] 11월 스토리텔링이 있는 북스타트 데이 (2차시:11월17일),성인
마포구,[◆대면][어린이 다문화 상호이해 프로그램2] 옛이야기 전래놀이(추가모집),어린이
마포구,"[★온라인강연][2021년 평화 1번지 마포] 역사 속에서 찾은 북한의 맛, 통일식당 개성밥상",전연령
마포구,[◆대면][북스타트] 11월 스토리텔링이 있는 북스타트 데이 (1차시:11월10일),성인
마포구,[★온라인강연][2021년 평화 1번지 마포] 음식을 통해 본 통일,전연령
마포구,"[◆대면] 어르신 디지털 리터러시-똑똑, 스마트폰 활용",전연령
마포구,[★온라인강연][지혜의도서관] 인류세와 미술 (12회차강연),전연령
마포구,[★온라인강연][한국어문학과 포노사피엔스4] 포노사피엔스의 워라밸이란,전연령
마포구,[★온라인강연][2021년 평화 1번지 마포] 여행하며 맛 본 북한의 음식 ,전연령
마포구,[★온라인강연] 마중도 어린이 북큐레이터(나의 소중함을 알아가요),어린이
마포구,[★온라인강연][한국어문학과 포노사피엔스3] 디지털 리터러시와 시적 언어의 학습효과,전연령
마포구,[★온라인강연][지혜의도서관] 인공지능은 예술작품을 창작할 수 있을까 (11회차강연),전연령
마포구,[★온라인강연][한국어문학과 포노사피엔스 2] 포노사피엔스 시대의 고전문학 향유방식 탐구,전연령
마포구,[★온라인강연][지혜의도서관] SF문학으로 보는 포스트휴머니즘 (10회차강연),전연령
마포구,[★온라인강연] 화요미시회(8회강연),중장년
마포구,[★온라인강연][미디어 평생교실] 미디어 리터러시 - 학부모 연수,성인
마포구,[★온라인강연][한국어문학과 포노사피엔스]1. 포털뉴스댓글의 비난화행,전연령
마포구,[북스타트 동영상] 음악이 있는 북스타트 스토리 타임,어린이
마포구,[★온라인강연][아웃사이더 인문학] <미학> 디지털 미학의 문화정치,전연령
마포구,[★온라인강연][아웃사이더 인문학] <클래식> 클래식이 알고싶다 – 브람스를 좋아하세요?,전연령
마포구,[★온라인강연] 2021독서의 달 기념_마중도 탐구생활3:대동여지도 간행 160주년 강의,전연령
마포구,"[★온라인강연][지혜의도서관] 환경과 생태, 지구를 살리는 소비 (9회차강연)",전연령
마포구,[★온라인강연] 2021독서의 달 기념_마중도 탐구생활2:학자의 눈으로 바라본 박완서,전연령
마포구,"[★온라인강연] 마중도 어린이 북큐레이터 (초3,4)",어린이
마포구,[★온라인강연][지혜의도서관] 수소로 전기와 열을 만드는 세상 (8회차강연),전연령
마포구,[★온라인강연] 2021독서의 달 기념_마중도 탐구생활1:출판인의 눈으로 바라본 박완서,전연령
마포구,[★온라인강연] 북스타트 온라인 부모교육,성인
마포구,[★온라인강연][지혜의도서관] 기후변화와 우리의 미래 (7회차강연),전연령
마포구,[★온라인강연][아웃사이더 인문학] <윤리학> 윤리학의 분투 – 생활 속의 응용윤리,전연령
마포구,[★온라인강연][아웃사이더 인문학] <철학> 왜 공부하는 삶을 사는가?,전연령
마포구,[★온라인강연] 마포중앙도서관X소극장 산울림「우리가 사랑한 영미고전」 3회차강연,전연령
마포구,[★온라인강연][지혜의도서관] AI윤리기준:인공지능과의 공존 (6회차강연),전연령
마포구,[★온라인강연][리터러시] 미디어셰프,어린이
마포구,[★온라인강연] 마포중앙도서관X소극장 산울림「우리가 사랑한 영미고전」 2회차강연,전연령
마포구,[★온라인강연][지혜의도서관] 포스트휴먼과 포스트휴머니즘 (5회차강연),전연령
마포구,[★온라인강연] 마포중앙도서관X소극장 산울림「우리가 사랑한 영미고전」 1회차강연,전연령
마포구,"[★온라인강연][지혜의도서관] 과학의 시대, 생명윤리학의 역할 (4회차강연)",전연령
마포구,[지혜의도서관] 뇌과학과 인공지능은 같은 학문일까(3회차강연),전연령
마포구,[온라인] 작지만 확실한 행복 북스타트 소확행 그림책 테라피,성인
마포구,2021년 어르신 독서 동아리 '책으로활짝 60+'(2021 큰글자책숲 여행),전연령
마포구,[어린이 다문화 상호이해 프로그램2] 옛이야기 전래놀이,어린이
마포구,[★온라인 전환 2021 마중도 리딩튜터] 꼬리에 꼬리를 무는 독서단 초등부 ,어린이
마포구,[북스타트] 6월 스토리텔링이 있는 북스타트 데이,성인
마포구,“나의 인생을 영상자서전으로 만들기” 특강,중장년
마포구,[북스타트] 심화 : 하루 15분 그림책 읽어주는 아빠 프로젝트,성인
마포구,[지혜의도서관] 인공지능의 미래:슈퍼인텔리전스(2회차강연),전연령
마포구,"[리터러시] 미디어가디언스 (초5,6)",어린이
마포구,[북스타트] 기본 : 하루 15분 그림책 읽어주는 아빠 프로젝트(추가모집),성인
마포구,"[리터러시] 미디어가디언스 (초3,4)",어린이
마포구,[도서관 지혜학교] 중국의 옛 노래로 배우는 즐겁게 살기의 지혜,중장년
마포구,"〈동서양 역사 속의 질병과 의학 이야기〉 한국 최초의 여의사, 박에스더 (4회차)",전연령
마포구,〈동서양 역사 속의 질병과 의학 이야기〉 중국 송대의 일상생활 속의 질병과 의학 (3회차),전연령
마포구,[지혜의도서관] 우리는 어떻게 이런 현재에 이르렀는가(1회차강연),전연령
마포구,[제57회 도서관 주간 행사] 책방 속 마법 우체국(비대면 라이브 공연),어린이
마포구,"마중도  어린이 북큐레이터 (초5,6)",어린이
마포구,[어린이 다문화 상호이해 프로그램] 음악으로 만나는 다문화세상,어린이
마포구,★ 추가모집 - 〈동서양 역사 속의 질병과 의학 이야기〉 백신의 글로벌 확산과 두창의 박멸 (2회차),전연령
마포구, '아티스트웨이' 프로그램,중장년
마포구,〈동서양 역사 속의 질병과 의학 이야기〉 두창과 인류 최초의 백신 (1회차),전연령
광진구,[한 주제로 함께 읽기] <책들의 부엌> 김지혜 작가 북토크,전연령
광진구,[팹라이브러리] 장비사용안전교육(9/24),전연령
광진구,[팹라이브러리] 장비사용안전교육(9/17),전연령
광진구,[미디어창작관] 9월: OBS를 활용한 책 소개 영상 제작,성인
광진구,마지막 주 문화가 있는 수요일 < 설거지 비누 만들기> [9/28],청소년
광진구,2022년 하반기 광진정보도서관 청소년독서회(중학교 2/3학년),청소년
광진구,2022년 하반기 광진정보도서관 청소년독서회(중학교 1학년),청소년
광진구,[메이커-교육] 웹툰창작 중급반 참가자 모집,어린이
광진구,[메이커-교육] 웹툰창작 초급반 참가자 모집,어린이
광진구,[메이커-교육] 3D 공작소: 3D모델링-Blender 중급반,어린이
광진구,[온라인] 광진정보도서관 작가와의 만남 <일생도서관: 8월 노명우 교수>,전연령
광진구,[오프라인] 광진정보도서관 작가와의 만남 <일생도서관: 8월 노명우 교수>,전연령
광진구,[메이커-교육] 웹툰창작 성인반 참가자 모집,성인
광진구,[팹라이브러리]에서 놀자! 진공성형기를 활용한 석고방향제 만들기! (8/25~8/26),전연령
