,LBRRY_CD,LBRRY_NM,LBRRY_ADDR,LBRRY_LA,LBRRY_LO,ONE_AREA_NM,TWO_AREA_NM,LBRRY_TY_CD,LBRRY_TY_NM,REPRSNT_YN
0,1500,포천시립중앙도서관,경기도 포천시 신북면 중앙로207번길 26 ,37.9053026,127.206376,경기도,포천시,1,공공,Y
6,2200,통영시립도서관,경상남도 통영시 무전3길 29,34.8618204,128.424713,경상남도,통영시,1,공공,Y
10,1700,원주시립중앙도서관,강원도 원주시 서원대로 472-12,37.340307,127.93585,강원도,원주시,1,공공,Y
11,1800,포항시립대잠도서관,경상북도 포항시 남구 시청로 1,36.0191816,129.3432983,경상북도,포항시 남구,1,공공,Y
57,1400,부평구립부개도서관,인천광역시 부평구 부일로83번길 46,37.4910257,126.7394883,인천광역시,부평구,1,공공,Y
62,100,성북정보도서관,서울특별시 성북구 화랑로18자길 13 ,37.6048486,127.050425,서울특별시,성북구,1,공공,Y
71,300,의왕시중앙도서관,경기도 의왕시 골우물길 49,37.3422301,126.969448,경기도,의왕시,1,공공,Y
78,400,오산시 중앙도서관,경기도 오산시 운암로 85,37.15388,127.076939,경기도,오산시,1,공공,Y
85,600,전라남도립도서관,전라남도 무안군 삼향읍 남악로 210,34.8049913,126.461486,전라남도,무안군,1,공공,Y
89,1200,동대문구정보화도서관,서울특별시 동대문구 회기로10길 60 ,37.5900642,127.047331,서울특별시,동대문구,1,공공,Y
99,2600,양산시립 중앙도서관,경상남도 양산시 물금읍 청룡로 11,35.3252568,128.996509,경상남도,양산시,1,공공,Y
102,4900,파주시립중앙도서관,경기도 파주시 쇠재로 33 ,37.7499775,126.7706867,경기도,파주시,1,공공,Y
115,2500,전주시립완산도서관,전라북도 전주시 완산구 곤지산4길 12,35.8094167,127.147738,전라북도,전주시 완산구,1,공공,Y
124,30100,대림도서관,서울특별시 영등포구 도신로 27,37.5082195,126.9040594,서울특별시,영등포구,1,공공,Y
126,500,완주군립중앙도서관,전라북도 완주군 용진읍 지암로 61,35.9048726,127.160787,전라북도,완주군,1,공공,Y
130,4600,서울도서관,서울특별시 중구 세종대로 110,37.5663245,126.977752,서울특별시,중구,1,공공,Y
131,4400,서초구립반포도서관,서울특별시 서초구 고무래로 34,37.502493,127.012451,서울특별시,서초구,1,공공,Y
165,4717,서울특별시교육청정독도서관,서울특별시 종로구 북촌로5길 48,37.5810398,126.982952,서울특별시,종로구,1,공공,Y
171,4300,부천시립상동도서관,경기도 부천시 상이로 12,37.4900669,126.7446997,경기도,부천시,1,공공,Y
198,4500,강남구립도곡정보문화도서관,서울특별시 강남구 도곡로18길 57,37.4881818,127.038923,서울특별시,강남구,1,공공,Y
211,29300,미추홀도서관,인천광역시 남동구 인주대로776번길 53,37.4469986,126.7248424,인천광역시,남동구,1,공공,Y
222,4100,안성시립중앙도서관,경기도 안성시 안성맞춤대로 1150,37.0152864,127.2686,경기도,안성시,1,공공,Y
233,4800,천안시중앙도서관,충청남도 천안시 동남구 중앙로 118,36.8091134,127.1534079,충청남도,천안시 동남구,1,공공,Y
240,4000,군포시중앙도서관,경기도 군포시 수리산로 79,37.3551341,126.9157442,경기도,군포시,1,공공,Y
241,5100,느티나무도서관,경기도 용인시 수지구 수풍로116번길 22,37.3340177,127.096092,경기도,용인시 수지구,1,공공,Y
242,1600,수원시립선경도서관,경기도 수원시 팔달구 신풍로23번길 68,37.2839131,127.010475,경기도,수원시 팔달구,1,공공,Y
256,1900,창원중앙도서관,경상남도 창원시 의창구 용호로 50 의창도서관,35.2334598,128.679058,경상남도,창원시 의창구,1,공공,Y
261,4200,고양시립마두도서관,경기도 고양시 일산동구 일산로 355,37.6664887,126.782103,경기도,고양시 일산동구,1,공공,Y
279,6000,강서구립등빛도서관,서울특별시 강서구 강서로62길 48,37.5624339,126.8423536,서울특별시,강서구,1,공공,Y
287,6200,서산시립도서관,충청남도 서산시 부춘공원2로 26,36.7883115,126.4492221,충청남도,서산시,1,공공,Y
292,6400,광주 서구 상록도서관,광주광역시 서구 상무대로1171번길 11,35.1551865,126.8889039,광주광역시,서구,1,공공,Y
295,6500,거창군립한마음도서관,경상남도 거창군 거창읍 거열로6길 11,35.6891619,127.9037437,경상남도,거창군,1,공공,Y
296,6100,국립세종도서관,세종특별자치시 다솜3로 48,36.4989631,127.268342,세종특별자치시,도담동,1,공공,Y
297,6700,제천시립도서관,충청북도 제천시 내제로 318,37.145074,128.220288,충청북도,제천시,1,공공,Y
298,7000,안산시 중앙도서관,경기도 안산시 단원구 안산천남로 14,37.3044036,126.8212469,경기도,안산시 단원구,1,공공,Y
325,7200,영천시립도서관,경상북도 영천시 중앙동1길 80,35.9754243,128.932787,경상북도,영천시,1,공공,Y
326,7300,관악중앙도서관,서울특별시 관악구 신림로3길 35,37.4671252,126.9448168,서울특별시,관악구,1,공공,Y
337,7500,이천시립도서관,경기도 이천시 설봉로81번길 50,37.2868263,127.4368133,경기도,이천시,1,공공,Y
344,7600,인천광역시교육청북구도서관,인천광역시 부평구 신트리로 21,37.5066139,126.7236467,인천광역시,부평구,1,공공,Y
345,7900,한라도서관,제주특별자치도 제주시 오남로 221,33.476399,126.516288,제주특별자치도,제주시,1,공공,Y
360,8100,충청북도교육도서관,충청북도 청주시 서원구 충렬로 19,36.632765,127.477825,충청북도,청주시 서원구,1,공공,Y
376,7400,원주교육문화관,강원도 원주시 북원로 2312,37.3517321,127.9359125,강원도,원주시,1,공공,Y
398,8200,한밭도서관,대전광역시 중구 서문로 10,36.309938,127.4096305,대전광역시,중구,1,공공,Y
423,5500,전북도청도서관,전라북도 전주시 완산구 효자로 225,35.8207082,127.101491,전라북도,전주시 완산구,1,공공,Y
424,5300,광진정보도서관,서울특별시 광진구 아차산로78길 90,37.5506122,127.108206,서울특별시,광진구,1,공공,Y
428,8400,도봉문화정보도서관,서울특별시 도봉구 덕릉로 315,37.644055,127.0420503,서울특별시,도봉구,1,공공,Y
453,8300,성동구립도서관,서울특별시 성동구 고산자로10길 9,37.559208,127.03496,서울특별시,성동구,1,공공,Y
463,8505,칠암도서관,경상남도 김해시 활천로285번길 14,35.244641,128.910439,경상남도,김해시,1,공공,Y
501,1309,인천 서구 검암도서관,인천광역시 서구 검암로20번길 20,37.5660754,126.6831116,인천광역시,서구,1,공공,Y
502,9000,송파글마루도서관,서울특별시 송파구 충민로 120,37.480889,127.130358,서울특별시,송파구,1,공공,Y
513,9200,금산인삼고을도서관,충청남도 금산군 금산읍 금산로 1543,36.1112746,127.4912762,충청남도,금산군,1,공공,Y
518,9300,울산남부도서관,울산광역시 남구 거마로13번길 6,35.535816,129.2951888,울산광역시,남구,1,공공,Y
519,9400,울산 북구 중앙도서관,울산광역시 북구 두부곡1길 9,35.5842174,129.3679182,울산광역시,북구,1,공공,Y
540,9500,양주시립덕정도서관,경기도 양주시 화합로1371번길 11,37.842918,127.0631264,경기도,양주시,1,공공,Y
547,9600,여수시립쌍봉도서관,전라남도 여수시 학동서4길 18-12,34.7630441,127.658722,전라남도,여수시,1,공공,Y
553,9700,광주 북구 일곡도서관,광주광역시 북구 일곡로 55,35.2087616,126.895006,광주광역시,북구,1,공공,Y
555,9800,밀양시립도서관,경상남도 밀양시 중앙로 265,35.4867664,128.7548041,경상남도,밀양시,1,공공,Y
558,13000,익산시립마동도서관,전라북도 익산시 선화1로 99,35.9404093,126.9690213,전라북도,익산시,1,공공,Y
562,14000,순천시립삼산도서관,전라남도 순천시 중앙로 232,34.9666906,127.4865762,전라남도,순천시,1,공공,Y
570,16000,안동시립웅부도서관,경상북도 안동시 태사길 78,36.5661267,128.7351927,경상북도,안동시,1,공공,Y
572,17000,중랑구립정보도서관,서울특별시 중랑구 신내로15길 197,37.6151557,127.0868682,서울특별시,중랑구,1,공공,Y
577,18000,광명시광명도서관,경기도 광명시 원광명안로 48,37.4653018,126.8513075,경기도,광명시,1,공공,Y
580,29700,옥과공공도서관,전라남도 곡성군 옥과면 리문4길 16,35.2744583,127.1355749,전라남도,곡성군,1,공공,Y
