도서관명,제목,Unnamed: 2
사당솔밭,[솔밭공작소]도자기 공예 1차 페인팅,어린이
대방어린이,그림책 탐험대(초등),어린이
대방어린이,그림책 탐험대(유아),어린이
까망돌,까망돌도서관 9월 야간특별프로그램 <별 헤는 ...,어린이
대방어린이,그림책 인문학(그림책으로 배우는 인문학),어린이
대방어린이,공동육아나눔터,어린이
대방어린이,[9월 독서의 달] 신기한 슈링클스! (유아),어린이
대방어린이,[9월 독서의 달] 신기한 슈링클스! (초등),어린이
대방어린이,[그림책 특성화] 이예숙 작가 특강,어린이
대방어린이,"[9월 독서의 달] 복화술, 버블쇼! (공연)",어린이
구립 김영삼,[서경덕 교수 토크콘서트] 세계를 향한 무한도...,전연령
구립 김영삼,[성인프로그램] 건강허브 테라피,성인
구립 김영삼,[오디오북 활용프로그램] 귀를 기울이면,어린이
까망돌,[까망돌 동네배움터] 반드시 성공하는 엄마표 ...,성인
까망돌,그림책과 함께하는 마크라메 만들기,성인
구립 김영삼,[어린이 독서동아리] 그림책 공작소 3기,어린이
동작샘터,우리역사알기(9월1일),어린이
동작어린이,(초3-4학년) 맛있는 글쓰기,어린이
동작어린이,(초1-2) 맛있는 글쓰기,어린이
약수,AI시대의 인문학적 글쓰기,성인
동작샘터,우리역사알기(9월29일),어린이
동작샘터,우리역사알기(9월22일),어린이
동작샘터,우리역사알기(9월15일),어린이
까망돌,창의 팡팡! 3D펜&메이커융합키트 체험 안내,어린이
약수,"필(必) 환경시대, 문학에서 길을 찾다.",성인
사당솔밭,[저자강연] 최은옥 작가와의 만남,어린이
약수,수학 천재 되다?,어린이
약수,[독서의 달] 나만의 무드등 만들기,어린이
사당솔밭,[어린이 독서동아리] 솔밭 그림책 공작소,어린이
약수,[독서의 달] 김리리 작가와의 만남,어린이
까망돌,3D프린팅으로 설계하는 커스텀 도서용품,성인
구립 김영삼,허연 시인과 함께 하는 가을 북토크,전연령
동작어린이,[독서의달] 옛이야기와 함께하는 신나는 스토리...,성인
동작어린이,[독서의달] 강혜숙작가와의 만남 - 호랑이 생...,어린이
까망돌,추석맞이 비누 송편 만들기(4-6학년),어린이
까망돌,추석맞이 비누 송편 만들기(1-3학년),어린이
까망돌,[까망돌]프랑스 향기를 찾아서 : 프렌치 고전...,어린이
구립 김영삼,창의력아트 학부모 인성멘토교실,성인
다울작은,"색다른 힐링, 컬러&그림책 테라피",성인
구립 김영삼,아이와 양육자가 함께하는 슈가클레이 만들기,어린이
동작샘터,[김민영작가] 꾸준한 글쓰기 노하우,성인
사당솔밭,[모두의인문학:학부모특강)]쓰면서 자라는 아이...,성인
까망돌,[까망돌](가족 단위)MBTI 제대로 알기,청소년
구립 김영삼,2022년 꿈다락 토요문화학교(2기),어린이
사당솔밭,[청소년] 나만의 독립출판물 제작 함께 해요?...,청소년
약수,북스타트 <책이랑 놀래요> 3~18개월 영아 ...,어린이
약수,북스타트 프로그램 <책이랑 놀래요> 19~36...,어린이
까망돌,2022년 도서관 지혜학교 <대중음악을 통해 ...,성인
사당솔밭,[북스타트]자원활동 동아리 모집,성인
다울작은,어린이 사서체험 동아리 <꼬마 사서의 하루>(...,어린이
사당솔밭,2022 도서관 지혜학교 | 서양고전에서 배우...,성인
구립 김영삼,[성인] 신문스크랩 동아리 <알.쓸.신.모.>...,성인
구립 김영삼,"2022 독서아카데미, MBTI에 길을 묻다",성인
다울작은,다울 독서동아리,성인
구립 김영삼,구립 김영삼도서관 청소년 동아리 모집 안내,청소년
까망돌,청소년 독서토론 동아리 모집 안내,청소년
까망돌,사서와 함께하는 어린이 독서동아리,어린이
다울작은,어린이 직업체험 동아리 <꼬마 사서의 하루>,어린이
대방어린이,초등 독서동아리(꿈독) 모집,어린이
대방어린이,청소년 독서동아리(북씨앗) 모집,청소년
