,title,target
148,책과 함께 만나는 다문화세상,국내이주민
156,[다문화서비스지원사업] [초등1~2]9.5'나는 인도에서 왔어요' 임서경작가와의 만남,국내이주민
158,[다문화서비스지원사업] [초등3~4]9.4'우리동네 마릴리 아줌마' 함영연작가와의 만남,국내이주민
171,[다문화서비스지원사업] [초등1~2]세계시민교육 참여자 모집,국내이주민
177,[다문화서비스지원사업] [초등1~2]세계시민교육 참여자 모집,국내이주민
460,다문화랑 놀자,국내이주민
468,[다문화서비스 지원 공모사업] 다(多)문화랑 놀자,국내이주민
522,[다문화] 다문화 올림픽,국내이주민
523,[다문화] 다문화 인문학,국내이주민
614,엄마와 내가 함께 만드는 성장동화,국내이주민
998,[다문화이해교육] 다르지만 같은 우리 1기,국내이주민
999,[다문화이해교육] 다르지만 같은 우리 2기,국내이주민
1538,도서관에 ON 다문화,국내이주민
1869,[삼괴도서관]독서의 달- 다문화 선생님과 떠나는 세계여행,국내이주민
1871,[삼괴도서관]독서의 달- 다문화 선생님과 떠나는 세계여행,국내이주민
2197,다문화어울림,국내이주민
2805,(친구야 같이 놀자!) 이야기가 있는 한국전통놀이,국내이주민
2806,한달에 한번! (한국의 미美) 전통공예교실,국내이주민
2807,번역하며 배우는 한국어 교실,국내이주민
2938,김포건강가정다문화가족지원센터와 함께하는 문화다양성 이해교육 <우리는 세계 건축가>,국내이주민
3627,포스트 코로나 다문화 예비학부모를 위한 행복한 초등학교 생활 이야기,국내이주민
3628,포스트 코로나 다문화 예비학부모를 위한 행복한 초등학교 생활 이야기(后新冠时代为多文化家庭的小学新生家长准备的过好幸福的小学生活的演讲),국내이주민
3630,혼자보다 우리가 더 힘이 세다! 「다문화 백과사전」 채인선 작가 강연,국내이주민
3694,다문화 인식개선 인형극 <알리단과 요술램프>,국내이주민
3736,송린이음터도서관 다문화프로그램 초등C,국내이주민
3737,송린이음터도서관 다문화프로그램 초등B,국내이주민
3746,송린이음터도서관 다문화프로그램 초등A,국내이주민
4058,내가 만드는 우리가족 앨범,국내이주민
5004,[2차시:사우디아라비아]책이랑 세계여행,국내이주민
5005,[8차시:멕시코]책이랑 세계여행,국내이주민
5027,[7차시:칠레]책이랑 세계여행,국내이주민
5039,[1차시] 책이랑 세계여행,국내이주민
5080,[5차시:스페인]책이랑 세계여행,국내이주민
5081,[4차:체코]책이랑 세계여행,국내이주민
5111,[3차시:남아프리카공화국] 책이랑 세계여행,국내이주민
5114,[6차시:몽골]책이랑 세계여행,국내이주민
