ONE_AREA_NM,TWO_AREA_NM,title,country
강원도,춘천시,26,대한민국
경기도,고양시 덕양구,80,대한민국
경기도,고양시 일산동구,27,대한민국
경기도,고양시 일산서구,75,대한민국
경기도,과천시,33,대한민국
경기도,김포시,36,대한민국
경기도,부천시,319,대한민국
경기도,성남시 분당구,386,대한민국
경기도,성남시 수정구,129,대한민국
경기도,성남시 중원구,114,대한민국
경기도,시흥시,703,대한민국
경기도,안성시,1,대한민국
경기도,포천시,63,대한민국
경기도,화성시,642,대한민국
경상남도,거창군,50,대한민국
경상남도,고성군,30,대한민국
경상남도,김해시,319,대한민국
경상남도,남해군,15,대한민국
경상남도,밀양시,5,대한민국
경상남도,사천시,58,대한민국
경상남도,산청군,10,대한민국
경상남도,양산시,16,대한민국
경상남도,의령군,9,대한민국
경상남도,진주시,16,대한민국
경상남도,창원시,463,대한민국
경상남도,창원시 의창구,3,대한민국
경상남도,함안군,12,대한민국
경상남도,함양군,6,대한민국
경상남도,합천군,27,대한민국
광주광역시,북구,164,대한민국
대구광역시,달성군,45,대한민국
대구광역시,동구,11,대한민국
대구광역시,서구,2,대한민국
대전광역시,중구,76,대한민국
부산광역시,영도구,3,대한민국
서울특별시,강남구,410,대한민국
서울특별시,강동구,4,대한민국
서울특별시,강서구,6,대한민국
서울특별시,도봉구,157,대한민국
서울특별시,동대문구,11,대한민국
서울특별시,서대문구,7,대한민국
서울특별시,서초구,3,대한민국
서울특별시,송파구,1,대한민국
서울특별시,양천구,5,대한민국
서울특별시,영등포구,99,대한민국
서울특별시,용산구,38,대한민국
서울특별시,은평구,6,대한민국
서울특별시,중구,15,대한민국
울산광역시,남구,1,대한민국
울산광역시,북구,48,대한민국
인천광역시,서구,86,대한민국
전라남도,구례군,7,대한민국
전라북도,군산시,6,대한민국
전라북도,무주군,9,대한민국
제주특별자치도,서귀포시,156,대한민국
제주특별자치도,제주시,122,대한민국
충청남도,공주시,96,대한민국
충청남도,부여군,3,대한민국
충청남도,천안시 동남구,89,대한민국
충청남도,천안시 서북구,30,대한민국
충청남도,홍성군,12,대한민국
충청북도,청주시 상당구,4,대한민국
