강좌명,대상,기간
[한 주제로 함께 읽기] <책들의 부엌> 김지혜 작가 북토크,전연령,2022.09.14(수)~2022.09.14(수)
[팹라이브러리] 장비사용안전교육(9/24),전연령,2022.09.24(토)~2022.09.24(토)
[팹라이브러리] 장비사용안전교육(9/17),전연령,2022.09.17(토)~2022.09.17(토)
[미디어창작관] 9월: OBS를 활용한 책 소개 영상 제작,성인,2022.09.24(토)~2022.09.24(토)
마지막 주 문화가 있는 수요일 < 설거지 비누 만들기> [9/28],청소년,2022.09.28(수)~2022.09.28(수)
2022년 하반기 광진정보도서관 청소년독서회(중학교 2/3학년),청소년,2022.09.04(일)~2022.12.18(일)
2022년 하반기 광진정보도서관 청소년독서회(중학교 1학년),청소년,2022.09.24(토)~2022.12.24(토)
[메이커-교육] 웹툰창작 중급반 참가자 모집,어린이,2022.09.04(일)~2022.11.20(일)
[메이커-교육] 웹툰창작 초급반 참가자 모집,어린이,2022.09.04(일)~2022.11.20(일)
[메이커-교육] 3D 공작소: 3D모델링-Blender 중급반,어린이,2022.08.27(토)~2022.11.05(토)
[온라인] 광진정보도서관 작가와의 만남 <일생도서관: 8월 노명우 교수>,전연령,2022.08.26(금)~2022.08.26(금)
[오프라인] 광진정보도서관 작가와의 만남 <일생도서관: 8월 노명우 교수>,전연령,2022.08.26(금)~2022.08.26(금)
[메이커-교육] 웹툰창작 성인반 참가자 모집,성인,2022.09.04(일)~2022.11.20(일)
[팹라이브러리]에서 놀자! 진공성형기를 활용한 석고방향제 만들기! (8/25~8/26),전연령,2022.08.25(목)~2022.08.26(금)
[팹라이브러리] 장비사용안전교육(8/27),전연령,2022.08.27(토)~2022.08.27(토)
[팹라이브러리] 매월(8월) 마지막 주 문화가 있는 수요일 <감성놀이 드림캐처 작품 만들기> [8/31],어린이,2022.08.31(수)~2022.08.31(수)
[팹라이브러리] 장비사용안전교육(8/13),전연령,2022.08.13(토)~2022.08.13(토)
8월 문화가 있는 수요일 웹툰 창작 체험: 덕질툰 그리기,전연령,2022.08.31(수)~2022.08.31(수)
2022년 도서관 지혜학교,성인,2022.08.10(수)~2022.10.26(수)
[미디어창작공간] 8월: OBS를 활용한 영화 리뷰 영상 제작,성인,2022.08.20(토)~2022.08.20(토)
[메이커-교육] 어린이 영상편집 교육 여름 특강,어린이,2022.08.10(수)~2022.08.12(금)
광진정보도서관 여름방학 독서교실 [광브르 곤충아카데미] ,어린이,2022.08.09(화)~2022.08.12(금)
[광진-오프라인] 시니어 스마트폰 활용 교육지도사 양성과정,성인,2022.07.18(월)~2022.08.29(월)
[팹라이브러리]에서 놀자! 유니맷 직소를 활용한 양인형 만들기!(7/29),어린이,2022.07.29(금)~2022.07.29(금)
[팹라이브러리]에서 놀자! 유니맷 직소를 활용한 양인형 만들기!(7/28),어린이,2022.07.28(목)~2022.07.28(목)
[팹라이브러리]  3D모델링 피규어 만들기 (퓨전360+3D프린터),성인,2022.07.10(일)~2022.10.02(일)
[오프라인] 광진정보도서관 작가와의 만남 <일생도서관: 7월 홍인혜(LUNA) 작가>,전연령,2022.07.15(금)~2022.07.15(금)
