lib_code,title,user_limit,from_work_date,to_work_date,price,remark,work_time,target,content
13216,송린이음터도서관 다문화프로그램 초등C,10.0,2021-04-22 12:00:00.0,2021-05-27 12:00:00.0,0,,16:00~18:00,국내이주민,정보없음
13216,송린이음터도서관 다문화프로그램 초등B,10.0,2021-04-15 12:00:00.0,2021-05-20 12:00:00.0,0,,16:00~18:00,국내이주민,정보없음
13216,송린이음터도서관 다문화프로그램 초등A,10.0,2021-04-12 12:00:00.0,2021-05-17 12:00:00.0,0,,16:00~18:00,국내이주민,정보없음
28500,다문화 인식개선 인형극 <알리단과 요술램프>,160.0,2021-06-26 12:00:00.0,2021-06-26 12:00:00.0,,,0,국내이주민,정보없음
25605,김포건강가정다문화가족지원센터와 함께하는 문화다양성 이해교육 <우리는 세계 건축가>,30.0,2021-07-29 12:00:00.0,2021-08-19 12:00:00.0,0,,0,국내이주민,정보없음
30900,내가 만드는 우리가족 앨범,15.0,2021-07-14 12:00:00.0,2021-09-30 12:00:00.0,0,,0,국내이주민,정보없음
13203,[삼괴도서관]독서의 달- 다문화 선생님과 떠나는 세계여행,10.0,2021-09-04 12:00:00.0,2021-09-25 12:00:00.0,0,,14:00~16:00,국내이주민,정보없음
26210,(친구야 같이 놀자!) 이야기가 있는 한국전통놀이,6.0,2021-10-02 12:00:00.0,2021-11-27 12:00:00.0,"온라인 수강을 위한 필요사항(pc 또는 노트북, 스마트폰),(재료는 접수 후 문자받으신 후 도서관 1층 안내데스크에서 배부)",,매주 토요일 10:00~12:00,국내이주민,정보없음
26210,한달에 한번! (한국의 미美) 전통공예교실,10.0,2021-09-30 12:00:00.0,2021-12-09 12:00:00.0,"온라인 수강을 위한 필요사항(pc 또는 노트북, 스마트폰),(재료는 접수 후 문자받으신 후 도서관 1층 안내데스크에서 배부)",,"9. 30.(목), 10. 28.(목), 11. 25.(목), 12. 9.(목) 13:30~15:30",국내이주민,정보없음
26210,번역하며 배우는 한국어 교실,10.0,2021-09-28 12:00:00.0,2021-12-09 12:00:00.0,"온라인 수강을 위한 필요사항(pc 또는 노트북, 스마트폰)",,매주 화∙목요일  10:00~12:00,국내이주민,정보없음
