분관명,강좌명,대상,강좌기간,강좌장소
삼청,                        그림책 팝업북 만들기                        ,전연령,2022-09-03 ~ 2022-09-03,삼청공원숲속도서관
평창,                        감각을 일 깨우는 톡톡 책놀이                        ,어린이,2022-09-05 ~ 2022-09-28,꿈꾸는평창동 작은도서관
평창,                        사고력과 표현력을 쑥쑥 키우는 책놀이                        ,어린이,2022-09-05 ~ 2022-09-28,꿈꾸는평창동작은도서관
청운,                        독서의 달 행사 <곽재식 작가와의 만남 - 과학으로 보는 문학이야기>                        ,성인,2022-09-21 ~ 2022-09-21,청운문학도서관 다목적실
청운,                        독서의 달 행사 <동화로 만나는 클레이>                        ,전연령,2022-09-04 ~ 2022-09-04,청운문학도서관 다목적실
청운,                        독서의 달 행사 <오롯이 독서>                        ,전연령,2022-09-01 ~ 2022-09-01,청운문학도서관
아름꿈,                        독서의 달 행사 안내                        ,전연령,2022-09-01 ~ 2022-09-30,아름꿈도서관
국학,                        초등고전소설토론 6기                        ,어린이,2022-09-15 ~ 2022-11-17,온라인(Zoom) 강의
아름꿈,                        (제10기)그림책으로 만나는 영어스토리텔링                        ,어린이,2022-09-03 ~ 2022-12-17,아름꿈도서관2층
통인,                        그림책 팝업북 만들기 (성인 프로그램)                        ,성인,2022-09-14 ~ 2022-09-21,통인 어린이 작은 도서관
통인,                        9월 어린이 독서 동아리                        ,어린이,2022-09-03 ~ 2022-09-23,통인 어린이 작은 도서관
삼청,                        나의첫 심부름 그림책 원화전시회 <마음정원 전>                        ,전연령,2022-08-16 ~ 2022-09-16,삼청공원숲속도서관
삼청,                        <괴물이오면>책놀이                        ,어린이,2022-08-25 ~ 2022-08-25,삼청공원숲속도서관
우리,                        서울북스타트 국악이랑 책이랑 참여자 모집                        ,전연령,2022-09-03 ~ 2022-11-12,우리소리도서관 국악누리방
평창,                        환경을 위한 업사이클링 북아트                        ,어린이,2022-09-14 ~ 2022-09-21,꿈꾸는평창동작은도서관
삼청,                        한책읽기 마음버스 책놀이                        ,어린이,2022-08-21 ~ 2022-08-21,삼청공원숲속도서관
통인,                        사고력과 표현력을 쑥쑥 키우는 책놀이 (초등)                        ,어린이,2022-09-07 ~ 2022-09-28,통인 어린이 작은 도서관
통인,                        감각을 일깨우는 톡톡 책 놀이 (유치)                        ,어린이,2022-09-07 ~ 2022-09-28,통인 어린이 작은 도서관
평창,                        한 주제로 함께 읽기                        ,어린이,2022-09-29 ~ 2022-09-29,꿈꾸는평창동작은도서관
평창,                        한 주제로 함께 읽기                        ,어린이,2022-09-08 ~ 2022-09-08,꿈꾸는평창동작은도서관
평창,                        사고력과 표현력을 쑥쑥 키우는 책놀이                        ,어린이,2022-08-22 ~ 2022-08-31,꿈꾸는평창동작은도서관
